 Vehicle
Eastbound 	Westbound 	Northbound 	Southbound 	
L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	Vehicle Total
12:00 AM 	5 	17 	22 	1 	17 	18 	5 	6 	11 	4 	6 	10 	61
12:05 AM 	0 	16 	16 	4 	9 	13 	5 	7 	12 	6 	10 	16 	57
12:10 AM 	0 	13 	13 	5 	7 	12 	2 	11 	13 	10 	10 	20 	58
12:15 AM 	2 	14 	16 	4 	5 	9 	4 	12 	16 	4 	11 	15 	56
12:20 AM 	4 	19 	23 	1 	12 	13 	4 	15 	19 	8 	5 	13 	68
12:25 AM 	2 	20 	22 	3 	7 	10 	4 	14 	18 	6 	6 	12 	62
12:30 AM 	8 	18 	26 	2 	10 	12 	3 	7 	10 	4 	7 	11 	59
12:35 AM 	4 	13 	17 	1 	8 	9 	5 	7 	12 	1 	7 	8 	46
12:40 AM 	3 	8 	11 	1 	6 	7 	2 	8 	10 	4 	4 	8 	36
12:45 AM 	1 	9 	10 	3 	6 	9 	3 	8 	11 	2 	4 	6 	36
12:50 AM 	1 	15 	16 	1 	7 	8 	2 	9 	11 	5 	4 	9 	44
12:55 AM 	1 	13 	14 	3 	6 	9 	2 	8 	10 	4 	5 	9 	42
1:00 AM 	0 	8 	8 	2 	8 	10 	4 	10 	14 	3 	3 	6 	38
1:05 AM 	2 	12 	14 	3 	3 	6 	2 	7 	9 	2 	7 	9 	38
1:10 AM 	1 	5 	6 	1 	7 	8 	2 	3 	5 	2 	6 	8 	27
1:15 AM 	2 	14 	16 	1 	2 	3 	2 	8 	10 	4 	2 	6 	35
1:20 AM 	4 	11 	15 	3 	13 	16 	1 	5 	6 	5 	3 	8 	45
1:25 AM 	2 	15 	17 	4 	3 	7 	5 	6 	11 	1 	3 	4 	39
1:30 AM 	2 	9 	11 	3 	3 	6 	0 	7 	7 	2 	4 	6 	30
1:35 AM 	2 	7 	9 	1 	5 	6 	2 	6 	8 	1 	1 	2 	25
1:40 AM 	1 	4 	5 	2 	2 	4 	0 	3 	3 	4 	4 	8 	20
1:45 AM 	4 	13 	17 	3 	3 	6 	2 	10 	12 	0 	4 	4 	39
1:50 AM 	2 	8 	10 	4 	6 	10 	3 	5 	8 	1 	7 	8 	36
1:55 AM 	1 	10 	11 	3 	5 	8 	3 	5 	8 	2 	3 	5 	32
2:00 AM 	3 	17 	20 	2 	3 	5 	2 	6 	8 	5 	2 	7 	40
2:05 AM 	3 	17 	20 	3 	5 	8 	1 	7 	8 	6 	7 	13 	49
2:10 AM 	2 	13 	15 	2 	8 	10 	2 	9 	11 	1 	4 	5 	41
2:15 AM 	0 	6 	6 	3 	1 	4 	1 	8 	9 	1 	4 	5 	24
2:20 AM 	2 	7 	9 	4 	5 	9 	1 	4 	5 	2 	5 	7 	30
2:25 AM 	2 	8 	10 	4 	3 	7 	0 	7 	7 	0 	5 	5 	29
2:30 AM 	1 	7 	8 	1 	1 	2 	0 	1 	1 	3 	0 	3 	14
2:35 AM 	2 	5 	7 	2 	3 	5 	2 	5 	7 	4 	1 	5 	24
2:40 AM 	0 	9 	9 	2 	3 	5 	1 	3 	4 	3 	0 	3 	21
2:45 AM 	2 	9 	11 	0 	7 	7 	3 	4 	7 	3 	6 	9 	34
2:50 AM 	1 	1 	2 	0 	0 	0 	0 	1 	1 	0 	3 	3 	6
2:55 AM 	0 	3 	3 	0 	3 	3 	2 	4 	6 	0 	2 	2 	14
3:00 AM 	1 	5 	6 	1 	1 	2 	1 	3 	4 	0 	0 	0 	12
3:05 AM 	2 	2 	4 	0 	4 	4 	2 	1 	3 	1 	3 	4 	15
3:10 AM 	0 	2 	2 	0 	2 	2 	1 	2 	3 	2 	3 	5 	12
3:15 AM 	0 	4 	4 	1 	0 	1 	1 	3 	4 	1 	4 	5 	14
3:20 AM 	0 	5 	5 	4 	2 	6 	1 	5 	6 	5 	3 	8 	25
3:25 AM 	3 	3 	6 	1 	2 	3 	1 	1 	2 	1 	8 	9 	20
3:30 AM 	1 	4 	5 	1 	5 	6 	2 	9 	11 	2 	2 	4 	26
3:35 AM 	0 	4 	4 	0 	0 	0 	0 	0 	0 	3 	3 	6 	10
3:40 AM 	0 	1 	1 	0 	0 	0 	0 	3 	3 	3 	3 	6 	10
3:45 AM 	1 	2 	3 	0 	3 	3 	2 	3 	5 	1 	1 	2 	13
3:50 AM 	1 	2 	3 	1 	2 	3 	0 	2 	2 	1 	6 	7 	15
3:55 AM 	1 	2 	3 	1 	0 	1 	1 	2 	3 	2 	2 	4 	11
4:00 AM 	0 	5 	5 	0 	3 	3 	3 	5 	8 	1 	0 	1 	17
4:05 AM 	0 	3 	3 	0 	4 	4 	2 	3 	5 	0 	3 	3 	15
4:10 AM 	2 	6 	8 	1 	1 	2 	0 	0 	0 	5 	3 	8 	18
4:15 AM 	1 	6 	7 	0 	3 	3 	2 	3 	5 	1 	4 	5 	20
4:20 AM 	0 	1 	1 	0 	5 	5 	1 	1 	2 	0 	3 	3 	11
4:25 AM 	0 	3 	3 	0 	1 	1 	1 	9 	10 	2 	5 	7 	21
4:30 AM 	1 	5 	6 	0 	4 	4 	1 	7 	8 	2 	4 	6 	24
4:35 AM 	0 	0 	0 	0 	0 	0 	0 	5 	5 	0 	4 	4 	9
4:40 AM 	0 	4 	4 	0 	1 	1 	0 	4 	4 	0 	7 	7 	16
4:45 AM 	0 	3 	3 	0 	1 	1 	1 	1 	2 	3 	4 	7 	13
4:50 AM 	1 	8 	9 	1 	5 	6 	3 	10 	13 	2 	3 	5 	33
4:55 AM 	0 	5 	5 	4 	3 	7 	3 	8 	11 	1 	9 	10 	33
5:00 AM 	4 	7 	11 	2 	0 	2 	1 	6 	7 	0 	4 	4 	24
5:05 AM 	1 	4 	5 	1 	2 	3 	1 	6 	7 	5 	7 	12 	27
5:10 AM 	0 	1 	1 	3 	6 	9 	1 	4 	5 	0 	8 	8 	23
5:15 AM 	1 	7 	8 	1 	1 	2 	2 	5 	7 	7 	6 	13 	30
5:20 AM 	3 	4 	7 	2 	6 	8 	2 	7 	9 	2 	7 	9 	33
5:25 AM 	3 	8 	11 	3 	6 	9 	3 	7 	10 	3 	11 	14 	44
5:30 AM 	8 	5 	13 	2 	6 	8 	2 	5 	7 	4 	12 	16 	44
5:35 AM 	1 	6 	7 	3 	6 	9 	2 	11 	13 	3 	15 	18 	47
5:40 AM 	2 	12 	14 	3 	6 	9 	2 	9 	11 	2 	9 	11 	45
5:45 AM 	2 	7 	9 	3 	8 	11 	3 	7 	10 	3 	16 	19 	49
5:50 AM 	2 	6 	8 	2 	10 	12 	7 	11 	18 	5 	34 	39 	77
5:55 AM 	2 	6 	8 	3 	7 	10 	3 	12 	15 	2 	12 	14 	47
6:00 AM 	3 	11 	14 	1 	12 	13 	8 	11 	19 	1 	20 	21 	67
6:05 AM 	4 	14 	18 	4 	8 	12 	6 	8 	14 	7 	18 	25 	69
6:10 AM 	3 	18 	21 	2 	14 	16 	4 	9 	13 	5 	21 	26 	76
6:15 AM 	2 	8 	10 	4 	10 	14 	4 	12 	16 	4 	21 	25 	65
6:20 AM 	7 	20 	27 	3 	11 	14 	5 	17 	22 	6 	20 	26 	89
6:25 AM 	6 	28 	34 	4 	13 	17 	4 	14 	18 	3 	25 	28 	97
6:30 AM 	7 	20 	27 	3 	15 	18 	7 	12 	19 	6 	33 	39 	103
6:35 AM 	11 	23 	34 	4 	16 	20 	9 	15 	24 	4 	33 	37 	115
6:40 AM 	6 	27 	33 	2 	12 	14 	6 	14 	20 	5 	26 	31 	98
6:45 AM 	6 	18 	24 	1 	15 	16 	8 	23 	31 	7 	30 	37 	108
6:50 AM 	7 	34 	41 	6 	25 	31 	14 	15 	29 	5 	32 	37 	138
6:55 AM 	8 	40 	48 	4 	29 	33 	14 	22 	36 	9 	37 	46 	163
7:00 AM 	6 	37 	43 	2 	23 	25 	10 	15 	25 	11 	51 	62 	155
7:05 AM 	10 	39 	49 	4 	27 	31 	11 	14 	25 	6 	33 	39 	144
7:10 AM 	10 	53 	63 	5 	27 	32 	13 	23 	36 	7 	51 	58 	189
7:15 AM 	11 	51 	62 	6 	36 	42 	8 	14 	22 	10 	36 	46 	172
7:20 AM 	12 	35 	47 	3 	40 	43 	15 	25 	40 	9 	44 	53 	183
7:25 AM 	9 	40 	49 	6 	36 	42 	12 	28 	40 	6 	33 	39 	170
7:30 AM 	14 	46 	60 	8 	60 	68 	20 	17 	37 	8 	52 	60 	225
7:35 AM 	9 	43 	52 	4 	41 	45 	15 	30 	45 	11 	54 	65 	207
7:40 AM 	9 	62 	71 	5 	49 	54 	19 	40 	59 	9 	55 	64 	248
7:45 AM 	9 	83 	92 	3 	51 	54 	14 	18 	32 	11 	39 	50 	228
7:50 AM 	12 	89 	101 	4 	68 	72 	12 	17 	29 	8 	43 	51 	253
7:55 AM 	8 	76 	84 	7 	62 	69 	11 	31 	42 	6 	33 	39 	234
8:00 AM 	15 	65 	80 	5 	63 	68 	14 	28 	42 	7 	27 	34 	224
8:05 AM 	8 	68 	76 	6 	57 	63 	19 	27 	46 	12 	44 	56 	241
8:10 AM 	8 	78 	86 	4 	41 	45 	14 	44 	58 	12 	61 	73 	262
8:15 AM 	8 	67 	75 	5 	61 	66 	18 	39 	57 	6 	46 	52 	250
8:20 AM 	6 	79 	85 	4 	67 	71 	12 	38 	50 	8 	51 	59 	265
8:25 AM 	14 	79 	93 	7 	53 	60 	14 	31 	45 	12 	55 	67 	265
8:30 AM 	10 	73 	83 	6 	47 	53 	11 	25 	36 	12 	54 	66 	238
8:35 AM 	8 	42 	50 	4 	60 	64 	24 	36 	60 	7 	37 	44 	218
8:40 AM 	5 	46 	51 	4 	53 	57 	11 	35 	46 	5 	29 	34 	188
8:45 AM 	15 	91 	106 	3 	56 	59 	14 	37 	51 	13 	29 	42 	258
8:50 AM 	11 	68 	79 	6 	50 	56 	14 	38 	52 	11 	37 	48 	235
8:55 AM 	10 	53 	63 	4 	40 	44 	13 	34 	47 	10 	55 	65 	219
9:00 AM 	9 	60 	69 	5 	54 	59 	17 	41 	58 	8 	56 	64 	250
9:05 AM 	11 	61 	72 	3 	37 	40 	11 	30 	41 	15 	49 	64 	217
9:10 AM 	9 	50 	59 	5 	59 	64 	13 	35 	48 	7 	37 	44 	215
9:15 AM 	8 	64 	72 	5 	64 	69 	22 	28 	50 	6 	33 	39 	230
9:20 AM 	7 	52 	59 	4 	67 	71 	18 	32 	50 	7 	31 	38 	218
9:25 AM 	12 	60 	72 	5 	38 	43 	16 	24 	40 	5 	48 	53 	208
9:30 AM 	7 	52 	59 	4 	47 	51 	12 	26 	38 	15 	41 	56 	204
9:35 AM 	5 	53 	58 	6 	36 	42 	12 	28 	40 	10 	35 	45 	185
9:40 AM 	12 	72 	84 	3 	51 	54 	17 	27 	44 	12 	44 	56 	238
9:45 AM 	14 	67 	81 	5 	32 	37 	14 	27 	41 	8 	44 	52 	211
9:50 AM 	17 	58 	75 	3 	37 	40 	10 	23 	33 	10 	35 	45 	193
9:55 AM 	7 	57 	64 	7 	59 	66 	11 	31 	42 	12 	37 	49 	221
10:00 AM 	15 	77 	92 	6 	44 	50 	10 	21 	31 	7 	32 	39 	212
10:05 AM 	15 	39 	54 	2 	48 	50 	11 	30 	41 	6 	37 	43 	188
10:10 AM 	8 	73 	81 	5 	40 	45 	20 	28 	48 	7 	39 	46 	220
10:15 AM 	18 	122 	140 	2 	82 	84 	24 	46 	70 	20 	82 	102 	396
10:20 AM 	14 	108 	122 	8 	110 	118 	30 	64 	94 	18 	80 	98 	432
10:25 AM 	32 	138 	170 	6 	81 	87 	16 	45 	61 	20 	106 	126 	444
10:30 AM 	14 	66 	80 	4 	32 	36 	12 	28 	40 	8 	36 	44 	200
10:35 AM 	14 	55 	69 	4 	37 	41 	12 	31 	43 	8 	40 	48 	201
10:40 AM 	19 	62 	81 	4 	31 	35 	13 	21 	34 	7 	28 	35 	185
10:45 AM 	13 	64 	77 	5 	33 	38 	11 	32 	43 	9 	35 	44 	202
10:50 AM 	9 	66 	75 	1 	38 	39 	17 	24 	41 	15 	46 	61 	216
10:55 AM 	4 	55 	59 	5 	36 	41 	14 	41 	55 	7 	41 	48 	203
11:00 AM 	13 	75 	88 	3 	42 	45 	12 	26 	38 	15 	39 	54 	225
11:05 AM 	11 	80 	91 	2 	31 	33 	12 	26 	38 	11 	36 	47 	209
11:10 AM 	16 	65 	81 	2 	42 	44 	14 	26 	40 	10 	25 	35 	200
11:15 AM 	10 	58 	68 	4 	31 	35 	9 	31 	40 	5 	33 	38 	181
11:20 AM 	6 	45 	51 	6 	42 	48 	18 	27 	45 	10 	36 	46 	190
11:25 AM 	12 	53 	65 	2 	41 	43 	9 	33 	42 	12 	31 	43 	193
11:30 AM 	8 	70 	78 	4 	30 	34 	7 	27 	34 	14 	37 	51 	197
11:35 AM 	9 	66 	75 	4 	45 	49 	18 	32 	50 	11 	39 	50 	224
11:40 AM 	12 	63 	75 	6 	27 	33 	11 	27 	38 	10 	36 	46 	192
11:45 AM 	6 	71 	77 	2 	41 	43 	12 	21 	33 	17 	47 	64 	217
11:50 AM 	5 	68 	73 	3 	24 	27 	9 	27 	36 	13 	52 	65 	201
11:55 AM 	11 	74 	85 	4 	33 	37 	15 	33 	48 	8 	33 	41 	211
12:00 PM 	13 	78 	91 	6 	51 	57 	7 	24 	31 	8 	46 	54 	233
12:05 PM 	7 	58 	65 	5 	38 	43 	10 	34 	44 	9 	50 	59 	211
12:10 PM 	8 	74 	82 	4 	28 	32 	10 	49 	59 	14 	45 	59 	232
12:15 PM 	14 	68 	82 	2 	32 	34 	11 	21 	32 	10 	54 	64 	212
12:20 PM 	12 	80 	92 	3 	59 	62 	16 	33 	49 	14 	46 	60 	263
12:25 PM 	14 	73 	87 	3 	39 	42 	11 	23 	34 	9 	42 	51 	214
12:30 PM 	5 	72 	77 	5 	41 	46 	9 	30 	39 	9 	44 	53 	215
12:35 PM 	11 	81 	92 	5 	24 	29 	10 	48 	58 	9 	32 	41 	220
12:40 PM 	13 	56 	69 	2 	52 	54 	15 	32 	47 	9 	42 	51 	221
