Eastbound 	Westbound 	Northbound 	Southbound 	
L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	Vehicle Total
12:00 AM 	3 	27 	30 	0 	17 	17 	6 	29 	35 	9 	10 	19 	101
12:05 AM 	3 	12 	15 	2 	15 	17 	7 	28 	35 	2 	12 	14 	81
12:10 AM 	6 	12 	18 	2 	21 	23 	7 	42 	49 	7 	9 	16 	106
12:15 AM 	5 	19 	24 	3 	16 	19 	6 	33 	39 	1 	12 	13 	95
12:20 AM 	5 	16 	21 	1 	13 	14 	5 	47 	52 	9 	7 	16 	103
12:25 AM 	3 	21 	24 	4 	13 	17 	3 	50 	53 	10 	8 	18 	112
12:30 AM 	2 	15 	17 	1 	17 	18 	6 	53 	59 	8 	5 	13 	107
12:35 AM 	5 	12 	17 	3 	19 	22 	6 	36 	42 	2 	7 	9 	90
12:40 AM 	12 	40 	52 	4 	23 	27 	3 	42 	45 	3 	5 	8 	132
12:45 AM 	0 	39 	39 	2 	29 	31 	7 	31 	38 	3 	4 	7 	115
12:50 AM 	1 	35 	36 	2 	21 	23 	6 	42 	48 	2 	6 	8 	115
12:55 AM 	1 	12 	13 	4 	3 	7 	0 	52 	52 	4 	4 	8 	80
1:00 AM 	1 	14 	15 	0 	6 	6 	2 	20 	22 	6 	7 	13 	56
1:05 AM 	4 	20 	24 	2 	9 	11 	2 	30 	32 	8 	9 	17 	84
1:10 AM 	3 	8 	11 	2 	10 	12 	3 	28 	31 	3 	2 	5 	59
1:15 AM 	2 	11 	13 	0 	4 	4 	2 	40 	42 	1 	4 	5 	64
1:20 AM 	3 	15 	18 	3 	10 	13 	4 	38 	42 	3 	8 	11 	84
1:25 AM 	2 	10 	12 	5 	6 	11 	1 	40 	41 	3 	2 	5 	69
1:30 AM 	7 	14 	21 	4 	6 	10 	2 	36 	38 	4 	4 	8 	77
1:35 AM 	2 	15 	17 	2 	6 	8 	5 	53 	58 	2 	4 	6 	89
1:40 AM 	3 	7 	10 	2 	10 	12 	2 	36 	38 	3 	3 	6 	66
1:45 AM 	0 	10 	10 	1 	2 	3 	1 	51 	52 	6 	3 	9 	74
1:50 AM 	3 	10 	13 	2 	7 	9 	1 	54 	55 	5 	6 	11 	88
1:55 AM 	2 	10 	12 	1 	5 	6 	1 	38 	39 	0 	4 	4 	61
2:00 AM 	1 	2 	3 	1 	5 	6 	0 	49 	49 	1 	2 	3 	61
2:05 AM 	1 	10 	11 	0 	4 	4 	2 	45 	47 	4 	3 	7 	69
2:10 AM 	0 	3 	3 	1 	5 	6 	2 	36 	38 	2 	1 	3 	50
2:15 AM 	2 	6 	8 	0 	1 	1 	2 	40 	42 	1 	1 	2 	53
2:20 AM 	6 	14 	20 	1 	3 	4 	1 	49 	50 	5 	5 	10 	84
2:25 AM 	4 	8 	12 	2 	5 	7 	3 	42 	45 	1 	2 	3 	67
2:30 AM 	5 	10 	15 	0 	9 	9 	1 	35 	36 	2 	3 	5 	65
2:35 AM 	2 	8 	10 	2 	4 	6 	1 	51 	52 	1 	2 	3 	71
2:40 AM 	5 	6 	11 	1 	4 	5 	1 	46 	47 	0 	3 	3 	66
2:45 AM 	3 	5 	8 	0 	3 	3 	1 	50 	51 	3 	0 	3 	65
2:50 AM 	2 	8 	10 	0 	2 	2 	0 	53 	53 	2 	1 	3 	68
2:55 AM 	1 	5 	6 	1 	2 	3 	1 	53 	54 	1 	6 	7 	70
3:00 AM 	1 	4 	5 	1 	4 	5 	0 	31 	31 	4 	3 	7 	48
3:05 AM 	1 	4 	5 	0 	2 	2 	0 	44 	44 	0 	1 	1 	52
3:10 AM 	2 	7 	9 	3 	1 	4 	0 	39 	39 	2 	1 	3 	55
3:15 AM 	1 	7 	8 	2 	1 	3 	2 	54 	56 	3 	4 	7 	74
3:20 AM 	0 	0 	0 	0 	3 	3 	0 	54 	54 	1 	0 	1 	58
3:25 AM 	1 	2 	3 	0 	1 	1 	0 	49 	49 	1 	1 	2 	55
3:30 AM 	0 	0 	0 	1 	2 	3 	0 	65 	65 	0 	1 	1 	69
3:35 AM 	1 	3 	4 	0 	2 	2 	0 	45 	45 	2 	2 	4 	55
3:40 AM 	2 	4 	6 	0 	2 	2 	1 	52 	53 	0 	2 	2 	63
3:45 AM 	0 	2 	2 	0 	1 	1 	0 	28 	28 	2 	3 	5 	36
