
- 	Vehicle
Eastbound 	Westbound 	Northbound 	Southbound 	
L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	Vehicle Total
12:00 AM 	7 	18 	25 	3 	9 	12 	4 	11 	15 	7 	10 	17 	69
12:05 AM 	12 	39 	51 	3 	12 	15 	8 	19 	27 	7 	14 	21 	114
12:10 AM 	6 	15 	21 	5 	15 	20 	6 	16 	22 	6 	14 	20 	83
12:15 AM 	4 	26 	30 	5 	10 	15 	5 	12 	17 	6 	12 	18 	80
12:20 AM 	7 	27 	34 	2 	12 	14 	2 	9 	11 	6 	8 	14 	73
12:25 AM 	7 	17 	24 	3 	10 	13 	5 	15 	20 	6 	11 	17 	74
12:30 AM 	3 	18 	21 	2 	13 	15 	6 	13 	19 	5 	17 	22 	77
12:35 AM 	4 	16 	20 	4 	13 	17 	5 	12 	17 	8 	15 	23 	77
12:40 AM 	6 	28 	34 	2 	12 	14 	6 	8 	14 	9 	5 	14 	76
12:45 AM 	5 	20 	25 	3 	2 	5 	5 	14 	19 	5 	6 	11 	60
12:50 AM 	4 	22 	26 	3 	12 	15 	2 	22 	24 	4 	7 	11 	76
12:55 AM 	4 	13 	17 	4 	6 	10 	3 	17 	20 	1 	5 	6 	53
1:00 AM 	4 	12 	16 	5 	6 	11 	3 	4 	7 	2 	4 	6 	40
1:05 AM 	3 	20 	23 	5 	5 	10 	5 	6 	11 	7 	6 	13 	57
1:10 AM 	3 	17 	20 	5 	6 	11 	1 	11 	12 	6 	5 	11 	54
1:15 AM 	11 	22 	33 	6 	11 	17 	6 	6 	12 	8 	11 	19 	81
1:20 AM 	3 	15 	18 	3 	9 	12 	3 	4 	7 	4 	3 	7 	44
1:25 AM 	2 	11 	13 	2 	2 	4 	4 	4 	8 	8 	8 	16 	41
1:30 AM 	3 	13 	16 	2 	8 	10 	2 	6 	8 	5 	8 	13 	47
1:35 AM 	3 	10 	13 	1 	9 	10 	3 	8 	11 	5 	7 	12 	46
1:40 AM 	4 	12 	16 	2 	8 	10 	2 	7 	9 	4 	6 	10 	45
1:45 AM 	2 	14 	16 	2 	7 	9 	2 	10 	12 	3 	7 	10 	47
1:50 AM 	3 	14 	17 	4 	2 	6 	2 	10 	12 	4 	6 	10 	45
1:55 AM 	2 	11 	13 	5 	9 	14 	5 	10 	15 	3 	3 	6 	48
2:00 AM 	1 	21 	22 	3 	4 	7 	3 	8 	11 	4 	9 	13 	53
2:05 AM 	5 	10 	15 	6 	6 	12 	5 	7 	12 	0 	8 	8 	47
2:10 AM 	2 	8 	10 	3 	12 	15 	2 	13 	15 	3 	7 	10 	50
2:15 AM 	1 	12 	13 	5 	7 	12 	4 	4 	8 	1 	5 	6 	39
2:20 AM 	4 	15 	19 	2 	3 	5 	2 	6 	8 	2 	4 	6 	38
2:25 AM 	4 	8 	12 	1 	3 	4 	1 	7 	8 	2 	8 	10 	34
2:30 AM 	2 	10 	12 	2 	7 	9 	4 	10 	14 	4 	2 	6 	41
2:35 AM 	4 	13 	17 	3 	2 	5 	0 	12 	12 	1 	7 	8 	42
2:40 AM 	1 	12 	13 	4 	5 	9 	5 	6 	11 	4 	7 	11 	44
2:45 AM 	1 	7 	8 	6 	5 	11 	3 	3 	6 	1 	3 	4 	29
2:50 AM 	0 	6 	6 	2 	8 	10 	3 	8 	11 	3 	2 	5 	32
2:55 AM 	2 	11 	13 	3 	8 	11 	6 	9 	15 	2 	6 	8 	47
3:00 AM 	3 	14 	17 	3 	9 	12 	5 	16 	21 	3 	4 	7 	57
3:05 AM 	1 	8 	9 	5 	7 	12 	4 	7 	11 	2 	9 	11 	43
3:10 AM 	1 	6 	7 	3 	11 	14 	4 	5 	9 	2 	7 	9 	39
3:15 AM 	1 	8 	9 	4 	5 	9 	4 	7 	11 	0 	3 	3 	32
3:20 AM 	3 	7 	10 	2 	4 	6 	2 	4 	6 	4 	6 	10 	32
3:25 AM 	5 	13 	18 	0 	2 	2 	0 	9 	9 	4 	2 	6 	35
3:30 AM 	0 	6 	6 	0 	3 	3 	3 	8 	11 	5 	7 	12 	32
3:35 AM 	1 	5 	6 	0 	3 	3 	1 	6 	7 	3 	6 	9 	25
3:40 AM 	2 	4 	6 	2 	4 	6 	2 	3 	5 	3 	1 	4 	21
3:45 AM 	0 	4 	4 	0 	1 	1 	3 	4 	7 	4 	6 	10 	22
3:50 AM 	1 	2 	3 	1 	4 	5 	0 	2 	2 	3 	3 	6 	16
3:55 AM 	4 	10 	14 	1 	5 	6 	3 	1 	4 	0 	6 	6 	30
4:00 AM 	5 	10 	15 	1 	5 	6 	3 	7 	10 	3 	1 	4 	35
4:05 AM 	3 	5 	8 	1 	2 	3 	0 	5 	5 	1 	4 	5 	21
4:10 AM 	0 	6 	6 	0 	3 	3 	2 	2 	4 	2 	2 	4 	17
4:15 AM 	0 	6 	6 	0 	5 	5 	4 	1 	5 	2 	1 	3 	19
4:20 AM 	1 	3 	4 	0 	0 	0 	0 	2 	2 	4 	2 	6 	12
4:25 AM 	0 	7 	7 	4 	1 	5 	2 	6 	8 	5 	5 	10 	30
4:30 AM 	0 	6 	6 	1 	4 	5 	3 	4 	7 	4 	4 	8 	26
4:35 AM 	1 	7 	8 	1 	3 	4 	5 	7 	12 	4 	3 	7 	31
4:40 AM 	0 	7 	7 	1 	8 	9 	3 	6 	9 	2 	4 	6 	31
4:45 AM 	1 	5 	6 	1 	2 	3 	1 	6 	7 	1 	7 	8 	24
4:50 AM 	3 	10 	13 	1 	4 	5 	1 	3 	4 	6 	7 	13 	35
4:55 AM 	2 	7 	9 	3 	3 	6 	1 	7 	8 	3 	9 	12 	35
5:00 AM 	3 	13 	16 	3 	7 	10 	2 	5 	7 	5 	3 	8 	41
5:05 AM 	2 	4 	6 	1 	2 	3 	1 	6 	7 	3 	3 	6 	22
5:10 AM 	2 	11 	13 	0 	5 	5 	0 	8 	8 	1 	6 	7 	33
5:15 AM 	1 	5 	6 	3 	0 	3 	1 	5 	6 	1 	5 	6 	21
5:20 AM 	1 	4 	5 	0 	3 	3 	1 	4 	5 	4 	4 	8 	21
5:25 AM 	5 	12 	17 	3 	3 	6 	3 	7 	10 	2 	11 	13 	46
5:30 AM 	2 	7 	9 	4 	6 	10 	4 	6 	10 	7 	12 	19 	48
5:35 AM 	0 	3 	3 	2 	4 	6 	3 	10 	13 	1 	6 	7 	29
5:40 AM 	2 	2 	4 	0 	10 	10 	2 	13 	15 	2 	10 	12 	41
5:45 AM 	3 	14 	17 	2 	5 	7 	3 	10 	13 	6 	11 	17 	54
5:50 AM 	2 	14 	16 	1 	9 	10 	1 	9 	10 	4 	15 	19 	55
5:55 AM 	2 	10 	12 	4 	5 	9 	4 	12 	16 	4 	10 	14 	51
6:00 AM 	1 	7 	8 	1 	12 	13 	7 	8 	15 	5 	11 	16 	52
