time_5min,approach,movement,total_vph
00:00,Eastbound,Left,38.4
00:05,Eastbound,Left,51.5
00:10,Eastbound,Left,62.1
00:15,Eastbound,Left,53.7
00:20,Eastbound,Left,49.8
00:25,Eastbound,Left,48.1
00:30,Eastbound,Left,45.4
00:35,Eastbound,Left,97.3
00:40,Eastbound,Left,78.5
00:45,Eastbound,Left,37.9
00:50,Eastbound,Left,23.7
00:55,Eastbound,Left,20.1
01:00,Eastbound,Left,31.4
01:05,Eastbound,Left,40.7
01:10,Eastbound,Left,30.5
01:15,Eastbound,Left,31.2
01:20,Eastbound,Left,37.3
01:25,Eastbound,Left,54.5
01:30,Eastbound,Left,54.6
01:35,Eastbound,Left,38.6
01:40,Eastbound,Left,19.7
01:45,Eastbound,Left,20.2
01:50,Eastbound,Left,26.6
01:55,Eastbound,Left,19.3
02:00,Eastbound,Left,13.4
02:05,Eastbound,Left,9.1
02:10,Eastbound,Left,18.4
02:15,Eastbound,Left,46.9
02:20,Eastbound,Left,56.4
02:25,Eastbound,Left,47.2
02:30,Eastbound,Left,39.8
02:35,Eastbound,Left,39.3
02:40,Eastbound,Left,47.4
02:45,Eastbound,Left,34.0
02:50,Eastbound,Left,21.0
02:55,Eastbound,Left,16.0
03:00,Eastbound,Left,17.2
03:05,Eastbound,Left,19.4
03:10,Eastbound,Left,16.3
03:15,Eastbound,Left,15.2
03:20,Eastbound,Left,12.1
03:25,Eastbound,Left,13.3
03:30,Eastbound,Left,14.9
03:35,Eastbound,Left,17.4
03:40,Eastbound,Left,13.4
03:45,Eastbound,Left,14.5
03:50,Eastbound,Left,14.1
03:55,Eastbound,Left,15.9
04:00,Eastbound,Left,15.6
04:05,Eastbound,Left,8.9
04:10,Eastbound,Left,13.9
04:15,Eastbound,Left,11.1
04:20,Eastbound,Left,12.2
04:25,Eastbound,Left,14.1
04:30,Eastbound,Left,14.0
04:35,Eastbound,Left,16.8
04:40,Eastbound,Left,17.4
04:45,Eastbound,Left,200.9
04:50,Eastbound,Left,17.3
04:55,Eastbound,Left,28.3
05:00,Eastbound,Left,68.7
05:05,Eastbound,Left,88.5
05:10,Eastbound,Left,13.9
05:15,Eastbound,Left,26.0
05:20,Eastbound,Left,25.4
05:25,Eastbound,Left,37.0
05:30,Eastbound,Left,28.8
05:35,Eastbound,Left,21.3
05:40,Eastbound,Left,30.1
05:45,Eastbound,Left,44.1
05:50,Eastbound,Left,34.6
05:55,Eastbound,Left,34.5
06:00,Eastbound,Left,48.4
06:05,Eastbound,Left,46.3
06:10,Eastbound,Left,51.4
06:15,Eastbound,Left,82.6
06:20,Eastbound,Left,53.9
06:25,Eastbound,Left,75.3
06:30,Eastbound,Left,84.9
06:35,Eastbound,Left,54.3
06:40,Eastbound,Left,64.9
