time_5min,approach,movement,total_vph
00:00,Eastbound,Thru,179.3
00:05,Eastbound,Thru,140.4
00:10,Eastbound,Thru,190.2
00:15,Eastbound,Thru,203.2
00:20,Eastbound,Thru,220.1
00:25,Eastbound,Thru,211.1
00:30,Eastbound,Thru,163.3
00:35,Eastbound,Thru,346.6
00:40,Eastbound,Thru,462.1
00:45,Eastbound,Thru,425.2
00:50,Eastbound,Thru,264.9
00:55,Eastbound,Thru,150.0
01:00,Eastbound,Thru,198.2
01:05,Eastbound,Thru,149.8
01:10,Eastbound,Thru,114.5
01:15,Eastbound,Thru,155.4
01:20,Eastbound,Thru,140.4
01:25,Eastbound,Thru,141.4
01:30,Eastbound,Thru,169.3
01:35,Eastbound,Thru,129.5
01:40,Eastbound,Thru,102.8
01:45,Eastbound,Thru,115.5
01:50,Eastbound,Thru,113.5
01:55,Eastbound,Thru,75.7
02:00,Eastbound,Thru,74.7
02:05,Eastbound,Thru,78.7
02:10,Eastbound,Thru,52.8
02:15,Eastbound,Thru,119.5
02:20,Eastbound,Thru,117.5
02:25,Eastbound,Thru,105.6
02:30,Eastbound,Thru,101.6
02:35,Eastbound,Thru,79.7
02:40,Eastbound,Thru,61.7
02:45,Eastbound,Thru,74.7
02:50,Eastbound,Thru,70.9
02:55,Eastbound,Thru,50.5
03:00,Eastbound,Thru,45.8
03:05,Eastbound,Thru,65.7
03:10,Eastbound,Thru,80.7
03:15,Eastbound,Thru,41.8
03:20,Eastbound,Thru,17.9
03:25,Eastbound,Thru,17.3
03:30,Eastbound,Thru,23.9
03:35,Eastbound,Thru,40.8
03:40,Eastbound,Thru,32.9
03:45,Eastbound,Thru,26.9
03:50,Eastbound,Thru,29.2
03:55,Eastbound,Thru,23.9
04:00,Eastbound,Thru,19.9
04:05,Eastbound,Thru,46.8
04:10,Eastbound,Thru,37.8
04:15,Eastbound,Thru,
04:20,Eastbound,Thru,
04:25,Eastbound,Thru,
04:30,Eastbound,Thru,30.3
04:35,Eastbound,Thru,36.8
04:40,Eastbound,Thru,31.9
04:45,Eastbound,Thru,24.9
04:50,Eastbound,Thru,60.7
04:55,Eastbound,Thru,1079.5
05:00,Eastbound,Thru,838.5
05:05,Eastbound,Thru,65.3
05:10,Eastbound,Thru,56.8
05:15,Eastbound,Thru,65.7
05:20,Eastbound,Thru,66.7
05:25,Eastbound,Thru,74.7
05:30,Eastbound,Thru,87.6
05:35,Eastbound,Thru,97.6
05:40,Eastbound,Thru,117.9
05:45,Eastbound,Thru,150.4
05:50,Eastbound,Thru,141.4
05:55,Eastbound,Thru,116.8
06:00,Eastbound,Thru,111.5
06:05,Eastbound,Thru,114.5
06:10,Eastbound,Thru,126.5
06:15,Eastbound,Thru,474.8
06:20,Eastbound,Thru,227.1
06:25,Eastbound,Thru,209.1
06:30,Eastbound,Thru,227.1
06:35,Eastbound,Thru,223.1
06:40,Eastbound,Thru,201.2
06:45,Eastbound,Thru,305.7
06:50,Eastbound,Thru,411.1
06:55,Eastbound,Thru,444.8
07:00,Eastbound,Thru,473.0
07:05,Eastbound,Thru,463.1
07:10,Eastbound,Thru,505.9
07:15,Eastbound,Thru,478.0
07:20,Eastbound,Thru,549.7
07:25,Eastbound,Thru,628.6
07:30,Eastbound,Thru,655.3
07:35,Eastbound,Thru,621.4
07:40,Eastbound,Thru,658.3
07:45,Eastbound,Thru,763.8
07:50,Eastbound,Thru,838.5
07:55,Eastbound,Thru,862.4
08:00,Eastbound,Thru,784.8
08:05,Eastbound,Thru,762.8
08:10,Eastbound,Thru,647.3
08:15,Eastbound,Thru,732.0
08:20,Eastbound,Thru,889.3
08:25,Eastbound,Thru,798.7
08:30,Eastbound,Thru,701.9
08:35,Eastbound,Thru,624.4
08:40,Eastbound,Thru,771.8
08:45,Eastbound,Thru,903.3
08:50,Eastbound,Thru,846.5
08:55,Eastbound,Thru,763.5
09:00,Eastbound,Thru,814.6
09:05,Eastbound,Thru,811.8
09:10,Eastbound,Thru,711.1
09:15,Eastbound,Thru,640.3
09:20,Eastbound,Thru,699.1
09:25,Eastbound,Thru,664.3
09:30,Eastbound,Thru,633.4
09:35,Eastbound,Thru,743.9
09:40,Eastbound,Thru,769.6
09:45,Eastbound,Thru,621.4
09:50,Eastbound,Thru,616.4
09:55,Eastbound,Thru,581.6
10:00,Eastbound,Thru,618.4
10:05,Eastbound,Thru,712.1
10:10,Eastbound,Thru,640.3
10:15,Eastbound,Thru,664.4
10:20,Eastbound,Thru,769.8
10:25,Eastbound,Thru,753.9
10:30,Eastbound,Thru,735.0
10:35,Eastbound,Thru,734.0
10:40,Eastbound,Thru,844.5
10:45,Eastbound,Thru,856.5
10:50,Eastbound,Thru,768.0
10:55,Eastbound,Thru,779.4
11:00,Eastbound,Thru,847.5
11:05,Eastbound,Thru,911.2
11:10,Eastbound,Thru,773.8
11:15,Eastbound,Thru,725.0
11:20,Eastbound,Thru,791.7
11:25,Eastbound,Thru,800.7
11:30,Eastbound,Thru,748.9
11:35,Eastbound,Thru,770.8
11:40,Eastbound,Thru,939.1
11:45,Eastbound,Thru,983.9
11:50,Eastbound,Thru,847.5
11:55,Eastbound,Thru,682.2
12:00,Eastbound,Thru,748.9
12:05,Eastbound,Thru,810.6
12:10,Eastbound,Thru,707.1
12:15,Eastbound,Thru,798.7
12:20,Eastbound,Thru,911.2
12:25,Eastbound,Thru,857.5
12:30,Eastbound,Thru,791.1
12:35,Eastbound,Thru,693.1
12:40,Eastbound,Thru,819.6
12:45,Eastbound,Thru,821.6
12:50,Eastbound,Thru,831.6
12:55,Eastbound,Thru,970.0
13:00,Eastbound,Thru,861.8
13:05,Eastbound,Thru,744.1
13:10,Eastbound,Thru,721.0
13:15,Eastbound,Thru,778.8
13:20,Eastbound,Thru,826.6
13:25,Eastbound,Thru,826.6
13:30,Eastbound,Thru,1121.4
13:35,Eastbound,Thru,988.9
13:40,Eastbound,Thru,1006.2
13:45,Eastbound,Thru,881.4
13:50,Eastbound,Thru,829.6
13:55,Eastbound,Thru,752.9
14:00,Eastbound,Thru,770.8
14:05,Eastbound,Thru,804.7
14:10,Eastbound,Thru,869.4
14:15,Eastbound,Thru,1016.6
14:20,Eastbound,Thru,1141.3
14:25,Eastbound,Thru,1236.9
14:30,Eastbound,Thru,1189.1
14:35,Eastbound,Thru,1115.4
14:40,Eastbound,Thru,962.0
14:45,Eastbound,Thru,836.5
14:50,Eastbound,Thru,807.9
14:55,Eastbound,Thru,821.9
15:00,Eastbound,Thru,1013.8
15:05,Eastbound,Thru,1133.3
15:10,Eastbound,Thru,1144.3
15:15,Eastbound,Thru,1059.6
15:20,Eastbound,Thru,1015.8
15:25,Eastbound,Thru,1023.0
15:30,Eastbound,Thru,1142.3
15:35,Eastbound,Thru,1273.7
15:40,Eastbound,Thru,1115.4
15:45,Eastbound,Thru,1127.3
15:50,Eastbound,Thru,1238.9
15:55,Eastbound,Thru,1116.4
16:00,Eastbound,Thru,1068.6
16:05,Eastbound,Thru,1180.1
16:10,Eastbound,Thru,1192.1
16:15,Eastbound,Thru,1117.4
16:20,Eastbound,Thru,1089.5
16:25,Eastbound,Thru,1095.5
16:30,Eastbound,Thru,1161.6
16:35,Eastbound,Thru,1245.8
16:40,Eastbound,Thru,1271.7
16:45,Eastbound,Thru,1287.7
16:50,Eastbound,Thru,1276.7
16:55,Eastbound,Thru,1219.0
17:00,Eastbound,Thru,1716.9
17:05,Eastbound,Thru,2191.7
17:10,Eastbound,Thru,2036.6
17:15,Eastbound,Thru,2026.6
17:20,Eastbound,Thru,2400.1
17:25,Eastbound,Thru,2352.3
17:30,Eastbound,Thru,1849.3
17:35,Eastbound,Thru,1937.0
17:40,Eastbound,Thru,1862.7
17:45,Eastbound,Thru,1317.5
17:50,Eastbound,Thru,1220.9
17:55,Eastbound,Thru,1135.3
18:00,Eastbound,Thru,1166.2
18:05,Eastbound,Thru,1192.1
18:10,Eastbound,Thru,993.9
18:15,Eastbound,Thru,951.3
18:20,Eastbound,Thru,1107.4
18:25,Eastbound,Thru,1035.7
18:30,Eastbound,Thru,1172.1
18:35,Eastbound,Thru,1144.3
18:40,Eastbound,Thru,883.3
18:45,Eastbound,Thru,840.5
18:50,Eastbound,Thru,919.4
18:55,Eastbound,Thru,881.7
19:00,Eastbound,Thru,841.5
19:05,Eastbound,Thru,875.4
19:10,Eastbound,Thru,810.6
