time_5min,approach,movement,total_vph
00:00,Northbound,Left,78.5
00:05,Northbound,Left,83.0
00:10,Northbound,Left,76.4
00:15,Northbound,Left,65.8
00:20,Northbound,Left,50.0
00:25,Northbound,Left,52.8
00:30,Northbound,Left,52.5
00:35,Northbound,Left,45.0
00:40,Northbound,Left,68.3
00:45,Northbound,Left,76.7
00:50,Northbound,Left,40.0
00:55,Northbound,Left,11.9
01:00,Northbound,Left,23.5
01:05,Northbound,Left,29.4
01:10,Northbound,Left,30.4
01:15,Northbound,Left,35.9
01:20,Northbound,Left,31.1
01:25,Northbound,Left,18.1
01:30,Northbound,Left,40.3
01:35,Northbound,Left,43.7
01:40,Northbound,Left,23.2
01:45,Northbound,Left,11.6
01:50,Northbound,Left,10.6
01:55,Northbound,Left,6.0
02:00,Northbound,Left,
02:05,Northbound,Left,21.2
02:10,Northbound,Left,23.6
02:15,Northbound,Left,17.4
02:20,Northbound,Left,28.3
02:25,Northbound,Left,25.1
02:30,Northbound,Left,11.1
02:35,Northbound,Left,11.8
02:40,Northbound,Left,11.8
02:45,Northbound,Left,10.2
02:50,Northbound,Left,7.7
02:55,Northbound,Left,7.5
03:00,Northbound,Left,
03:05,Northbound,Left,
03:10,Northbound,Left,12.4
03:15,Northbound,Left,14.0
03:20,Northbound,Left,2.8
03:25,Northbound,Left,
03:30,Northbound,Left,
03:35,Northbound,Left,2.8
03:40,Northbound,Left,9.8
03:45,Northbound,Left,8.4
03:50,Northbound,Left,11.5
03:55,Northbound,Left,6.7
04:00,Northbound,Left,
04:05,Northbound,Left,
04:10,Northbound,Left,23.5
04:15,Northbound,Left,19.0
04:20,Northbound,Left,
04:25,Northbound,Left,28.1
04:30,Northbound,Left,41.4
04:35,Northbound,Left,35.4
04:40,Northbound,Left,22.9
04:45,Northbound,Left,11.8
04:50,Northbound,Left,12.1
04:55,Northbound,Left,6.2
05:00,Northbound,Left,96.7
05:05,Northbound,Left,12.1
05:10,Northbound,Left,12.1
05:15,Northbound,Left,25.7
05:20,Northbound,Left,41.0
05:25,Northbound,Left,30.6
05:30,Northbound,Left,25.4
05:35,Northbound,Left,35.5
05:40,Northbound,Left,41.0
05:45,Northbound,Left,63.5
05:50,Northbound,Left,49.5
05:55,Northbound,Left,35.4
06:00,Northbound,Left,47.1
06:05,Northbound,Left,65.8
06:10,Northbound,Left,83.8
06:15,Northbound,Left,101.6
06:20,Northbound,Left,90.2
06:25,Northbound,Left,60.0
06:30,Northbound,Left,76.5
06:35,Northbound,Left,99.2
06:40,Northbound,Left,93.0
06:45,Northbound,Left,79.1
06:50,Northbound,Left,113.4
06:55,Northbound,Left,130.8
07:00,Northbound,Left,93.2
07:05,Northbound,Left,101.6
07:10,Northbound,Left,133.4
07:15,Northbound,Left,172.6
07:20,Northbound,Left,177.3
07:25,Northbound,Left,133.5
07:30,Northbound,Left,120.7
07:35,Northbound,Left,164.6
07:40,Northbound,Left,158.9
07:45,Northbound,Left,166.5
07:50,Northbound,Left,212.5
07:55,Northbound,Left,210.8
08:00,Northbound,Left,175.1
08:05,Northbound,Left,198.2
08:10,Northbound,Left,184.8
08:15,Northbound,Left,158.4
08:20,Northbound,Left,137.0
08:25,Northbound,Left,112.2
08:30,Northbound,Left,155.1
08:35,Northbound,Left,177.9
08:40,Northbound,Left,185.2
08:45,Northbound,Left,168.5
08:50,Northbound,Left,178.6
08:55,Northbound,Left,175.4
09:00,Northbound,Left,141.6
09:05,Northbound,Left,123.9
09:10,Northbound,Left,227.2
09:15,Northbound,Left,219.5
09:20,Northbound,Left,151.2
09:25,Northbound,Left,197.4
09:30,Northbound,Left,207.4
09:35,Northbound,Left,181.2
09:40,Northbound,Left,160.2
09:45,Northbound,Left,128.3
09:50,Northbound,Left,118.9
09:55,Northbound,Left,119.2
10:00,Northbound,Left,145.0
10:05,Northbound,Left,154.8
10:10,Northbound,Left,156.5
10:15,Northbound,Left,162.8
10:20,Northbound,Left,137.1
10:25,Northbound,Left,86.4
10:30,Northbound,Left,105.0
10:35,Northbound,Left,89.4
10:40,Northbound,Left,138.3
10:45,Northbound,Left,121.6
10:50,Northbound,Left,159.8
10:55,Northbound,Left,147.1
11:00,Northbound,Left,101.0
11:05,Northbound,Left,154.2
11:10,Northbound,Left,155.1
11:15,Northbound,Left,124.7
11:20,Northbound,Left,134.4
11:25,Northbound,Left,98.6
11:30,Northbound,Left,118.5
11:35,Northbound,Left,148.7
11:40,Northbound,Left,158.9
11:45,Northbound,Left,166.8
11:50,Northbound,Left,104.0
11:55,Northbound,Left,138.1
12:00,Northbound,Left,123.9
12:05,Northbound,Left,186.6
12:10,Northbound,Left,177.1
12:15,Northbound,Left,161.1
12:20,Northbound,Left,166.3
12:25,Northbound,Left,188.4
12:30,Northbound,Left,158.7
12:35,Northbound,Left,196.9
12:40,Northbound,Left,160.6
12:45,Northbound,Left,154.5
12:50,Northbound,Left,165.8
12:55,Northbound,Left,158.5
13:00,Northbound,Left,152.7
13:05,Northbound,Left,120.5
13:10,Northbound,Left,126.0
13:15,Northbound,Left,137.0
13:20,Northbound,Left,126.9
13:25,Northbound,Left,189.5
13:30,Northbound,Left,187.7
13:35,Northbound,Left,148.0
13:40,Northbound,Left,160.2
13:45,Northbound,Left,169.6
13:50,Northbound,Left,132.5
13:55,Northbound,Left,146.4
14:00,Northbound,Left,172.3
14:05,Northbound,Left,160.5
14:10,Northbound,Left,139.2
14:15,Northbound,Left,114.1
14:20,Northbound,Left,114.4
14:25,Northbound,Left,137.2
14:30,Northbound,Left,155.3
14:35,Northbound,Left,170.6
14:40,Northbound,Left,177.1
14:45,Northbound,Left,178.7
14:50,Northbound,Left,228.6
14:55,Northbound,Left,222.0
15:00,Northbound,Left,141.6
15:05,Northbound,Left,154.1
15:10,Northbound,Left,124.8
15:15,Northbound,Left,108.3
15:20,Northbound,Left,147.8
15:25,Northbound,Left,155.9
15:30,Northbound,Left,119.5
15:35,Northbound,Left,121.2
15:40,Northbound,Left,142.2
15:45,Northbound,Left,119.8
15:50,Northbound,Left,127.6
15:55,Northbound,Left,165.1
16:00,Northbound,Left,116.7
16:05,Northbound,Left,108.6
16:10,Northbound,Left,123.9
16:15,Northbound,Left,97.4
16:20,Northbound,Left,116.2
16:25,Northbound,Left,153.5
16:30,Northbound,Left,93.5
16:35,Northbound,Left,101.4
16:40,Northbound,Left,136.1
16:45,Northbound,Left,125.5
16:50,Northbound,Left,135.8
16:55,Northbound,Left,150.0
17:00,Northbound,Left,155.6
17:05,Northbound,Left,227.4
17:10,Northbound,Left,295.6
17:15,Northbound,Left,183.9
17:20,Northbound,Left,192.5
17:25,Northbound,Left,268.9
17:30,Northbound,Left,159.3
17:35,Northbound,Left,108.1
17:40,Northbound,Left,136.7
17:45,Northbound,Left,86.7
17:50,Northbound,Left,93.1
17:55,Northbound,Left,135.0
18:00,Northbound,Left,104.6
18:05,Northbound,Left,105.4
18:10,Northbound,Left,147.7
18:15,Northbound,Left,124.6
18:20,Northbound,Left,149.5
18:25,Northbound,Left,185.9
18:30,Northbound,Left,137.8
18:35,Northbound,Left,107.2
18:40,Northbound,Left,112.9
18:45,Northbound,Left,112.9
18:50,Northbound,Left,137.0
18:55,Northbound,Left,168.0
19:00,Northbound,Left,135.0
19:05,Northbound,Left,125.4
19:10,Northbound,Left,147.1
19:15,Northbound,Left,171.1
19:20,Northbound,Left,138.9
19:25,Northbound,Left,141.4
19:30,Northbound,Left,189.7
19:35,Northbound,Left,173.2
19:40,Northbound,Left,153.3
19:45,Northbound,Left,143.3
19:50,Northbound,Left,125.7
19:55,Northbound,Left,135.5
20:00,Northbound,Left,126.1
20:05,Northbound,Left,148.6
20:10,Northbound,Left,153.3
20:15,Northbound,Left,108.6
20:20,Northbound,Left,146.1
20:25,Northbound,Left,184.3
20:30,Northbound,Left,189.4
20:35,Northbound,Left,194.9
20:40,Northbound,Left,176.8
20:45,Northbound,Left,147.9
20:50,Northbound,Left,98.0
20:55,Northbound,Left,101.2
21:00,Northbound,Left,140.1
21:05,Northbound,Left,139.2
21:10,Northbound,Left,201.1
21:15,Northbound,Left,209.8
21:20,Northbound,Left,146.6
21:25,Northbound,Left,136.8
21:30,Northbound,Left,109.6
21:35,Northbound,Left,124.2
21:40,Northbound,Left,88.8
21:45,Northbound,Left,102.1
21:50,Northbound,Left,113.2
21:55,Northbound,Left,99.8
22:00,Northbound,Left,113.2
22:05,Northbound,Left,124.2
22:10,Northbound,Left,122.4
22:15,Northbound,Left,113.3
22:20,Northbound,Left,104.5
22:25,Northbound,Left,77.6
22:30,Northbound,Left,77.0
22:35,Northbound,Left,93.9
22:40,Northbound,Left,119.2
22:45,Northbound,Left,150.7
22:50,Northbound,Left,128.5
22:55,Northbound,Left,90.6
23:00,Northbound,Left,109.1
23:05,Northbound,Left,159.0
23:10,Northbound,Left,144.7
23:15,Northbound,Left,125.2
23:20,Northbound,Left,120.7
23:25,Northbound,Left,111.8
23:30,Northbound,Left,134.9
