time_5min,approach,movement,total_vph
00:00,Northbound,Thru,344.2
00:05,Northbound,Thru,437.2
00:10,Northbound,Thru,439.9
00:15,Northbound,Thru,488.0
00:20,Northbound,Thru,578.7
00:25,Northbound,Thru,614.6
00:30,Northbound,Thru,517.2
00:35,Northbound,Thru,474.1
00:40,Northbound,Thru,421.6
00:45,Northbound,Thru,449.2
00:50,Northbound,Thru,562.1
00:55,Northbound,Thru,460.2
01:00,Northbound,Thru,298.3
01:05,Northbound,Thru,348.2
01:10,Northbound,Thru,424.6
01:15,Northbound,Thru,463.4
01:20,Northbound,Thru,467.8
01:25,Northbound,Thru,453.5
01:30,Northbound,Thru,533.5
01:35,Northbound,Thru,532.9
01:40,Northbound,Thru,530.2
01:45,Northbound,Thru,627.9
01:50,Northbound,Thru,532.2
01:55,Northbound,Thru,516.9
02:00,Northbound,Thru,558.8
02:05,Northbound,Thru,483.0
02:10,Northbound,Thru,454.5
02:15,Northbound,Thru,534.7
02:20,Northbound,Thru,532.5
02:25,Northbound,Thru,455.1
02:30,Northbound,Thru,524.9
02:35,Northbound,Thru,577.7
02:40,Northbound,Thru,574.4
02:45,Northbound,Thru,614.9
02:50,Northbound,Thru,625.9
02:55,Northbound,Thru,495.7
03:00,Northbound,Thru,461.1
03:05,Northbound,Thru,494.0
03:10,Northbound,Thru,561.5
03:15,Northbound,Thru,643.5
03:20,Northbound,Thru,617.9
03:25,Northbound,Thru,687.6
03:30,Northbound,Thru,631.6
03:35,Northbound,Thru,582.0
03:40,Northbound,Thru,461.5
03:45,Northbound,Thru,361.1
03:50,Northbound,Thru,428.9
03:55,Northbound,Thru,357.5
04:00,Northbound,Thru,275.7
04:05,Northbound,Thru,366.8
04:10,Northbound,Thru,347.2
04:15,Northbound,Thru,340.5
04:20,Northbound,Thru,469.8
04:25,Northbound,Thru,380.1
04:30,Northbound,Thru,158.4
04:35,Northbound,Thru,154.8
04:40,Northbound,Thru,272.8
04:45,Northbound,Thru,389.0
04:50,Northbound,Thru,463.1
04:55,Northbound,Thru,465.1
05:00,Northbound,Thru,546.5
05:05,Northbound,Thru,509.5
05:10,Northbound,Thru,315.6
05:15,Northbound,Thru,399.3
05:20,Northbound,Thru,550.5
05:25,Northbound,Thru,557.1
05:30,Northbound,Thru,449.2
05:35,Northbound,Thru,362.5
05:40,Northbound,Thru,405.3
05:45,Northbound,Thru,390.4
05:50,Northbound,Thru,343.8
05:55,Northbound,Thru,295.0
06:00,Northbound,Thru,261.1
06:05,Northbound,Thru,267.8
06:10,Northbound,Thru,240.9
06:15,Northbound,Thru,226.7
06:20,Northbound,Thru,337.2
06:25,Northbound,Thru,279.4
06:30,Northbound,Thru,206.6
06:35,Northbound,Thru,312.0
06:40,Northbound,Thru,390.7
06:45,Northbound,Thru,330.6
06:50,Northbound,Thru,238.1
06:55,Northbound,Thru,261.3
07:00,Northbound,Thru,365.4
07:05,Northbound,Thru,318.6
07:10,Northbound,Thru,305.6
07:15,Northbound,Thru,344.2
07:20,Northbound,Thru,294.0
07:25,Northbound,Thru,309.6
07:30,Northbound,Thru,326.6
07:35,Northbound,Thru,141.5
07:40,Northbound,Thru,371.8
07:45,Northbound,Thru,360.8
07:50,Northbound,Thru,306.3
07:55,Northbound,Thru,328.2
08:00,Northbound,Thru,373.1
08:05,Northbound,Thru,353.8
08:10,Northbound,Thru,383.7
08:15,Northbound,Thru,364.8
08:20,Northbound,Thru,369.4
08:25,Northbound,Thru,392.4
08:30,Northbound,Thru,360.7
08:35,Northbound,Thru,441.2
08:40,Northbound,Thru,452.5
08:45,Northbound,Thru,439.2
08:50,Northbound,Thru,503.6
08:55,Northbound,Thru,496.1
09:00,Northbound,Thru,394.7
09:05,Northbound,Thru,415.4
09:10,Northbound,Thru,413.6
09:15,Northbound,Thru,512.6
09:20,Northbound,Thru,443.8
09:25,Northbound,Thru,354.5
09:30,Northbound,Thru,428.6
09:35,Northbound,Thru,427.6
09:40,Northbound,Thru,375.0
09:45,Northbound,Thru,307.6
09:50,Northbound,Thru,356.5
09:55,Northbound,Thru,408.9
10:00,Northbound,Thru,399.3
10:05,Northbound,Thru,328.2
10:10,Northbound,Thru,286.4
10:15,Northbound,Thru,367.3
10:20,Northbound,Thru,356.5
10:25,Northbound,Thru,291.0
10:30,Northbound,Thru,270.4
10:35,Northbound,Thru,327.6
10:40,Northbound,Thru,414.6
10:45,Northbound,Thru,399.3
10:50,Northbound,Thru,273.2
10:55,Northbound,Thru,249.8
11:00,Northbound,Thru,298.7
11:05,Northbound,Thru,284.7
11:10,Northbound,Thru,298.0
11:15,Northbound,Thru,338.9
11:20,Northbound,Thru,340.2
11:25,Northbound,Thru,321.3
11:30,Northbound,Thru,330.6
11:35,Northbound,Thru,390.4
11:40,Northbound,Thru,353.2
11:45,Northbound,Thru,305.6
11:50,Northbound,Thru,366.8
11:55,Northbound,Thru,354.1
12:00,Northbound,Thru,351.2
12:05,Northbound,Thru,301.3
12:10,Northbound,Thru,220.3
12:15,Northbound,Thru,264.1
12:20,Northbound,Thru,301.0
12:25,Northbound,Thru,259.1
12:30,Northbound,Thru,240.5
12:35,Northbound,Thru,281.4
12:40,Northbound,Thru,381.7
12:45,Northbound,Thru,398.7
12:50,Northbound,Thru,316.3
12:55,Northbound,Thru,365.1
13:00,Northbound,Thru,374.3
13:05,Northbound,Thru,371.0
13:10,Northbound,Thru,380.4
13:15,Northbound,Thru,365.1
13:20,Northbound,Thru,241.2
13:25,Northbound,Thru,368.4
13:30,Northbound,Thru,330.9
13:35,Northbound,Thru,357.1
13:40,Northbound,Thru,395.5
13:45,Northbound,Thru,313.6
13:50,Northbound,Thru,314.3
13:55,Northbound,Thru,339.8
14:00,Northbound,Thru,333.2
14:05,Northbound,Thru,265.4
14:10,Northbound,Thru,286.0
14:15,Northbound,Thru,386.4
14:20,Northbound,Thru,346.8
14:25,Northbound,Thru,308.6
14:30,Northbound,Thru,299.0
14:35,Northbound,Thru,326.9
14:40,Northbound,Thru,318.6
14:45,Northbound,Thru,364.1
14:50,Northbound,Thru,440.9
14:55,Northbound,Thru,327.3
15:00,Northbound,Thru,246.2
15:05,Northbound,Thru,275.7
15:10,Northbound,Thru,337.2
15:15,Northbound,Thru,371.8
15:20,Northbound,Thru,361.1
15:25,Northbound,Thru,256.7
15:30,Northbound,Thru,116.9
15:35,Northbound,Thru,145.5
15:40,Northbound,Thru,190.4
15:45,Northbound,Thru,218.9
15:50,Northbound,Thru,190.0
15:55,Northbound,Thru,273.7
16:00,Northbound,Thru,291.4
16:05,Northbound,Thru,221.9
16:10,Northbound,Thru,267.4
16:15,Northbound,Thru,315.3
16:20,Northbound,Thru,255.5
16:25,Northbound,Thru,240.2
16:30,Northbound,Thru,172.5
16:35,Northbound,Thru,198.0
16:40,Northbound,Thru,262.5
16:45,Northbound,Thru,273.7
16:50,Northbound,Thru,269.1
16:55,Northbound,Thru,258.5
17:00,Northbound,Thru,460.2
17:05,Northbound,Thru,531.3
17:10,Northbound,Thru,512.3
17:15,Northbound,Thru,479.1
17:20,Northbound,Thru,487.7
17:25,Northbound,Thru,481.4
17:30,Northbound,Thru,467.4
17:35,Northbound,Thru,595.7
17:40,Northbound,Thru,618.5
17:45,Northbound,Thru,365.8
17:50,Northbound,Thru,329.6
17:55,Northbound,Thru,314.9
18:00,Northbound,Thru,255.1
18:05,Northbound,Thru,146.5
18:10,Northbound,Thru,188.0
18:15,Northbound,Thru,264.7
18:20,Northbound,Thru,235.2
18:25,Northbound,Thru,304.6
18:30,Northbound,Thru,266.4
18:35,Northbound,Thru,163.5
18:40,Northbound,Thru,292.4
18:45,Northbound,Thru,376.1
18:50,Northbound,Thru,228.6
18:55,Northbound,Thru,189.1
19:00,Northbound,Thru,352.5
19:05,Northbound,Thru,410.0
19:10,Northbound,Thru,342.9
19:15,Northbound,Thru,294.0
19:20,Northbound,Thru,281.1
19:25,Northbound,Thru,252.5
19:30,Northbound,Thru,306.0
19:35,Northbound,Thru,325.9
19:40,Northbound,Thru,309.6
19:45,Northbound,Thru,271.1
19:50,Northbound,Thru,239.2
19:55,Northbound,Thru,288.4
20:00,Northbound,Thru,346.2
20:05,Northbound,Thru,341.2
20:10,Northbound,Thru,316.3
20:15,Northbound,Thru,297.3
20:20,Northbound,Thru,329.9
20:25,Northbound,Thru,381.1
20:30,Northbound,Thru,327.7
20:35,Northbound,Thru,367.1
20:40,Northbound,Thru,349.2
20:45,Northbound,Thru,273.4
20:50,Northbound,Thru,256.1
20:55,Northbound,Thru,250.5
21:00,Northbound,Thru,269.3
21:05,Northbound,Thru,341.5
21:10,Northbound,Thru,323.9
21:15,Northbound,Thru,281.4
21:20,Northbound,Thru,261.5
21:25,Northbound,Thru,220.3
21:30,Northbound,Thru,252.5
21:35,Northbound,Thru,261.8
21:40,Northbound,Thru,225.9
21:45,Northbound,Thru,190.4
21:50,Northbound,Thru,144.2
21:55,Northbound,Thru,192.7
22:00,Northbound,Thru,305.6
22:05,Northbound,Thru,291.4
22:10,Northbound,Thru,252.5
22:15,Northbound,Thru,244.5
22:20,Northbound,Thru,221.6
22:25,Northbound,Thru,174.7
22:30,Northbound,Thru,230.2
22:35,Northbound,Thru,232.9
22:40,Northbound,Thru,204.0
22:45,Northbound,Thru,205.0
22:50,Northbound,Thru,224.8
22:55,Northbound,Thru,199.8
23:00,Northbound,Thru,210.3
23:05,Northbound,Thru,172.8
23:10,Northbound,Thru,132.6
23:15,Northbound,Thru,172.4
23:20,Northbound,Thru,176.1
23:25,Northbound,Thru,155.5
23:30,Northbound,Thru,143.2
23:35,Northbound,Thru,142.5
23:40,Northbound,Thru,171.4
23:45,Northbound,Thru,192.7
23:50,Northbound,Thru,222.6
23:55,Northbound,Thru,304.3
