time_5min,approach,movement,total_vph
00:00,Southbound,Thru,136.1
00:05,Southbound,Thru,118.6
00:10,Southbound,Thru,125.2
00:15,Southbound,Thru,107.4
00:20,Southbound,Thru,86.8
00:25,Southbound,Thru,75.5
00:30,Southbound,Thru,70.0
00:35,Southbound,Thru,65.6
00:40,Southbound,Thru,50.4
00:45,Southbound,Thru,63.6
00:50,Southbound,Thru,54.8
00:55,Southbound,Thru,57.4
01:00,Southbound,Thru,90.8
01:05,Southbound,Thru,61.0
01:10,Southbound,Thru,38.4
01:15,Southbound,Thru,74.9
01:20,Southbound,Thru,55.7
01:25,Southbound,Thru,33.8
01:30,Southbound,Thru,44.4
01:35,Southbound,Thru,40.4
01:40,Southbound,Thru,36.0
01:45,Southbound,Thru,57.0
01:50,Southbound,Thru,55.7
01:55,Southbound,Thru,35.3
02:00,Southbound,Thru,27.8
02:05,Southbound,Thru,23.2
02:10,Southbound,Thru,15.9
02:15,Southbound,Thru,36.6
02:20,Southbound,Thru,35.1
02:25,Southbound,Thru,29.2
02:30,Southbound,Thru,26.5
02:35,Southbound,Thru,27.8
02:40,Southbound,Thru,18.6
02:45,Southbound,Thru,
02:50,Southbound,Thru,44.5
02:55,Southbound,Thru,50.4
03:00,Southbound,Thru,20.5
03:05,Southbound,Thru,11.9
03:10,Southbound,Thru,30.5
03:15,Southbound,Thru,27.2
03:20,Southbound,Thru,
03:25,Southbound,Thru,13.3
03:30,Southbound,Thru,18.6
03:35,Southbound,Thru,23.9
03:40,Southbound,Thru,29.8
03:45,Southbound,Thru,35.1
03:50,Southbound,Thru,29.2
03:55,Southbound,Thru,
04:00,Southbound,Thru,39.1
04:05,Southbound,Thru,34.5
04:10,Southbound,Thru,35.1
04:15,Southbound,Thru,29.8
04:20,Southbound,Thru,10.6
04:25,Southbound,Thru,26.5
04:30,Southbound,Thru,34.5
04:35,Southbound,Thru,42.4
04:40,Southbound,Thru,60.3
04:45,Southbound,Thru,76.2
04:50,Southbound,Thru,68.3
04:55,Southbound,Thru,716.6
05:00,Southbound,Thru,535.4
05:05,Southbound,Thru,81.6
05:10,Southbound,Thru,98.7
05:15,Southbound,Thru,96.1
05:20,Southbound,Thru,144.5
05:25,Southbound,Thru,143.8
05:30,Southbound,Thru,120.6
05:35,Southbound,Thru,122.6
05:40,Southbound,Thru,103.4
05:45,Southbound,Thru,115.3
05:50,Southbound,Thru,163.7
05:55,Southbound,Thru,167.0
06:00,Southbound,Thru,215.4
06:05,Southbound,Thru,229.9
06:10,Southbound,Thru,160.4
06:15,Southbound,Thru,198.8
06:20,Southbound,Thru,224.6
06:25,Southbound,Thru,186.2
06:30,Southbound,Thru,249.2
06:35,Southbound,Thru,272.4
06:40,Southbound,Thru,346.6
06:45,Southbound,Thru,428.1
06:50,Southbound,Thru,425.2
06:55,Southbound,Thru,445.3
07:00,Southbound,Thru,465.8
07:05,Southbound,Thru,432.7
07:10,Southbound,Thru,372.4
07:15,Southbound,Thru,343.9
07:20,Southbound,Thru,336.6
07:25,Southbound,Thru,423.0
07:30,Southbound,Thru,490.4
07:35,Southbound,Thru,484.4
07:40,Southbound,Thru,530.8
07:45,Southbound,Thru,471.8
07:50,Southbound,Thru,463.9
07:55,Southbound,Thru,512.2
08:00,Southbound,Thru,518.9
08:05,Southbound,Thru,677.9
08:10,Southbound,Thru,668.6
08:15,Southbound,Thru,493.0
08:20,Southbound,Thru,505.6
08:25,Southbound,Thru,604.3
08:30,Southbound,Thru,571.5
08:35,Southbound,Thru,478.4
08:40,Southbound,Thru,422.8
08:45,Southbound,Thru,469.2
08:50,Southbound,Thru,455.2
08:55,Southbound,Thru,530.1
09:00,Southbound,Thru,709.7
09:05,Southbound,Thru,662.7
09:10,Southbound,Thru,558.6
09:15,Southbound,Thru,529.5
09:20,Southbound,Thru,588.4
09:25,Southbound,Thru,598.4
09:30,Southbound,Thru,553.3
09:35,Southbound,Thru,482.4
09:40,Southbound,Thru,630.3
09:45,Southbound,Thru,592.4
09:50,Southbound,Thru,506.3
09:55,Southbound,Thru,506.3
10:00,Southbound,Thru,584.5
10:05,Southbound,Thru,608.3
10:10,Southbound,Thru,553.3
10:15,Southbound,Thru,617.6
10:20,Southbound,Thru,709.0
10:25,Southbound,Thru,619.6
10:30,Southbound,Thru,446.0
10:35,Southbound,Thru,404.9
10:40,Southbound,Thru,529.5
10:45,Southbound,Thru,575.2
10:50,Southbound,Thru,513.7
10:55,Southbound,Thru,509.8
11:00,Southbound,Thru,550.7
11:05,Southbound,Thru,534.1
11:10,Southbound,Thru,473.1
11:15,Southbound,Thru,440.7
11:20,Southbound,Thru,486.4
11:25,Southbound,Thru,550.8
11:30,Southbound,Thru,546.7
11:35,Southbound,Thru,537.4
11:40,Southbound,Thru,554.6
11:45,Southbound,Thru,569.9
11:50,Southbound,Thru,576.5
11:55,Southbound,Thru,569.9
12:00,Southbound,Thru,504.3
12:05,Southbound,Thru,533.4
12:10,Southbound,Thru,512.9
12:15,Southbound,Thru,554.6
12:20,Southbound,Thru,652.1
12:25,Southbound,Thru,565.2
12:30,Southbound,Thru,438.9
12:35,Southbound,Thru,393.0
12:40,Southbound,Thru,415.5
12:45,Southbound,Thru,404.9
12:50,Southbound,Thru,422.1
12:55,Southbound,Thru,503.6
13:00,Southbound,Thru,570.8
13:05,Southbound,Thru,616.5
13:10,Southbound,Thru,499.0
13:15,Southbound,Thru,446.0
13:20,Southbound,Thru,519.5
13:25,Southbound,Thru,675.9
13:30,Southbound,Thru,722.3
13:35,Southbound,Thru,793.9
13:40,Southbound,Thru,828.6
13:45,Southbound,Thru,707.7
13:50,Southbound,Thru,608.3
13:55,Southbound,Thru,462.1
14:00,Southbound,Thru,528.8
14:05,Southbound,Thru,706.4
14:10,Southbound,Thru,754.8
14:15,Southbound,Thru,683.3
14:20,Southbound,Thru,653.4
14:25,Southbound,Thru,548.0
14:30,Southbound,Thru,523.5
14:35,Southbound,Thru,480.4
14:40,Southbound,Thru,554.0
14:45,Southbound,Thru,703.7
14:50,Southbound,Thru,678.6
14:55,Southbound,Thru,677.7
15:00,Southbound,Thru,544.7
15:05,Southbound,Thru,536.8
15:10,Southbound,Thru,583.8
15:15,Southbound,Thru,601.0
15:20,Southbound,Thru,659.3
15:25,Southbound,Thru,670.1
15:30,Southbound,Thru,767.4
15:35,Southbound,Thru,625.5
15:40,Southbound,Thru,508.9
15:45,Southbound,Thru,656.0
15:50,Southbound,Thru,650.7
15:55,Southbound,Thru,494.3
16:00,Southbound,Thru,670.6
16:05,Southbound,Thru,609.0
16:10,Southbound,Thru,556.0
16:15,Southbound,Thru,805.1
16:20,Southbound,Thru,833.0
16:25,Southbound,Thru,700.4
16:30,Southbound,Thru,736.3
16:35,Southbound,Thru,668.6
16:40,Southbound,Thru,609.6
16:45,Southbound,Thru,697.1
16:50,Southbound,Thru,678.6
16:55,Southbound,Thru,565.9
17:00,Southbound,Thru,1060.2
17:05,Southbound,Thru,1303.0
17:10,Southbound,Thru,1011.2
17:15,Southbound,Thru,1341.2
17:20,Southbound,Thru,1341.2
17:25,Southbound,Thru,1123.9
17:30,Southbound,Thru,1229.9
17:35,Southbound,Thru,1276.9
17:40,Southbound,Thru,1145.1
17:45,Southbound,Thru,943.0
17:50,Southbound,Thru,732.2
17:55,Southbound,Thru,558.4
18:00,Southbound,Thru,551.3
18:05,Southbound,Thru,593.1
18:10,Southbound,Thru,693.1
18:15,Southbound,Thru,888.0
18:20,Southbound,Thru,686.5
18:25,Southbound,Thru,503.0
18:30,Southbound,Thru,604.3
18:35,Southbound,Thru,590.4
18:40,Southbound,Thru,489.7
18:45,Southbound,Thru,538.7
18:50,Southbound,Thru,598.5
18:55,Southbound,Thru,675.9
19:00,Southbound,Thru,726.3
19:05,Southbound,Thru,673.9
19:10,Southbound,Thru,622.9
19:15,Southbound,Thru,493.7
19:20,Southbound,Thru,475.1
19:25,Southbound,Thru,511.6
19:30,Southbound,Thru,642.1
19:35,Southbound,Thru,630.2
19:40,Southbound,Thru,494.3
19:45,Southbound,Thru,546.7
19:50,Southbound,Thru,529.5
19:55,Southbound,Thru,459.2
20:00,Southbound,Thru,614.9
20:05,Southbound,Thru,556.6
20:10,Southbound,Thru,495.7
