time_5min,approach,movement,total_vph
00:00,Westbound,Left,15.7
00:05,Westbound,Left,24.0
00:10,Westbound,Left,28.3
00:15,Westbound,Left,24.1
00:20,Westbound,Left,27.8
00:25,Westbound,Left,30.2
00:30,Westbound,Left,25.2
00:35,Westbound,Left,38.7
00:40,Westbound,Left,35.7
00:45,Westbound,Left,27.7
00:50,Westbound,Left,34.6
00:55,Westbound,Left,22.5
01:00,Westbound,Left,12.2
01:05,Westbound,Left,19.6
01:10,Westbound,Left,13.0
01:15,Westbound,Left,19.3
01:20,Westbound,Left,46.7
01:25,Westbound,Left,51.1
01:30,Westbound,Left,36.2
01:35,Westbound,Left,26.1
01:40,Westbound,Left,17.6
01:45,Westbound,Left,18.0
01:50,Westbound,Left,17.5
01:55,Westbound,Left,12.1
02:00,Westbound,Left,6.7
02:05,Westbound,Left,6.0
02:10,Westbound,Left,5.5
02:15,Westbound,Left,6.6
02:20,Westbound,Left,16.4
02:25,Westbound,Left,13.1
02:30,Westbound,Left,12.0
02:35,Westbound,Left,16.4
02:40,Westbound,Left,7.5
02:45,Westbound,Left,7.3
02:50,Westbound,Left,6.1
02:55,Westbound,Left,11.0
03:00,Westbound,Left,6.7
03:05,Westbound,Left,18.8
03:10,Westbound,Left,28.0
03:15,Westbound,Left,14.2
03:20,Westbound,Left,8.8
03:25,Westbound,Left,7.4
03:30,Westbound,Left,6.5
03:35,Westbound,Left,3.8
03:40,Westbound,Left,1.9
03:45,Westbound,Left,3.8
03:50,Westbound,Left,6.4
03:55,Westbound,Left,5.9
04:00,Westbound,Left,5.9
04:05,Westbound,Left,6.4
04:10,Westbound,Left,6.0
04:15,Westbound,Left,6.0
04:20,Westbound,Left,4.8
04:25,Westbound,Left,5.5
04:30,Westbound,Left,
04:35,Westbound,Left,
04:40,Westbound,Left,
04:45,Westbound,Left,37.6
04:50,Westbound,Left,7.5
04:55,Westbound,Left,6.2
05:00,Westbound,Left,14.0
05:05,Westbound,Left,20.5
05:10,Westbound,Left,13.1
