time_5min,approach,movement,total_vph
00:00,Westbound,Thru,184.8
00:05,Westbound,Thru,223.1
00:10,Westbound,Thru,215.5
00:15,Westbound,Thru,170.5
00:20,Westbound,Thru,154.2
00:25,Westbound,Thru,176.9
00:30,Westbound,Thru,216.7
00:35,Westbound,Thru,257.4
00:40,Westbound,Thru,317.1
00:45,Westbound,Thru,216.3
00:50,Westbound,Thru,137.8
00:55,Westbound,Thru,55.8
01:00,Westbound,Thru,88.8
01:05,Westbound,Thru,112.5
01:10,Westbound,Thru,61.6
01:15,Westbound,Thru,92.4
01:20,Westbound,Thru,94.4
01:25,Westbound,Thru,71.7
01:30,Westbound,Thru,71.3
01:35,Westbound,Thru,95.6
01:40,Westbound,Thru,72.0
01:45,Westbound,Thru,61.7
01:50,Westbound,Thru,66.9
01:55,Westbound,Thru,59.5
02:00,Westbound,Thru,53.8
02:05,Westbound,Thru,53.0
02:10,Westbound,Thru,37.0
02:15,Westbound,Thru,26.5
02:20,Westbound,Thru,43.0
02:25,Westbound,Thru,82.9
02:30,Westbound,Thru,78.1
02:35,Westbound,Thru,41.4
02:40,Westbound,Thru,40.2
02:45,Westbound,Thru,29.5
02:50,Westbound,Thru,
02:55,Westbound,Thru,31.9
03:00,Westbound,Thru,32.4
03:05,Westbound,Thru,15.9
03:10,Westbound,Thru,
03:15,Westbound,Thru,23.5
03:20,Westbound,Thru,22.7
03:25,Westbound,Thru,14.3
03:30,Westbound,Thru,
03:35,Westbound,Thru,22.3
03:40,Westbound,Thru,16.3
03:45,Westbound,Thru,12.0
03:50,Westbound,Thru,12.0
03:55,Westbound,Thru,
04:00,Westbound,Thru,25.5
04:05,Westbound,Thru,
04:10,Westbound,Thru,22.3
04:15,Westbound,Thru,23.1
04:20,Westbound,Thru,19.1
04:25,Westbound,Thru,29.7
04:30,Westbound,Thru,29.9
04:35,Westbound,Thru,43.0
04:40,Westbound,Thru,35.5
04:45,Westbound,Thru,27.9
04:50,Westbound,Thru,31.9
04:55,Westbound,Thru,426.0
05:00,Westbound,Thru,426.0
05:05,Westbound,Thru,40.4
05:10,Westbound,Thru,37.2
05:15,Westbound,Thru,
05:20,Westbound,Thru,27.1
05:25,Westbound,Thru,35.9
05:30,Westbound,Thru,53.8
05:35,Westbound,Thru,71.3
05:40,Westbound,Thru,88.9
05:45,Westbound,Thru,106.8
05:50,Westbound,Thru,111.9
05:55,Westbound,Thru,96.7
06:00,Westbound,Thru,65.7
06:05,Westbound,Thru,93.6
06:10,Westbound,Thru,112.7
06:15,Westbound,Thru,126.8
06:20,Westbound,Thru,184.4
06:25,Westbound,Thru,153.0
06:30,Westbound,Thru,163.7
06:35,Westbound,Thru,193.6
06:40,Westbound,Thru,172.1
06:45,Westbound,Thru,204.8
06:50,Westbound,Thru,260.4
06:55,Westbound,Thru,267.7
07:00,Westbound,Thru,270.5
07:05,Westbound,Thru,206.8
07:10,Westbound,Thru,301.2
07:15,Westbound,Thru,341.4
07:20,Westbound,Thru,423.1
07:25,Westbound,Thru,360.1
07:30,Westbound,Thru,380.4
07:35,Westbound,Thru,510.7
07:40,Westbound,Thru,565.7
07:45,Westbound,Thru,580.0
07:50,Westbound,Thru,642.6
07:55,Westbound,Thru,705.5
08:00,Westbound,Thru,699.5
08:05,Westbound,Thru,646.6
08:10,Westbound,Thru,604.3
08:15,Westbound,Thru,706.7
08:20,Westbound,Thru,680.4
08:25,Westbound,Thru,601.9
08:30,Westbound,Thru,618.0
08:35,Westbound,Thru,650.5
08:40,Westbound,Thru,602.3
08:45,Westbound,Thru,500.8
08:50,Westbound,Thru,597.2
08:55,Westbound,Thru,664.5
09:00,Westbound,Thru,531.8
09:05,Westbound,Thru,510.6
09:10,Westbound,Thru,583.6
09:15,Westbound,Thru,470.5
09:20,Westbound,Thru,376.1
09:25,Westbound,Thru,431.4
09:30,Westbound,Thru,509.9
09:35,Westbound,Thru,472.5
09:40,Westbound,Thru,461.2
09:45,Westbound,Thru,392.0
09:50,Westbound,Thru,288.0
09:55,Westbound,Thru,268.2
10:00,Westbound,Thru,292.8
10:05,Westbound,Thru,324.7
10:10,Westbound,Thru,327.5
10:15,Westbound,Thru,352.2
10:20,Westbound,Thru,348.6
10:25,Westbound,Thru,268.5
10:30,Westbound,Thru,345.4
10:35,Westbound,Thru,375.7
10:40,Westbound,Thru,367.3
10:45,Westbound,Thru,453.0
10:50,Westbound,Thru,363.6
10:55,Westbound,Thru,298.5
11:00,Westbound,Thru,404.7
11:05,Westbound,Thru,380.4
11:10,Westbound,Thru,344.2
11:15,Westbound,Thru,384.4
11:20,Westbound,Thru,343.4
11:25,Westbound,Thru,298.0
11:30,Westbound,Thru,416.3
11:35,Westbound,Thru,468.5
11:40,Westbound,Thru,433.8
11:45,Westbound,Thru,439.4
11:50,Westbound,Thru,497.2
11:55,Westbound,Thru,492.4
12:00,Westbound,Thru,472.9
12:05,Westbound,Thru,431.8
12:10,Westbound,Thru,470.1
12:15,Westbound,Thru,510.3
12:20,Westbound,Thru,488.0
12:25,Westbound,Thru,501.2
12:30,Westbound,Thru,552.3
12:35,Westbound,Thru,526.7
12:40,Westbound,Thru,499.6
12:45,Westbound,Thru,404.0
12:50,Westbound,Thru,306.4
12:55,Westbound,Thru,378.5
13:00,Westbound,Thru,424.4
13:05,Westbound,Thru,374.2
13:10,Westbound,Thru,386.0
13:15,Westbound,Thru,411.1
13:20,Westbound,Thru,461.3
13:25,Westbound,Thru,479.2
13:30,Westbound,Thru,483.2
13:35,Westbound,Thru,516.3
13:40,Westbound,Thru,450.3
13:45,Westbound,Thru,481.2
13:50,Westbound,Thru,403.2
13:55,Westbound,Thru,398.9
14:00,Westbound,Thru,423.1
14:05,Westbound,Thru,406.3
14:10,Westbound,Thru,420.7
