time_5min,approach,movement,total_vph
00:00,Southbound,Left,83.4
00:05,Southbound,Left,77.3
00:10,Southbound,Left,205.4
00:15,Southbound,Left,70.9
00:20,Southbound,Left,70.5
00:25,Southbound,Left,65.3
00:30,Southbound,Left,78.7
00:35,Southbound,Left,99.4
00:40,Southbound,Left,82.3
00:45,Southbound,Left,54.6
00:50,Southbound,Left,35.3
00:55,Southbound,Left,17.0
01:00,Southbound,Left,54.4
01:05,Southbound,Left,77.1
01:10,Southbound,Left,81.3
01:15,Southbound,Left,72.0
01:20,Southbound,Left,71.5
01:25,Southbound,Left,75.9
01:30,Southbound,Left,59.6
01:35,Southbound,Left,53.8
01:40,Southbound,Left,41.3
01:45,Southbound,Left,41.2
01:50,Southbound,Left,40.6
01:55,Southbound,Left,40.4
02:00,Southbound,Left,24.7
02:05,Southbound,Left,23.5
02:10,Southbound,Left,22.9
02:15,Southbound,Left,17.7
02:20,Southbound,Left,21.5
02:25,Southbound,Left,35.1
02:30,Southbound,Left,30.8
02:35,Southbound,Left,31.9
02:40,Southbound,Left,29.7
02:45,Southbound,Left,23.3
02:50,Southbound,Left,30.1
02:55,Southbound,Left,27.9
03:00,Southbound,Left,27.9
03:05,Southbound,Left,22.9
03:10,Southbound,Left,13.3
03:15,Southbound,Left,23.7
03:20,Southbound,Left,46.4
03:25,Southbound,Left,54.0
03:30,Southbound,Left,46.8
03:35,Southbound,Left,36.1
03:40,Southbound,Left,40.8
03:45,Southbound,Left,40.2
03:50,Southbound,Left,18.1
03:55,Southbound,Left,18.1
04:00,Southbound,Left,24.3
04:05,Southbound,Left,17.3
04:10,Southbound,Left,23.3
04:15,Southbound,Left,36.3
04:20,Southbound,Left,53.4
04:25,Southbound,Left,53.4
04:30,Southbound,Left,46.8
04:35,Southbound,Left,35.7
04:40,Southbound,Left,17.9
04:45,Southbound,Left,44.8
04:50,Southbound,Left,53.6
04:55,Southbound,Left,45.8
05:00,Southbound,Left,42.4
05:05,Southbound,Left,22.5
05:10,Southbound,Left,12.7
05:15,Southbound,Left,29.1
05:20,Southbound,Left,36.5
05:25,Southbound,Left,54.0
05:30,Southbound,Left,46.4
05:35,Southbound,Left,23.1
05:40,Southbound,Left,46.6
05:45,Southbound,Left,59.2
05:50,Southbound,Left,46.9
05:55,Southbound,Left,52.6
06:00,Southbound,Left,65.7
06:05,Southbound,Left,65.5
06:10,Southbound,Left,59.8
06:15,Southbound,Left,109.0
06:20,Southbound,Left,60.8
06:25,Southbound,Left,64.1
06:30,Southbound,Left,75.7
06:35,Southbound,Left,83.9
06:40,Southbound,Left,71.6
06:45,Southbound,Left,90.4
06:50,Southbound,Left,107.2
06:55,Southbound,Left,96.8
07:00,Southbound,Left,119.8
07:05,Southbound,Left,93.1
07:10,Southbound,Left,65.9
07:15,Southbound,Left,82.5
07:20,Southbound,Left,100.4
07:25,Southbound,Left,91.0
07:30,Southbound,Left,88.4
07:35,Southbound,Left,104.6
07:40,Southbound,Left,92.2
07:45,Southbound,Left,93.0
07:50,Southbound,Left,112.0
07:55,Southbound,Left,95.4
08:00,Southbound,Left,73.5
08:05,Southbound,Left,66.7
08:10,Southbound,Left,132.5
08:15,Southbound,Left,137.5
08:20,Southbound,Left,78.3
08:25,Southbound,Left,93.2
08:30,Southbound,Left,93.2
08:35,Southbound,Left,83.7
08:40,Southbound,Left,115.3
08:45,Southbound,Left,133.5
08:50,Southbound,Left,97.1
08:55,Southbound,Left,109.4
09:00,Southbound,Left,154.0
09:05,Southbound,Left,133.7
09:10,Southbound,Left,75.5
09:15,Southbound,Left,58.8
09:20,Southbound,Left,83.7
09:25,Southbound,Left,89.8
09:30,Southbound,Left,100.0
09:35,Southbound,Left,107.0
09:40,Southbound,Left,111.9
09:45,Southbound,Left,131.1
09:50,Southbound,Left,104.6
09:55,Southbound,Left,81.9
10:00,Southbound,Left,67.5
10:05,Southbound,Left,95.1
10:10,Southbound,Left,106.8
10:15,Southbound,Left,137.1
10:20,Southbound,Left,143.2
10:25,Southbound,Left,139.6
10:30,Southbound,Left,112.2
10:35,Southbound,Left,64.5
10:40,Southbound,Left,82.9
10:45,Southbound,Left,106.6
10:50,Southbound,Left,145.6
10:55,Southbound,Left,179.7
11:00,Southbound,Left,128.5
11:05,Southbound,Left,82.7
11:10,Southbound,Left,91.4
11:15,Southbound,Left,103.0
11:20,Southbound,Left,130.8
11:25,Southbound,Left,144.8
11:30,Southbound,Left,101.4
11:35,Southbound,Left,109.8
11:40,Southbound,Left,139.8
11:45,Southbound,Left,135.6
11:50,Southbound,Left,125.3
11:55,Southbound,Left,112.1
12:00,Southbound,Left,77.3
12:05,Southbound,Left,95.2
12:10,Southbound,Left,140.7
12:15,Southbound,Left,148.0
12:20,Southbound,Left,141.8
12:25,Southbound,Left,125.1
12:30,Southbound,Left,92.0
12:35,Southbound,Left,139.3
12:40,Southbound,Left,144.8
12:45,Southbound,Left,114.1
12:50,Southbound,Left,164.9
12:55,Southbound,Left,176.3
13:00,Southbound,Left,126.3
13:05,Southbound,Left,109.0
13:10,Southbound,Left,83.7
13:15,Southbound,Left,63.5
13:20,Southbound,Left,69.5
13:25,Southbound,Left,129.4
13:30,Southbound,Left,155.0
13:35,Southbound,Left,141.2
13:40,Southbound,Left,136.3
13:45,Southbound,Left,159.0
13:50,Southbound,Left,122.7
13:55,Southbound,Left,110.2
14:00,Southbound,Left,130.3
14:05,Southbound,Left,153.4
14:10,Southbound,Left,174.5
14:15,Southbound,Left,160.2
