date,time_5min,approach,movement,total_vph
0507,00:00,Eastbound,Left,38.4
0507,00:05,Eastbound,Left,51.5
0507,00:10,Eastbound,Left,62.1
0507,00:15,Eastbound,Left,53.7
0507,00:20,Eastbound,Left,49.8
0507,00:25,Eastbound,Left,48.1
0507,00:30,Eastbound,Left,45.4
0507,00:35,Eastbound,Left,97.3
0507,00:40,Eastbound,Left,78.5
0507,00:45,Eastbound,Left,37.9
0507,00:50,Eastbound,Left,23.7
0507,00:55,Eastbound,Left,20.1
0507,01:00,Eastbound,Left,31.4
0507,01:05,Eastbound,Left,40.7
0507,01:10,Eastbound,Left,30.5
0507,01:15,Eastbound,Left,31.2
0507,01:20,Eastbound,Left,37.3
0507,01:25,Eastbound,Left,54.5
0507,01:30,Eastbound,Left,54.6
0507,01:35,Eastbound,Left,38.6
0507,01:40,Eastbound,Left,19.7
0507,01:45,Eastbound,Left,20.2
0507,01:50,Eastbound,Left,26.6
0507,01:55,Eastbound,Left,19.3
0507,02:00,Eastbound,Left,13.4
0507,02:05,Eastbound,Left,9.1
0507,02:10,Eastbound,Left,18.4
0507,02:15,Eastbound,Left,46.9
0507,02:20,Eastbound,Left,56.4
0507,02:25,Eastbound,Left,47.2
0507,02:30,Eastbound,Left,39.8
0507,02:35,Eastbound,Left,39.3
0507,02:40,Eastbound,Left,47.4
0507,02:45,Eastbound,Left,34.0
0507,02:50,Eastbound,Left,21.0
0507,02:55,Eastbound,Left,16.0
0507,03:00,Eastbound,Left,17.2
0507,03:05,Eastbound,Left,19.4
0507,03:10,Eastbound,Left,16.3
0507,03:15,Eastbound,Left,15.2
0507,03:20,Eastbound,Left,12.1
0507,03:25,Eastbound,Left,13.3
0507,03:30,Eastbound,Left,14.9
0507,03:35,Eastbound,Left,17.4
0507,03:40,Eastbound,Left,13.4
0507,03:45,Eastbound,Left,14.5
0507,03:50,Eastbound,Left,14.1
0507,03:55,Eastbound,Left,15.9
0507,04:00,Eastbound,Left,15.6
