time_15min,direction,sensor,vph_raw
00:00,Eastbound,advance-stopbar,187.6
00:15,Eastbound,advance-stopbar,166.8
00:30,Eastbound,advance-stopbar,138.9
00:45,Eastbound,advance-stopbar,151.8
01:00,Eastbound,advance-stopbar,175.3
01:15,Eastbound,advance-stopbar,143.5
01:30,Eastbound,advance-stopbar,92.8
01:45,Eastbound,advance-stopbar,68.5
02:00,Eastbound,advance-stopbar,47.1
02:15,Eastbound,advance-stopbar,47.8
02:30,Eastbound,advance-stopbar,67.0
02:45,Eastbound,advance-stopbar,67.1
03:00,Eastbound,advance-stopbar,46.0
03:15,Eastbound,advance-stopbar,17.4
03:30,Eastbound,advance-stopbar,
03:45,Eastbound,advance-stopbar,
04:00,Eastbound,advance-stopbar,
04:15,Eastbound,advance-stopbar,
04:30,Eastbound,advance-stopbar,
04:45,Eastbound,advance-stopbar,
05:00,Eastbound,advance-stopbar,
05:15,Eastbound,advance-stopbar,
05:30,Eastbound,advance-stopbar,
05:45,Eastbound,advance-stopbar,
06:00,Eastbound,advance-stopbar,
06:15,Eastbound,advance-stopbar,
06:30,Eastbound,advance-stopbar,
06:45,Eastbound,advance-stopbar,
07:00,Eastbound,advance-stopbar,
07:15,Eastbound,advance-stopbar,
07:30,Eastbound,advance-stopbar,
07:45,Eastbound,advance-stopbar,
08:00,Eastbound,advance-stopbar,
08:15,Eastbound,advance-stopbar,
08:30,Eastbound,advance-stopbar,
08:45,Eastbound,advance-stopbar,
09:00,Eastbound,advance-stopbar,
09:15,Eastbound,advance-stopbar,
09:30,Eastbound,advance-stopbar,
09:45,Eastbound,advance-stopbar,
10:00,Eastbound,advance-stopbar,
10:15,Eastbound,advance-stopbar,
10:30,Eastbound,advance-stopbar,
10:45,Eastbound,advance-stopbar,268.7
11:00,Eastbound,advance-stopbar,376.8
11:15,Eastbound,advance-stopbar,439.0
11:30,Eastbound,advance-stopbar,470.5
11:45,Eastbound,advance-stopbar,483.7
12:00,Eastbound,advance-stopbar,491.2
12:15,Eastbound,advance-stopbar,492.3
12:30,Eastbound,advance-stopbar,468.0
12:45,Eastbound,advance-stopbar,506.5
13:00,Eastbound,advance-stopbar,398.9
13:15,Eastbound,advance-stopbar,296.1
13:30,Eastbound,advance-stopbar,314.3
13:45,Eastbound,advance-stopbar,331.5
14:00,Eastbound,advance-stopbar,297.2
14:15,Eastbound,advance-stopbar,271.1
14:30,Eastbound,advance-stopbar,309.0
14:45,Eastbound,advance-stopbar,287.5
15:00,Eastbound,advance-stopbar,263.9
15:15,Eastbound,advance-stopbar,271.1
15:30,Eastbound,advance-stopbar,287.9
15:45,Eastbound,advance-stopbar,273.1
16:00,Eastbound,advance-stopbar,253.2
16:15,Eastbound,advance-stopbar,274.0
16:30,Eastbound,advance-stopbar,274.3
16:45,Eastbound,advance-stopbar,257.9
17:00,Eastbound,advance-stopbar,282.9
17:15,Eastbound,advance-stopbar,253.2
17:30,Eastbound,advance-stopbar,249.3
17:45,Eastbound,advance-stopbar,468.0
18:00,Eastbound,advance-stopbar,441.8
18:15,Eastbound,advance-stopbar,312.9
18:30,Eastbound,advance-stopbar,315.6
18:45,Eastbound,advance-stopbar,286.8
19:00,Eastbound,advance-stopbar,317.5
19:15,Eastbound,advance-stopbar,325.8
19:30,Eastbound,advance-stopbar,319.0
19:45,Eastbound,advance-stopbar,329.7
20:00,Eastbound,advance-stopbar,356.5
20:15,Eastbound,advance-stopbar,351.8
20:30,Eastbound,advance-stopbar,317.2
20:45,Eastbound,advance-stopbar,276.8
21:00,Eastbound,advance-stopbar,289.0
21:15,Eastbound,advance-stopbar,284.2
21:30,Eastbound,advance-stopbar,270.7
21:45,Eastbound,advance-stopbar,272.9
22:00,Eastbound,advance-stopbar,266.8
22:15,Eastbound,advance-stopbar,262.2
22:30,Eastbound,advance-stopbar,252.9
22:45,Eastbound,advance-stopbar,264.3
23:00,Eastbound,advance-stopbar,273.2
23:15,Eastbound,advance-stopbar,294.7
23:30,Eastbound,advance-stopbar,285.7
23:45,Eastbound,advance-stopbar,
00:00,Westbound,advance-stopbar,715.9
00:15,Westbound,advance-stopbar,611.6
00:30,Westbound,advance-stopbar,505.1
00:45,Westbound,advance-stopbar,528.7
01:00,Westbound,advance-stopbar,516.9
01:15,Westbound,advance-stopbar,452.6
01:30,Westbound,advance-stopbar,376.1
01:45,Westbound,advance-stopbar,359.3
02:00,Westbound,advance-stopbar,419.4
02:15,Westbound,advance-stopbar,342.6
02:30,Westbound,advance-stopbar,284.2
02:45,Westbound,advance-stopbar,270.7
03:00,Westbound,advance-stopbar,165.3
03:15,Westbound,advance-stopbar,61.5
03:30,Westbound,advance-stopbar,
03:45,Westbound,advance-stopbar,
04:00,Westbound,advance-stopbar,
04:15,Westbound,advance-stopbar,
04:30,Westbound,advance-stopbar,
04:45,Westbound,advance-stopbar,
05:00,Westbound,advance-stopbar,
05:15,Westbound,advance-stopbar,
05:30,Westbound,advance-stopbar,
05:45,Westbound,advance-stopbar,
06:00,Westbound,advance-stopbar,
06:15,Westbound,advance-stopbar,
06:30,Westbound,advance-stopbar,
06:45,Westbound,advance-stopbar,
07:00,Westbound,advance-stopbar,
07:15,Westbound,advance-stopbar,
07:30,Westbound,advance-stopbar,
07:45,Westbound,advance-stopbar,
08:00,Westbound,advance-stopbar,
08:15,Westbound,advance-stopbar,
08:30,Westbound,advance-stopbar,
08:45,Westbound,advance-stopbar,
09:00,Westbound,advance-stopbar,
09:15,Westbound,advance-stopbar,
09:30,Westbound,advance-stopbar,
09:45,Westbound,advance-stopbar,
10:00,Westbound,advance-stopbar,
10:15,Westbound,advance-stopbar,
10:30,Westbound,advance-stopbar,
10:45,Westbound,advance-stopbar,596.2
11:00,Westbound,advance-stopbar,912.4
11:15,Westbound,advance-stopbar,1029.6
11:30,Westbound,advance-stopbar,1172.9
11:45,Westbound,advance-stopbar,1590.4
12:00,Westbound,advance-stopbar,1747.0
12:15,Westbound,advance-stopbar,1797.1
12:30,Westbound,advance-stopbar,1801.0
12:45,Westbound,advance-stopbar,1973.5
13:00,Westbound,advance-stopbar,1718.1
13:15,Westbound,advance-stopbar,1115.6
13:30,Westbound,advance-stopbar,1101.1
13:45,Westbound,advance-stopbar,1130.0
14:00,Westbound,advance-stopbar,1227.9
