time_15min,direction,sensor,vph_raw
00:00,Northbound,advance-260ft,63.0
00:15,Northbound,advance-260ft,55.8
00:30,Northbound,advance-260ft,49.8
00:45,Northbound,advance-260ft,46.9
01:00,Northbound,advance-260ft,37.7
01:15,Northbound,advance-260ft,37.7
01:30,Northbound,advance-260ft,40.9
01:45,Northbound,advance-260ft,38.4
02:00,Northbound,advance-260ft,41.2
02:15,Northbound,advance-260ft,38.8
02:30,Northbound,advance-260ft,30.5
02:45,Northbound,advance-260ft,32.3
03:00,Northbound,advance-260ft,32.6
03:15,Northbound,advance-260ft,32.4
03:30,Northbound,advance-260ft,23.2
03:45,Northbound,advance-260ft,27.9
04:00,Northbound,advance-260ft,21.7
04:15,Northbound,advance-260ft,26.0
04:30,Northbound,advance-260ft,40.0
04:45,Northbound,advance-260ft,31.0
05:00,Northbound,advance-260ft,39.5
05:15,Northbound,advance-260ft,39.8
05:30,Northbound,advance-260ft,38.1
05:45,Northbound,advance-260ft,39.7
06:00,Northbound,advance-260ft,47.7
06:15,Northbound,advance-260ft,61.9
06:30,Northbound,advance-260ft,65.9
06:45,Northbound,advance-260ft,84.8
07:00,Northbound,advance-260ft,104.2
07:15,Northbound,advance-260ft,100.8
07:30,Northbound,advance-260ft,101.3
07:45,Northbound,advance-260ft,115.6
08:00,Northbound,advance-260ft,104.6
08:15,Northbound,advance-260ft,91.8
08:30,Northbound,advance-260ft,93.3
08:45,Northbound,advance-260ft,89.2
09:00,Northbound,advance-260ft,87.8
09:15,Northbound,advance-260ft,105.9
09:30,Northbound,advance-260ft,127.7
09:45,Northbound,advance-260ft,143.4
10:00,Northbound,advance-260ft,130.2
10:15,Northbound,advance-260ft,92.1
10:30,Northbound,advance-260ft,90.6
10:45,Northbound,advance-260ft,78.8
11:00,Northbound,advance-260ft,57.2
11:15,Northbound,advance-260ft,67.6
11:30,Northbound,advance-260ft,77.6
11:45,Northbound,advance-260ft,83.5
12:00,Northbound,advance-260ft,63.4
12:15,Northbound,advance-260ft,70.2
12:30,Northbound,advance-260ft,75.1
12:45,Northbound,advance-260ft,74.5
13:00,Northbound,advance-260ft,83.5
13:15,Northbound,advance-260ft,63.4
13:30,Northbound,advance-260ft,78.5
13:45,Northbound,advance-260ft,92.6
14:00,Northbound,advance-260ft,77.1
14:15,Northbound,advance-260ft,64.6
14:30,Northbound,advance-260ft,66.6
14:45,Northbound,advance-260ft,69.9
15:00,Northbound,advance-260ft,109.8
15:15,Northbound,advance-260ft,126.7
15:30,Northbound,advance-260ft,100.2
15:45,Northbound,advance-260ft,164.1
16:00,Northbound,advance-260ft,177.3
16:15,Northbound,advance-260ft,145.4
16:30,Northbound,advance-260ft,107.0
16:45,Northbound,advance-260ft,110.6
17:00,Northbound,advance-260ft,106.6
17:15,Northbound,advance-260ft,76.1
17:30,Northbound,advance-260ft,94.1
17:45,Northbound,advance-260ft,114.8
18:00,Northbound,advance-260ft,103.2
18:15,Northbound,advance-260ft,132.2
18:30,Northbound,advance-260ft,120.6
18:45,Northbound,advance-260ft,59.9
