time_15min,direction,sensor,vph_raw
00:00,Northbound,matrix,416.4
00:15,Northbound,matrix,358.0
00:30,Northbound,matrix,292.3
00:45,Northbound,matrix,230.2
01:00,Northbound,matrix,250.2
01:15,Northbound,matrix,273.0
01:30,Northbound,matrix,193.7
01:45,Northbound,matrix,178.8
02:00,Northbound,matrix,181.9
02:15,Northbound,matrix,
02:30,Northbound,matrix,
02:45,Northbound,matrix,120.2
03:00,Northbound,matrix,140.0
03:15,Northbound,matrix,114.5
03:30,Northbound,matrix,96.2
03:45,Northbound,matrix,127.0
04:00,Northbound,matrix,127.0
04:15,Northbound,matrix,
04:30,Northbound,matrix,220.2
04:45,Northbound,matrix,240.2
05:00,Northbound,matrix,228.7
05:15,Northbound,matrix,268.0
05:30,Northbound,matrix,408.8
05:45,Northbound,matrix,542.9
06:00,Northbound,matrix,591.5
06:15,Northbound,matrix,661.5
06:30,Northbound,matrix,914.3
06:45,Northbound,matrix,1107.1
07:00,Northbound,matrix,1196.7
07:15,Northbound,matrix,1531.1
07:30,Northbound,matrix,1804.7
07:45,Northbound,matrix,1985.4
08:00,Northbound,matrix,2212.3
08:15,Northbound,matrix,2251.0
08:30,Northbound,matrix,2406.7
08:45,Northbound,matrix,2457.7
09:00,Northbound,matrix,2252.5
09:15,Northbound,matrix,2225.3
09:30,Northbound,matrix,1795.3
09:45,Northbound,matrix,1560.1
10:00,Northbound,matrix,1667.6
10:15,Northbound,matrix,1593.4
10:30,Northbound,matrix,1652.6
10:45,Northbound,matrix,1661.9
11:00,Northbound,matrix,1649.8
11:15,Northbound,matrix,1743.5
11:30,Northbound,matrix,1696.9
11:45,Northbound,matrix,1725.5
12:00,Northbound,matrix,1892.6
12:15,Northbound,matrix,1939.0
12:30,Northbound,matrix,2011.9
12:45,Northbound,matrix,1988.6
13:00,Northbound,matrix,1869.0
13:15,Northbound,matrix,1871.1
13:30,Northbound,matrix,1925.4
13:45,Northbound,matrix,2068.9
14:00,Northbound,matrix,2040.1
14:15,Northbound,matrix,1855.4
14:30,Northbound,matrix,1834.0
14:45,Northbound,matrix,1814.8
15:00,Northbound,matrix,1972.5
15:15,Northbound,matrix,1998.2
15:30,Northbound,matrix,1814.7
15:45,Northbound,matrix,1903.7
16:00,Northbound,matrix,2066.8
16:15,Northbound,matrix,1985.4
16:30,Northbound,matrix,1998.9
16:45,Northbound,matrix,1956.1
17:00,Northbound,matrix,1858.3
17:15,Northbound,matrix,2036.2
17:30,Northbound,matrix,2085.4
17:45,Northbound,matrix,2047.5
18:00,Northbound,matrix,1950.4
18:15,Northbound,matrix,1887.8
18:30,Northbound,matrix,1769.7
18:45,Northbound,matrix,1657.6
19:00,Northbound,matrix,1729.7
19:15,Northbound,matrix,1714.0
19:30,Northbound,matrix,1556.2
19:45,Northbound,matrix,1417.0
20:00,Northbound,matrix,1344.1
20:15,Northbound,matrix,1380.0
20:30,Northbound,matrix,1404.8
20:45,Northbound,matrix,1389.1
21:00,Northbound,matrix,1362.7
21:15,Northbound,matrix,1352.7
21:30,Northbound,matrix,1318.2
21:45,Northbound,matrix,
22:00,Northbound,matrix,
22:15,Northbound,matrix,1040.4
22:30,Northbound,matrix,1009.9
22:45,Northbound,matrix,875.7
23:00,Northbound,matrix,697.9
23:15,Northbound,matrix,651.5
23:30,Northbound,matrix,657.2
23:45,Northbound,matrix,
00:00,Southbound,matrix,482.2
00:15,Southbound,matrix,437.3
00:30,Southbound,matrix,370.1
00:45,Southbound,matrix,303.7
01:00,Southbound,matrix,222.4
01:15,Southbound,matrix,233.2
01:30,Southbound,matrix,255.2
01:45,Southbound,matrix,178.8
02:00,Southbound,matrix,126.6
02:15,Southbound,matrix,158.0
02:30,Southbound,matrix,146.6
02:45,Southbound,matrix,156.6
03:00,Southbound,matrix,131.6
03:15,Southbound,matrix,111.3
03:30,Southbound,matrix,143.8
03:45,Southbound,matrix,100.2
04:00,Southbound,matrix,101.6
04:15,Southbound,matrix,155.2
04:30,Southbound,matrix,247.3
04:45,Southbound,matrix,306.6
05:00,Southbound,matrix,360.8
05:15,Southbound,matrix,408.7
05:30,Southbound,matrix,558.0
05:45,Southbound,matrix,685.0
06:00,Southbound,matrix,820.0
06:15,Southbound,matrix,951.4
06:30,Southbound,matrix,1196.3
06:45,Southbound,matrix,1591.9
07:00,Southbound,matrix,1732.6
07:15,Southbound,matrix,1985.4
07:30,Southbound,matrix,2198.9
07:45,Southbound,matrix,2209.6
08:00,Southbound,matrix,2165.3
08:15,Southbound,matrix,1954.0
08:30,Southbound,matrix,1959.7
08:45,Southbound,matrix,2213.2
09:00,Southbound,matrix,2126.2
09:15,Southbound,matrix,1886.8
09:30,Southbound,matrix,1959.2
09:45,Southbound,matrix,2025.4
10:00,Southbound,matrix,1809.0
10:15,Southbound,matrix,1754.0
10:30,Southbound,matrix,1890.4
10:45,Southbound,matrix,1816.2
11:00,Southbound,matrix,1717.2
11:15,Southbound,matrix,1878.3
11:30,Southbound,matrix,2041.1
11:45,Southbound,matrix,2023.2
12:00,Southbound,matrix,2121.8
12:15,Southbound,matrix,2038.9
12:30,Southbound,matrix,2150.3
12:45,Southbound,matrix,2209.9
13:00,Southbound,matrix,2061.8
13:15,Southbound,matrix,2150.3
13:30,Southbound,matrix,2157.5
13:45,Southbound,matrix,2207.5
14:00,Southbound,matrix,2288.9
14:15,Southbound,matrix,2181.8
14:30,Southbound,matrix,2213.2
14:45,Southbound,matrix,2277.4
15:00,Southbound,matrix,2243.9
15:15,Southbound,matrix,2203.2
15:30,Southbound,matrix,2338.9
15:45,Southbound,matrix,2448.0
16:00,Southbound,matrix,2622.5
16:15,Southbound,matrix,3040.8
16:30,Southbound,matrix,3209.7
16:45,Southbound,matrix,3122.2
17:00,Southbound,matrix,2948.7
17:15,Southbound,matrix,2847.3
17:30,Southbound,matrix,2878.7
17:45,Southbound,matrix,3013.7
18:00,Southbound,matrix,2945.8
18:15,Southbound,matrix,2821.7
18:30,Southbound,matrix,2776.6
18:45,Southbound,matrix,2571.7
19:00,Southbound,matrix,2251.0
19:15,Southbound,matrix,2274.6
19:30,Southbound,matrix,2178.9
19:45,Southbound,matrix,2057.5
20:00,Southbound,matrix,2001.8
20:15,Southbound,matrix,1919.5
20:30,Southbound,matrix,1664.8
20:45,Southbound,matrix,1472.0
21:00,Southbound,matrix,1383.2
21:15,Southbound,matrix,1242.0
21:30,Southbound,matrix,1222.7
21:45,Southbound,matrix,1172.0
22:00,Southbound,matrix,1120.5
22:15,Southbound,matrix,1100.6
22:30,Southbound,matrix,1061.4
22:45,Southbound,matrix,955.7
23:00,Southbound,matrix,773.6
