date,time_15min,direction,sensor,vph_raw
0502,00:00,Eastbound,advance-stopbar,187.6
0502,00:15,Eastbound,advance-stopbar,166.8
0502,00:30,Eastbound,advance-stopbar,138.9
0502,00:45,Eastbound,advance-stopbar,151.8
0502,01:00,Eastbound,advance-stopbar,175.3
0502,01:15,Eastbound,advance-stopbar,143.5
0502,01:30,Eastbound,advance-stopbar,92.8
0502,01:45,Eastbound,advance-stopbar,68.5
0502,02:00,Eastbound,advance-stopbar,47.1
0502,02:15,Eastbound,advance-stopbar,47.8
0502,02:30,Eastbound,advance-stopbar,67.0
0502,02:45,Eastbound,advance-stopbar,67.1
0502,03:00,Eastbound,advance-stopbar,46.0
0502,03:15,Eastbound,advance-stopbar,17.4
0502,03:30,Eastbound,advance-stopbar,
0502,03:45,Eastbound,advance-stopbar,
0502,04:00,Eastbound,advance-stopbar,
0502,04:15,Eastbound,advance-stopbar,
0502,04:30,Eastbound,advance-stopbar,
0502,04:45,Eastbound,advance-stopbar,
0502,05:00,Eastbound,advance-stopbar,
0502,05:15,Eastbound,advance-stopbar,
0502,05:30,Eastbound,advance-stopbar,
0502,05:45,Eastbound,advance-stopbar,
0502,06:00,Eastbound,advance-stopbar,
0502,06:15,Eastbound,advance-stopbar,
0502,06:30,Eastbound,advance-stopbar,
0502,06:45,Eastbound,advance-stopbar,
0502,07:00,Eastbound,advance-stopbar,
0502,07:15,Eastbound,advance-stopbar,
0502,07:30,Eastbound,advance-stopbar,
0502,07:45,Eastbound,advance-stopbar,
0502,08:00,Eastbound,advance-stopbar,
0502,08:15,Eastbound,advance-stopbar,
0502,08:30,Eastbound,advance-stopbar,
0502,08:45,Eastbound,advance-stopbar,
0502,09:00,Eastbound,advance-stopbar,
0502,09:15,Eastbound,advance-stopbar,
0502,09:30,Eastbound,advance-stopbar,
0502,09:45,Eastbound,advance-stopbar,
0502,10:00,Eastbound,advance-stopbar,
0502,10:15,Eastbound,advance-stopbar,
0502,10:30,Eastbound,advance-stopbar,
0502,10:45,Eastbound,advance-stopbar,268.7
0502,11:00,Eastbound,advance-stopbar,376.8
0502,11:15,Eastbound,advance-stopbar,439.0
0502,11:30,Eastbound,advance-stopbar,470.5
0502,11:45,Eastbound,advance-stopbar,483.7
0502,12:00,Eastbound,advance-stopbar,491.2
0502,12:15,Eastbound,advance-stopbar,492.3
0502,12:30,Eastbound,advance-stopbar,468.0
0502,12:45,Eastbound,advance-stopbar,506.5
0502,13:00,Eastbound,advance-stopbar,398.9
0502,13:15,Eastbound,advance-stopbar,296.1
0502,13:30,Eastbound,advance-stopbar,314.3
0502,13:45,Eastbound,advance-stopbar,331.5
0502,14:00,Eastbound,advance-stopbar,297.2
0502,14:15,Eastbound,advance-stopbar,271.1
0502,14:30,Eastbound,advance-stopbar,309.0
0502,14:45,Eastbound,advance-stopbar,287.5
0502,15:00,Eastbound,advance-stopbar,263.9
0502,15:15,Eastbound,advance-stopbar,271.1
0502,15:30,Eastbound,advance-stopbar,287.9
0502,15:45,Eastbound,advance-stopbar,273.1
0502,16:00,Eastbound,advance-stopbar,253.2
0502,16:15,Eastbound,advance-stopbar,274.0
0502,16:30,Eastbound,advance-stopbar,274.3
0502,16:45,Eastbound,advance-stopbar,257.9
0502,17:00,Eastbound,advance-stopbar,282.9
0502,17:15,Eastbound,advance-stopbar,253.2
0502,17:30,Eastbound,advance-stopbar,249.3
0502,17:45,Eastbound,advance-stopbar,468.0
0502,18:00,Eastbound,advance-stopbar,441.8
0502,18:15,Eastbound,advance-stopbar,312.9
0502,18:30,Eastbound,advance-stopbar,315.6
0502,18:45,Eastbound,advance-stopbar,286.8
0502,19:00,Eastbound,advance-stopbar,317.5
0502,19:15,Eastbound,advance-stopbar,325.8
0502,19:30,Eastbound,advance-stopbar,319.0
0502,19:45,Eastbound,advance-stopbar,329.7
0502,20:00,Eastbound,advance-stopbar,356.5
0502,20:15,Eastbound,advance-stopbar,351.8
0502,20:30,Eastbound,advance-stopbar,317.2
0502,20:45,Eastbound,advance-stopbar,276.8
0502,21:00,Eastbound,advance-stopbar,289.0
0502,21:15,Eastbound,advance-stopbar,284.2
0502,21:30,Eastbound,advance-stopbar,270.7
0502,21:45,Eastbound,advance-stopbar,272.9
0502,22:00,Eastbound,advance-stopbar,266.8
0502,22:15,Eastbound,advance-stopbar,262.2
0502,22:30,Eastbound,advance-stopbar,252.9
0502,22:45,Eastbound,advance-stopbar,264.3
0502,23:00,Eastbound,advance-stopbar,273.2
0502,23:15,Eastbound,advance-stopbar,294.7
0502,23:30,Eastbound,advance-stopbar,285.7
0502,23:45,Eastbound,advance-stopbar,
0502,00:00,Westbound,advance-stopbar,715.9
0502,00:15,Westbound,advance-stopbar,611.6
0502,00:30,Westbound,advance-stopbar,505.1
0502,00:45,Westbound,advance-stopbar,528.7
0502,01:00,Westbound,advance-stopbar,516.9
0502,01:15,Westbound,advance-stopbar,452.6
0502,01:30,Westbound,advance-stopbar,376.1
0502,01:45,Westbound,advance-stopbar,359.3
0502,02:00,Westbound,advance-stopbar,419.4
0502,02:15,Westbound,advance-stopbar,342.6
0502,02:30,Westbound,advance-stopbar,284.2
0502,02:45,Westbound,advance-stopbar,270.7
0502,03:00,Westbound,advance-stopbar,165.3
0502,03:15,Westbound,advance-stopbar,61.5
0502,03:30,Westbound,advance-stopbar,
0502,03:45,Westbound,advance-stopbar,
0502,04:00,Westbound,advance-stopbar,
0502,04:15,Westbound,advance-stopbar,
0502,04:30,Westbound,advance-stopbar,
0502,04:45,Westbound,advance-stopbar,
0502,05:00,Westbound,advance-stopbar,
0502,05:15,Westbound,advance-stopbar,
0502,05:30,Westbound,advance-stopbar,
0502,05:45,Westbound,advance-stopbar,
0502,06:00,Westbound,advance-stopbar,
0502,06:15,Westbound,advance-stopbar,
0502,06:30,Westbound,advance-stopbar,
0502,06:45,Westbound,advance-stopbar,
0502,07:00,Westbound,advance-stopbar,
0502,07:15,Westbound,advance-stopbar,
0502,07:30,Westbound,advance-stopbar,
0502,07:45,Westbound,advance-stopbar,
0502,08:00,Westbound,advance-stopbar,
0502,08:15,Westbound,advance-stopbar,
0502,08:30,Westbound,advance-stopbar,
0502,08:45,Westbound,advance-stopbar,
0502,09:00,Westbound,advance-stopbar,
0502,09:15,Westbound,advance-stopbar,
0502,09:30,Westbound,advance-stopbar,
0502,09:45,Westbound,advance-stopbar,
0502,10:00,Westbound,advance-stopbar,
0502,10:15,Westbound,advance-stopbar,
0502,10:30,Westbound,advance-stopbar,
0502,10:45,Westbound,advance-stopbar,596.2
0502,11:00,Westbound,advance-stopbar,912.4
0502,11:15,Westbound,advance-stopbar,1029.6
0502,11:30,Westbound,advance-stopbar,1172.9
0502,11:45,Westbound,advance-stopbar,1590.4
0502,12:00,Westbound,advance-stopbar,1747.0
0502,12:15,Westbound,advance-stopbar,1797.1
0502,12:30,Westbound,advance-stopbar,1801.0
0502,12:45,Westbound,advance-stopbar,1973.5
0502,13:00,Westbound,advance-stopbar,1718.1
0502,13:15,Westbound,advance-stopbar,1115.6
0502,13:30,Westbound,advance-stopbar,1101.1
0502,13:45,Westbound,advance-stopbar,1130.0
0502,14:00,Westbound,advance-stopbar,1227.9
0502,14:15,Westbound,advance-stopbar,1284.3
0502,14:30,Westbound,advance-stopbar,1289.7
0502,14:45,Westbound,advance-stopbar,1220.0
0502,15:00,Westbound,advance-stopbar,1113.2
0502,15:15,Westbound,advance-stopbar,1004.2
0502,15:30,Westbound,advance-stopbar,1013.5
0502,15:45,Westbound,advance-stopbar,1157.2
0502,16:00,Westbound,advance-stopbar,1087.1
0502,16:15,Westbound,advance-stopbar,916.7
0502,16:30,Westbound,advance-stopbar,966.0
0502,16:45,Westbound,advance-stopbar,1043.2
0502,17:00,Westbound,advance-stopbar,1041.4
0502,17:15,Westbound,advance-stopbar,1080.0
0502,17:30,Westbound,advance-stopbar,1079.6
0502,17:45,Westbound,advance-stopbar,1424.0
0502,18:00,Westbound,advance-stopbar,1412.8
0502,18:15,Westbound,advance-stopbar,1182.2
0502,18:30,Westbound,advance-stopbar,1092.1
0502,18:45,Westbound,advance-stopbar,881.7
0502,19:00,Westbound,advance-stopbar,759.9
0502,19:15,Westbound,advance-stopbar,905.3
0502,19:30,Westbound,advance-stopbar,1033.9
0502,19:45,Westbound,advance-stopbar,940.6
0502,20:00,Westbound,advance-stopbar,912.4
0502,20:15,Westbound,advance-stopbar,952.4
0502,20:30,Westbound,advance-stopbar,950.3
0502,20:45,Westbound,advance-stopbar,851.3
0502,21:00,Westbound,advance-stopbar,770.9
0502,21:15,Westbound,advance-stopbar,813.0
0502,21:30,Westbound,advance-stopbar,931.4
0502,21:45,Westbound,advance-stopbar,962.8
0502,22:00,Westbound,advance-stopbar,963.9
0502,22:15,Westbound,advance-stopbar,914.6
0502,22:30,Westbound,advance-stopbar,857.0
0502,22:45,Westbound,advance-stopbar,848.5
0502,23:00,Westbound,advance-stopbar,789.9
0502,23:15,Westbound,advance-stopbar,780.6
0502,23:30,Westbound,advance-stopbar,772.0
0502,23:45,Westbound,advance-stopbar,
0502,00:00,Eastbound,matrix,496.2
0502,00:15,Eastbound,matrix,435.1
0502,00:30,Eastbound,matrix,387.9
0502,00:45,Eastbound,matrix,387.6
0502,01:00,Eastbound,matrix,395.8
0502,01:15,Eastbound,matrix,381.9
0502,01:30,Eastbound,matrix,330.8
0502,01:45,Eastbound,matrix,330.4
0502,02:00,Eastbound,matrix,288.2
0502,02:15,Eastbound,matrix,273.6
0502,02:30,Eastbound,matrix,298.1
0502,02:45,Eastbound,matrix,255.9
0502,03:00,Eastbound,matrix,142.5
0502,03:15,Eastbound,matrix,61.5
0502,03:30,Eastbound,matrix,
0502,03:45,Eastbound,matrix,
0502,04:00,Eastbound,matrix,
0502,04:15,Eastbound,matrix,
0502,04:30,Eastbound,matrix,
0502,04:45,Eastbound,matrix,
0502,05:00,Eastbound,matrix,
0502,05:15,Eastbound,matrix,
0502,05:30,Eastbound,matrix,
0502,05:45,Eastbound,matrix,
0502,06:00,Eastbound,matrix,
0502,06:15,Eastbound,matrix,
0502,06:30,Eastbound,matrix,
0502,06:45,Eastbound,matrix,
0502,07:00,Eastbound,matrix,
0502,07:15,Eastbound,matrix,
0502,07:30,Eastbound,matrix,
0502,07:45,Eastbound,matrix,
0502,08:00,Eastbound,matrix,
0502,08:15,Eastbound,matrix,
0502,08:30,Eastbound,matrix,
0502,08:45,Eastbound,matrix,
0502,09:00,Eastbound,matrix,
0502,09:15,Eastbound,matrix,
0502,09:30,Eastbound,matrix,
0502,09:45,Eastbound,matrix,
0502,10:00,Eastbound,matrix,
0502,10:15,Eastbound,matrix,
0502,10:30,Eastbound,matrix,
0502,10:45,Eastbound,matrix,785.1
0502,11:00,Eastbound,matrix,1008.7
0502,11:15,Eastbound,matrix,1184.2
0502,11:30,Eastbound,matrix,1336.5
0502,11:45,Eastbound,matrix,1449.4
0502,12:00,Eastbound,matrix,1409.8
0502,12:15,Eastbound,matrix,1392.6
0502,12:30,Eastbound,matrix,1363.6
0502,12:45,Eastbound,matrix,1597.5
0502,13:00,Eastbound,matrix,1471.6
0502,13:15,Eastbound,matrix,1026.9
0502,13:30,Eastbound,matrix,1029.2
0502,13:45,Eastbound,matrix,943.2
0502,14:00,Eastbound,matrix,934.4
0502,14:15,Eastbound,matrix,1004.4
0502,14:30,Eastbound,matrix,936.0
0502,14:45,Eastbound,matrix,876.3
0502,15:00,Eastbound,matrix,895.3
0502,15:15,Eastbound,matrix,904.6
0502,15:30,Eastbound,matrix,1027.5
0502,15:45,Eastbound,matrix,1162.3
0502,16:00,Eastbound,matrix,1057.6
0502,16:15,Eastbound,matrix,919.9
0502,16:30,Eastbound,matrix,965.7
0502,16:45,Eastbound,matrix,971.0
0502,17:00,Eastbound,matrix,1017.5
0502,17:15,Eastbound,matrix,1074.3
0502,17:30,Eastbound,matrix,1085.3
0502,17:45,Eastbound,matrix,1431.9
0502,18:00,Eastbound,matrix,1346.5
0502,18:15,Eastbound,matrix,1020.3
0502,18:30,Eastbound,matrix,1024.6
0502,18:45,Eastbound,matrix,952.1
0502,19:00,Eastbound,matrix,896.0
0502,19:15,Eastbound,matrix,878.5
0502,19:30,Eastbound,matrix,892.8
0502,19:45,Eastbound,matrix,867.4
0502,20:00,Eastbound,matrix,844.5
0502,20:15,Eastbound,matrix,884.5
0502,20:30,Eastbound,matrix,797.0
0502,20:45,Eastbound,matrix,708.8
0502,21:00,Eastbound,matrix,747.4
0502,21:15,Eastbound,matrix,737.9
0502,21:30,Eastbound,matrix,714.5
0502,21:45,Eastbound,matrix,673.0
0502,22:00,Eastbound,matrix,614.8
0502,22:15,Eastbound,matrix,645.9
0502,22:30,Eastbound,matrix,668.0
0502,22:45,Eastbound,matrix,662.0
0502,23:00,Eastbound,matrix,684.8
0502,23:15,Eastbound,matrix,703.8
0502,23:30,Eastbound,matrix,681.3
0502,23:45,Eastbound,matrix,
0502,00:00,Westbound,matrix,331.4
0502,00:15,Westbound,matrix,312.2
0502,00:30,Westbound,matrix,302.2
0502,00:45,Westbound,matrix,275.7
0502,01:00,Westbound,matrix,253.9
0502,01:15,Westbound,matrix,273.6
0502,01:30,Westbound,matrix,251.4
0502,01:45,Westbound,matrix,202.1
0502,02:00,Westbound,matrix,197.9
0502,02:15,Westbound,matrix,203.2
0502,02:30,Westbound,matrix,224.6
0502,02:45,Westbound,matrix,246.5
0502,03:00,Westbound,matrix,190.7
0502,03:15,Westbound,matrix,87.1
0502,03:30,Westbound,matrix,
0502,03:45,Westbound,matrix,
0502,04:00,Westbound,matrix,
0502,04:15,Westbound,matrix,
0502,04:30,Westbound,matrix,
0502,04:45,Westbound,matrix,
0502,05:00,Westbound,matrix,
0502,05:15,Westbound,matrix,
0502,05:30,Westbound,matrix,
0502,05:45,Westbound,matrix,
0502,06:00,Westbound,matrix,
0502,06:15,Westbound,matrix,
0502,06:30,Westbound,matrix,
0502,06:45,Westbound,matrix,
0502,07:00,Westbound,matrix,
0502,07:15,Westbound,matrix,
0502,07:30,Westbound,matrix,
0502,07:45,Westbound,matrix,
0502,08:00,Westbound,matrix,
0502,08:15,Westbound,matrix,
0502,08:30,Westbound,matrix,
0502,08:45,Westbound,matrix,
0502,09:00,Westbound,matrix,
0502,09:15,Westbound,matrix,
0502,09:30,Westbound,matrix,
0502,09:45,Westbound,matrix,
0502,10:00,Westbound,matrix,
0502,10:15,Westbound,matrix,
0502,10:30,Westbound,matrix,
0502,10:45,Westbound,matrix,364.8
0502,11:00,Westbound,matrix,601.9
0502,11:15,Westbound,matrix,663.4
0502,11:30,Westbound,matrix,653.4
0502,11:45,Westbound,matrix,746.7
0502,12:00,Westbound,matrix,748.8
0502,12:15,Westbound,matrix,756.6
0502,12:30,Westbound,matrix,754.9
0502,12:45,Westbound,matrix,734.5
0502,13:00,Westbound,matrix,631.6
0502,13:15,Westbound,matrix,497.0
0502,13:30,Westbound,matrix,457.6
0502,13:45,Westbound,matrix,524.1
0502,14:00,Westbound,matrix,554.1
0502,14:15,Westbound,matrix,526.9
0502,14:30,Westbound,matrix,551.2
0502,14:45,Westbound,matrix,511.9
0502,15:00,Westbound,matrix,567.3
0502,15:15,Westbound,matrix,557.3
0502,15:30,Westbound,matrix,514.0
0502,15:45,Westbound,matrix,563.7
0502,16:00,Westbound,matrix,586.6
0502,16:15,Westbound,matrix,570.9
0502,16:30,Westbound,matrix,568.7
0502,16:45,Westbound,matrix,552.6
0502,17:00,Westbound,matrix,500.5
0502,17:15,Westbound,matrix,483.0
0502,17:30,Westbound,matrix,457.2
0502,17:45,Westbound,matrix,592.6
0502,18:00,Westbound,matrix,608.4
0502,18:15,Westbound,matrix,472.2
0502,18:30,Westbound,matrix,493.4
0502,18:45,Westbound,matrix,514.8
0502,19:00,Westbound,matrix,478.7
0502,19:15,Westbound,matrix,501.2
0502,19:30,Westbound,matrix,501.9
0502,19:45,Westbound,matrix,483.3
0502,20:00,Westbound,matrix,524.1
0502,20:15,Westbound,matrix,497.6
0502,20:30,Westbound,matrix,464.0
0502,20:45,Westbound,matrix,440.4
0502,21:00,Westbound,matrix,379.0
0502,21:15,Westbound,matrix,392.6
0502,21:30,Westbound,matrix,449.0
0502,21:45,Westbound,matrix,490.5
0502,22:00,Westbound,matrix,474.0
0502,22:15,Westbound,matrix,439.0
0502,22:30,Westbound,matrix,411.5
0502,22:45,Westbound,matrix,424.4
0502,23:00,Westbound,matrix,441.2
0502,23:15,Westbound,matrix,427.9
0502,23:30,Westbound,matrix,408.3
0502,23:45,Westbound,matrix,396.1
0502,00:00,Northbound,advance-260ft,95.7
0502,00:15,Northbound,advance-260ft,85.9
0502,00:30,Northbound,advance-260ft,86.3
0502,00:45,Northbound,advance-260ft,75.2
0502,01:00,Northbound,advance-260ft,71.0
0502,01:15,Northbound,advance-260ft,75.5
0502,01:30,Northbound,advance-260ft,72.2
0502,01:45,Northbound,advance-260ft,63.6
0502,02:00,Northbound,advance-260ft,62.1
0502,02:15,Northbound,advance-260ft,77.0
0502,02:30,Northbound,advance-260ft,85.9
0502,02:45,Northbound,advance-260ft,49.8
0502,03:00,Northbound,advance-260ft,18.4
0502,03:15,Northbound,advance-260ft,9.5
0502,03:30,Northbound,advance-260ft,
0502,03:45,Northbound,advance-260ft,
0502,04:00,Northbound,advance-260ft,
0502,04:15,Northbound,advance-260ft,
0502,04:30,Northbound,advance-260ft,
0502,04:45,Northbound,advance-260ft,
0502,05:00,Northbound,advance-260ft,
0502,05:15,Northbound,advance-260ft,
0502,05:30,Northbound,advance-260ft,
0502,05:45,Northbound,advance-260ft,
0502,06:00,Northbound,advance-260ft,
0502,06:15,Northbound,advance-260ft,
0502,06:30,Northbound,advance-260ft,
0502,06:45,Northbound,advance-260ft,
0502,07:00,Northbound,advance-260ft,
0502,07:15,Northbound,advance-260ft,
0502,07:30,Northbound,advance-260ft,
0502,07:45,Northbound,advance-260ft,
0502,08:00,Northbound,advance-260ft,
0502,08:15,Northbound,advance-260ft,
0502,08:30,Northbound,advance-260ft,
0502,08:45,Northbound,advance-260ft,
0502,09:00,Northbound,advance-260ft,
0502,09:15,Northbound,advance-260ft,
0502,09:30,Northbound,advance-260ft,
0502,09:45,Northbound,advance-260ft,
0502,10:00,Northbound,advance-260ft,
0502,10:15,Northbound,advance-260ft,
0502,10:30,Northbound,advance-260ft,
0502,10:45,Northbound,advance-260ft,70.9
0502,11:00,Northbound,advance-260ft,126.9
0502,11:15,Northbound,advance-260ft,138.1
0502,11:30,Northbound,advance-260ft,115.0
0502,11:45,Northbound,advance-260ft,104.7
0502,12:00,Northbound,advance-260ft,122.4
0502,12:15,Northbound,advance-260ft,152.4
0502,12:30,Northbound,advance-260ft,129.0
0502,12:45,Northbound,advance-260ft,104.6
0502,13:00,Northbound,advance-260ft,86.3
0502,13:15,Northbound,advance-260ft,66.1
0502,13:30,Northbound,advance-260ft,82.5
