episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.22,-36471113,63946,4082,52.1
2,0505,1.09,-476041664,50317,6560,648.1
3,0505,0.85,-439600792,60074,4787,641.5
4,0506,0.92,-172148396,65253,3845,273.1
5,0505,0.58,-1429930,62949,4264,39.6
6,0507,1.08,-4200959,48456,6899,67.2
7,0506,1.11,-42784147,61480,4531,135.7
8,0506,0.59,-658669,61568,4515,62.6
9,0507,1.29,-7222700,52053,6245,113.3
10,0507,1.12,-3180760,54869,5733,108.8
11,0507,0.81,-712927,53868,5915,103.6
12,0507,0.50,-368786,51044,6428,102.8
13,0506,0.87,-1062326,52432,6176,120.1
14,0505,1.09,-1192289,51184,6403,92.3
15,0505,0.57,-385506,49831,6649,87.2
16,0505,1.00,-877562,50590,6511,126.6
17,0507,0.55,-387076,49072,6787,125.8
18,0505,1.13,-1056902,50018,6615,141.7
19,0507,0.55,-379151,48093,6965,135.3
20,0505,1.22,-1453163,50227,6577,155.6
