episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-370086198,62720,2883,888.2
2,0505,0.67,-459682899,56334,4263,1178.8
3,0505,0.98,-502919048,52417,5328,1269.5
4,0506,1.50,-562761767,51459,5461,1504.4
5,0505,1.32,-1087773726,45123,6717,2474.4
6,0505,1.30,-299607840,51945,5589,946.5
7,0506,0.97,-165400061,47912,6116,439.6
8,0505,0.87,-105005229,40556,7755,281.8
9,0506,1.06,-140283699,44278,7032,391.2
10,0507,1.21,-143169946,42545,7472,407.0
11,0505,1.32,-150155888,35588,9004,433.6
12,0507,0.94,-114166869,32341,9548,331.2
13,0506,1.21,-159458394,41925,7599,459.5
14,0506,0.96,-111225980,41066,7746,341.2
15,0506,0.83,-79795365,42695,7377,245.6
16,0506,1.47,-235066497,50011,5873,563.4
17,0505,1.28,-123572449,37577,8618,279.2
18,0507,0.93,-56592773,41999,7699,157.3
19,0505,1.60,-172717425,42373,7656,483.5
20,0505,0.75,-46790596,38325,8388,133.3
