xargs: warning: options --max-lines and --replace/-I/-i are mutually exclusive, ignoring previous --max-lines value
[ci/exp004a/s0] DONE extra scales (0.5, 0.8)
[ci/exp004a/s1] DONE extra scales (0.5, 0.8)
[ci/race/rate/s8] DONE extra scales (0.5, 0.8)
[ci/exp004b/s0] DONE extra scales (0.5, 0.8)
[ci/race/rate/s4] DONE extra scales (0.5, 0.8)
[ci/exp004a/s5] DONE extra scales (0.5, 0.8)
[ci/race/rate/s1] DONE extra scales (0.5, 0.8)
[ci/race/rate/s2] DONE extra scales (0.5, 0.8)
[ci/exp004a/s4] DONE extra scales (0.5, 0.8)
[ci/race/rate/s5] DONE extra scales (0.5, 0.8)
[ci/exp004a/s3] DONE extra scales (0.5, 0.8)
[ci/race/age/s0] DONE extra scales (0.5, 0.8)
[ci/exp004a/s2] DONE extra scales (0.5, 0.8)
[ci/exp004a/s9] DONE extra scales (0.5, 0.8)
[ci/race/rate/s0] DONE extra scales (0.5, 0.8)
[ci/race/rate/s6] DONE extra scales (0.5, 0.8)
[ci/exp004a/s8] DONE extra scales (0.5, 0.8)
[ci/exp004a/s6] DONE extra scales (0.5, 0.8)
[ci/race/rate/s9] DONE extra scales (0.5, 0.8)
[ci/race/rate/s7] DONE extra scales (0.5, 0.8)
[ci/exp004a/s7] DONE extra scales (0.5, 0.8)
[ci/race/age/s1] DONE extra scales (0.5, 0.8)
[ci/exp004b/s2] DONE extra scales (0.5, 0.8)
[ci/race/age/s2] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s8] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s1] DONE extra scales (0.5, 0.8)
[ci/race/age/s6] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s5] DONE extra scales (0.5, 0.8)
[ci/race/age/s5] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s0] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s4] DONE extra scales (0.5, 0.8)
[ci/race/age/s3] DONE extra scales (0.5, 0.8)
[ci/race/age/s8] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s4] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s7] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s9] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s3] DONE extra scales (0.5, 0.8)
[ci/race/age/s4] DONE extra scales (0.5, 0.8)
[ci/race/ridge/s1] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s2] DONE extra scales (0.5, 0.8)
[ci/race/ridge/s0] DONE extra scales (0.5, 0.8)
[ci/race/spill/s0] DONE extra scales (0.5, 0.8)
[ci/race/rateage/s6] DONE extra scales (0.5, 0.8)
[ci/race/age/s9] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s0] DONE extra scales (0.5, 0.8)
[ci/race/spill/s1] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s3] DONE extra scales (0.5, 0.8)
[ci/race/age/s7] DONE extra scales (0.5, 0.8)
[ci/race/spillmulti/s0] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s6] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s2] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s1] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s5] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s7] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s9] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s10] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s8] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s13] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s14] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s11] DONE extra scales (0.5, 0.8)
[ci/race/spillmulti/s2] DONE extra scales (0.5, 0.8)
[ci/race/ridge/s2] DONE extra scales (0.5, 0.8)
[ci/exp004b/s1] DONE extra scales (0.5, 0.8)
[ci/race/ratemg/s12] DONE extra scales (0.5, 0.8)
[ci/race/spillmulti/s1] DONE extra scales (0.5, 0.8)
[ci/race/spill/s2] DONE extra scales (0.5, 0.8)
[ci/race/rate/s3] DONE extra scales (0.5, 0.8)
