episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.84,-3258983,72546,2519,118.7
2,0506,1.03,-2069467,57432,5267,263.9
3,0507,0.71,-771846,24247,11300,36.1
4,0506,1.23,-1531962,47114,7143,178.0
5,0507,1.20,-1025511,40197,8400,72.3
6,0505,0.62,-323513,21181,11858,33.5
7,0506,0.82,-639091,27945,10628,57.2
8,0506,1.28,-1577491,39108,8599,215.5
9,0507,1.09,-786066,31562,9971,72.0
10,0507,0.98,-645394,29213,10398,56.2
11,0507,0.57,-291810,21990,11712,53.8
12,0506,0.64,-408073,25556,11062,66.6
13,0505,1.22,-862991,31677,9950,86.8
14,0507,1.19,-889096,33419,9634,91.8
15,0506,0.74,-522547,24890,11184,81.5
16,0506,1.09,-1193881,33920,9542,149.7
17,0505,1.19,-806328,30680,10132,98.5
18,0505,1.02,-610580,27502,10709,81.1
19,0506,0.63,-407360,23553,11427,90.5
20,0505,1.13,-756845,35725,9214,104.8
