episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.84,-3280189,71391,2730,54.6
2,0507,0.82,-2228442,59579,4876,337.1
3,0505,1.20,-1384584,36823,9014,79.5
4,0506,0.80,-824984,49369,6734,47.7
5,0505,0.71,-341535,38494,8710,44.2
6,0507,0.83,-469705,35439,9266,51.9
7,0507,0.75,-387852,37769,8842,54.0
8,0505,0.73,-336282,36818,9015,56.7
9,0506,0.67,-427552,39494,8528,60.7
10,0506,1.02,-1065449,36542,9066,92.1
11,0507,0.97,-601591,35262,9298,85.2
12,0505,1.20,-821175,43088,7875,98.0
13,0507,0.74,-381953,29847,10282,81.7
14,0506,0.56,-312180,37688,8857,59.5
15,0507,0.77,-405276,33953,9536,92.4
16,0506,1.26,-1616973,41396,8183,183.0
17,0507,0.61,-298369,34099,9510,92.4
18,0507,0.52,-226096,30922,10087,80.9
19,0507,0.79,-418242,34193,9492,111.8
20,0506,1.09,-1207291,45775,7386,106.0
