episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.74,-4803511,42888,7912,200.9
2,0507,1.14,-1065397,49281,6749,30.8
3,0507,1.11,-1033227,39431,8540,32.3
4,0507,0.90,-1173540,43083,7876,50.7
5,0507,1.22,-883841,38962,8626,38.1
6,0506,1.24,-1475808,48873,6824,74.8
7,0506,0.89,-697415,44966,7534,39.3
8,0505,1.18,-736462,42670,7951,44.5
9,0505,0.81,-394553,39482,8530,42.2
10,0505,0.98,-535106,39326,8559,47.4
11,0507,1.06,-673927,38308,8744,55.5
12,0505,1.08,-622953,39370,8551,56.5
13,0507,1.02,-621969,37100,8964,60.1
14,0506,1.00,-948779,42520,7978,68.7
15,0505,0.59,-245615,34354,9463,58.2
16,0507,0.68,-323971,32495,9802,62.2
17,0505,0.91,-465591,35850,9191,68.0
18,0507,1.08,-674564,37665,8861,77.2
19,0507,0.71,-353856,33290,9656,71.7
20,0506,0.92,-772022,40970,8260,79.3
