episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.80,-654709021,56840,4090,1685.4
2,0505,1.17,-454633615,29440,10132,1007.9
3,0505,0.77,-2052567,37148,8690,41.9
4,0506,1.09,-180159481,51635,5617,445.0
5,0506,1.10,-32695927,49006,6165,129.5
6,0505,0.62,-469079,35509,9139,49.1
7,0505,1.27,-3997648,45543,7151,76.1
8,0507,1.47,-60913471,49303,6323,197.0
9,0505,1.26,-5317293,46071,7132,88.7
10,0507,1.28,-16840959,47818,6710,121.5
11,0507,1.16,-6910818,46629,7007,105.8
12,0505,0.92,-776699,44969,7341,92.3
13,0505,1.58,-105166579,44188,7476,322.6
14,0506,0.58,-528418,45136,7337,96.9
15,0507,0.64,-476789,46597,6977,86.1
16,0505,1.41,-32992041,46192,7098,148.4
17,0507,1.57,-145626490,45841,7103,452.5
18,0506,1.40,-190207030,47235,6972,554.2
19,0505,1.52,-58439608,46331,7089,257.9
20,0507,1.22,-15534881,47380,6849,173.1
