episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.59,-1321478444,26797,10473,2186.3
2,0507,1.60,-522711384,48359,6217,843.2
3,0506,0.77,-3919047,54487,4925,47.7
4,0507,0.88,-48347106,48852,6079,70.9
5,0505,0.96,-9465930,45433,7047,51.5
6,0505,1.47,-183372325,45838,7015,338.6
7,0507,1.31,-137054944,44363,7286,269.6
8,0506,1.04,-107089486,45695,6891,224.9
9,0505,0.54,-300814,46630,6746,53.5
10,0507,1.09,-72687839,47391,6634,183.9
11,0507,0.58,-20847774,46984,6620,83.9
12,0506,0.92,-4504170,47776,6474,89.5
13,0507,1.11,-75025565,47028,6688,177.0
14,0505,1.24,-5221851,47730,6546,92.6
15,0505,1.31,-10869870,46101,6875,106.1
16,0507,1.38,-121249401,45321,7088,247.1
17,0506,0.91,-4683231,44089,7255,100.3
18,0506,1.02,-36286882,44696,7119,157.0
19,0505,1.41,-25507983,44584,7249,135.3
20,0506,1.18,-135453912,43508,7415,323.4
