episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.76,-321063227,56838,4391,711.4
2,0506,0.76,-345748342,56224,4353,729.1
3,0507,1.57,-1782999194,53177,4970,2569.9
4,0506,1.14,-176099680,37082,8513,364.2
5,0505,1.39,-69599181,57995,3997,153.9
6,0505,1.51,-10368831,53637,5358,70.1
7,0507,1.19,-4542884,58578,4396,69.1
8,0507,1.01,-1608031,53274,5576,67.3
9,0507,1.36,-6592918,53714,5436,82.8
10,0506,0.95,-1252761,54838,5225,74.4
11,0507,0.70,-558749,54121,5511,77.0
12,0506,0.55,-473903,57784,4570,80.4
13,0506,0.52,-426054,57412,4650,85.8
14,0505,1.23,-1708142,50678,6122,101.1
15,0505,1.47,-7616108,50623,6124,115.0
16,0507,1.02,-1396573,48676,6563,110.0
17,0506,1.28,-45529038,51459,5761,172.0
18,0506,0.66,-521327,53704,5412,113.1
19,0506,1.57,-245874146,54184,5212,613.0
20,0507,1.14,-2782290,47743,6701,129.7
