episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.06,-612042151,15008,12968,758.9
2,0505,0.59,-87602275,41244,7507,93.1
3,0505,1.44,-158916821,55749,5293,209.9
4,0505,0.99,-356994476,57223,5070,443.0
5,0507,0.58,-95307336,45464,7206,136.3
6,0506,1.59,-641654869,56412,5165,1022.3
7,0506,1.18,-350732393,43960,7562,590.2
8,0505,0.53,-474562,41636,7997,40.6
9,0507,1.58,-30664888,49281,6593,98.2
10,0507,1.28,-7035257,51866,6132,68.5
11,0506,1.25,-64393323,45596,7280,127.5
12,0505,1.33,-3857980,43077,7824,71.5
13,0505,1.30,-3705619,42650,7897,74.8
14,0506,1.02,-11117250,48808,6752,82.1
15,0506,1.35,-87543434,53363,5889,173.9
16,0507,1.23,-3941365,46529,7143,85.9
17,0507,1.18,-3081970,44958,7467,86.8
18,0507,0.67,-458917,41185,8198,79.0
19,0507,0.71,-490310,40371,8338,84.6
20,0506,1.32,-75889260,51195,6290,170.4
