episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-370086198,62720,2883,1045.9
2,0505,0.67,-463867245,56279,4277,1251.5
3,0506,1.07,-519110760,48260,6030,1362.9
4,0506,1.53,-1193218437,49195,5940,2483.9
5,0506,1.46,-1484187775,48370,6099,2938.5
6,0507,1.58,-97301290,53824,5086,320.6
7,0505,1.35,-36995917,44047,7184,125.6
8,0505,1.38,-42833462,47052,6593,151.0
9,0507,1.49,-27073476,50359,5872,144.1
10,0507,0.93,-2269852,44937,6920,95.5
11,0506,0.84,-2000869,46102,6758,93.0
12,0505,0.88,-1263156,44320,7175,90.4
13,0505,0.72,-730976,46547,6668,70.8
14,0506,0.92,-4554472,49007,6185,92.7
15,0507,1.26,-9299844,47094,6677,134.0
16,0506,1.33,-127039055,50064,5809,341.1
17,0507,1.07,-4495917,43957,7335,130.4
18,0505,1.07,-3861310,42384,7655,135.7
19,0505,1.11,-5734628,42208,7703,102.5
20,0505,0.83,-1065666,39369,8267,117.4
