episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-311521964,64450,2496,900.7
2,0506,0.54,-445795629,56609,4232,1171.1
3,0507,1.29,-596419344,50603,5642,1468.6
4,0506,1.00,-192332860,41776,7644,491.8
5,0507,1.38,-472739301,40656,7841,1149.5
6,0505,1.49,-113102313,48885,6295,327.9
7,0505,1.19,-123037479,42254,7619,410.7
8,0507,1.58,-495127214,37794,8541,1250.9
9,0505,1.19,-20686277,49544,6192,144.5
10,0506,1.49,-498342122,46418,6884,1485.4
11,0505,1.31,-13680446,51987,5639,120.4
12,0505,1.39,-10727860,48407,6541,127.0
13,0505,1.23,-3522535,50007,6224,115.5
14,0507,0.92,-26554277,34783,9269,127.7
15,0505,0.99,-1070387,47115,6787,114.0
16,0505,0.78,-617892,49303,6326,113.9
17,0507,1.39,-89365936,34810,9313,301.4
18,0507,1.36,-172882088,30176,10197,425.7
19,0506,0.53,-568731,48566,6355,96.4
20,0506,1.15,-187549342,42055,7715,508.7
