episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.80,-660193121,57335,3980,1691.1
2,0507,1.42,-547326798,40659,8050,1165.5
3,0505,1.44,-779718859,48909,5937,1807.8
4,0506,1.52,-1415021933,52561,5114,3116.6
5,0507,1.18,-108059229,46613,6901,235.0
6,0507,0.75,-615555,48499,6129,61.4
7,0505,0.68,-131790849,59733,3819,387.7
8,0507,0.78,-14152259,50910,5639,90.2
9,0505,0.51,-331828,51811,5491,83.8
10,0507,1.23,-31141537,47697,6499,169.0
11,0507,1.00,-11127293,46742,6676,116.1
12,0506,0.86,-3068303,46695,6731,99.8
13,0506,1.15,-34134974,48984,6187,171.3
14,0505,1.01,-5014204,43704,7406,110.4
15,0507,1.55,-162170436,42395,7642,553.6
16,0505,0.95,-2366922,42447,7661,128.2
17,0506,1.07,-45397540,43770,7345,226.6
18,0505,0.72,-876040,43673,7427,124.5
19,0506,1.22,-108383670,46214,6877,318.7
20,0505,1.55,-130629195,46302,6958,404.6
