episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.72,-2545583,63792,4110,44.8
2,0506,0.53,-708698,67093,3510,11.7
3,0506,1.04,-2132979,59489,4893,252.5
4,0505,1.04,-1580377,61095,4601,64.5
5,0505,0.76,-907204,59228,4940,15.0
6,0505,0.73,-917814,52702,6127,14.9
7,0506,0.59,-798267,51151,6409,14.8
8,0507,1.10,-1750367,62690,4311,50.3
9,0507,0.81,-1117968,61930,4450,18.3
10,0507,0.86,-994535,58257,5117,18.6
11,0505,1.02,-1413602,60655,4681,26.6
12,0505,0.59,-451544,53261,6026,13.9
13,0505,1.00,-1398905,57543,5247,24.2
14,0507,0.60,-605155,53167,6042,15.7
15,0505,0.59,-392811,47895,7001,14.4
16,0505,0.75,-700284,50821,6469,18.2
17,0507,0.55,-436949,48599,6873,15.3
18,0507,1.06,-1826535,62060,4426,44.2
19,0506,0.63,-848906,52537,6157,20.0
20,0506,1.12,-2194805,60053,4790,83.5
