episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.72,-5354940,55614,5598,374.3
2,0507,1.23,-1862129,56561,5426,93.1
3,0506,0.96,-1230829,43664,7770,61.2
4,0506,0.90,-870853,44456,7626,36.7
5,0506,0.81,-684153,42879,7913,29.9
6,0507,0.91,-548276,32696,9764,30.1
7,0507,0.92,-559741,35191,9311,32.9
8,0506,0.52,-279324,35139,9320,28.7
9,0507,1.25,-1074414,43057,7881,55.6
10,0507,0.99,-625860,35316,9288,40.4
11,0506,1.00,-1040935,43891,7729,66.6
12,0507,1.23,-1383511,41171,8224,62.4
13,0507,1.06,-896047,42067,8060,58.6
14,0505,1.03,-605262,36356,9099,52.6
15,0507,0.70,-349677,30775,10114,51.9
16,0507,0.72,-368659,31395,10002,54.1
17,0507,1.20,-923781,40374,8368,72.2
18,0505,0.66,-298361,34112,9507,53.0
19,0506,1.06,-1138937,45417,7452,95.1
20,0506,0.53,-288102,36609,9053,55.6
