episode,total_reward,decisions,switches,wall_s
1,-426849,3912,365,31.9
2,-779790,4195,334,43.0
3,-444264,1448,639,31.0
4,-613575,1020,687,37.1
5,-531637,954,694,32.7
6,-413604,3387,424,29.6
7,-738019,4278,325,46.4
8,-510566,1166,671,34.2
9,-622265,2004,577,36.7
10,-340183,2517,520,29.1
11,-256764,4013,354,27.9
12,-192629,4056,349,24.7
13,-250143,4148,339,27.7
14,-164633,4128,341,24.1
15,-183699,4164,338,25.6
16,-182058,4308,321,25.8
17,-176438,4352,317,26.9
18,-184789,4200,333,26.8
19,-180859,3999,356,27.8
20,-176224,4101,344,27.8
21,-171353,4305,322,28.6
22,-175477,4047,350,28.0
23,-167587,3975,358,28.1
24,-174123,3788,379,28.0
25,-167274,3912,365,29.9
