episode,total_reward,decisions,switches,wall_s
1,-236070,3912,365,22.9
2,-461606,4200,333,33.4
3,-174239,3489,412,18.5
4,-407678,4132,341,29.3
5,-132725,1559,627,13.9
6,-251761,3453,417,23.2
7,-330259,3876,369,29.5
8,-226715,2706,499,21.8
9,-226480,2526,519,23.1
10,-105506,1392,645,15.6
11,-62691,995,690,11.4
12,-180511,2085,568,19.1
13,-125309,1558,627,15.2
14,-111084,1569,626,15.0
15,-249697,4157,338,28.7
16,-209118,4008,355,23.2
17,-397349,4078,347,33.1
18,-345791,3912,365,28.8
19,-381748,4047,350,32.2
20,-171412,2272,548,18.2
