episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.72,-5761124,66146,3682,422.4
2,0505,1.27,-2189767,57245,5301,99.7
3,0506,0.69,-1140175,35747,9210,41.4
4,0507,1.20,-1460984,45244,7483,94.4
5,0506,0.83,-893124,45779,7386,40.5
6,0506,0.59,-427220,38618,8688,27.0
7,0505,1.12,-886605,43209,7853,47.1
8,0506,0.85,-792530,33058,9698,43.3
9,0506,0.90,-896169,43276,7841,53.1
10,0507,0.81,-522474,34211,9489,36.9
11,0506,1.05,-1192418,48995,6802,82.4
12,0507,1.19,-1005494,40175,8404,64.8
13,0505,1.15,-885404,39722,8487,56.6
14,0505,0.79,-454974,34359,9462,44.0
15,0506,1.13,-1335412,37507,8890,105.2
16,0505,0.71,-372082,26216,10943,46.4
17,0507,0.98,-721846,33256,9662,55.8
18,0506,0.61,-422229,37159,8954,49.9
19,0505,0.92,-558133,35542,9247,55.8
20,0505,0.66,-325685,25713,11034,52.7
