episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.72,-5662508,55696,5582,414.9
2,0507,0.59,-1476557,63594,4146,27.2
3,0506,1.23,-2006166,53036,6066,442.3
4,0505,1.20,-1275565,35049,9336,42.7
5,0506,0.57,-396006,24430,11268,25.7
6,0507,0.66,-401727,37151,8954,32.3
7,0507,0.63,-325220,31454,9990,30.6
8,0507,0.93,-610470,41869,8096,41.0
9,0505,1.03,-663100,44540,7611,47.9
10,0506,0.63,-404276,28842,10466,43.2
11,0507,0.55,-257774,29807,10290,40.2
12,0507,0.75,-403569,35975,9168,48.7
13,0506,1.26,-3788929,51092,6420,428.9
14,0507,1.03,-702041,45508,7435,58.2
15,0507,1.01,-674211,46916,7179,60.7
16,0505,1.08,-688353,46075,7332,63.4
17,0507,0.50,-235522,38348,8737,53.5
18,0506,0.54,-290688,41007,8254,58.9
19,0506,0.51,-274288,40228,8395,57.9
20,0505,1.16,-814102,45838,7375,72.2
