episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.26,-4653086,69730,3031,176.8
2,0505,0.63,-1045748,43220,7851,22.0
3,0507,0.69,-631675,42340,8011,24.9
4,0507,0.58,-362404,37975,8804,24.2
5,0505,1.06,-1153517,48324,6923,40.8
6,0505,0.53,-279817,40999,8255,30.9
7,0505,1.19,-766283,43332,7830,43.4
8,0505,0.81,-386520,36691,9038,40.0
9,0505,1.18,-749776,40954,8263,48.7
10,0505,0.71,-317642,35256,9299,42.3
11,0505,0.53,-218734,33716,9579,44.6
12,0506,1.12,-1222325,46445,7265,77.9
13,0505,1.14,-689468,40415,8362,58.6
14,0507,0.53,-238589,32332,9831,55.6
15,0505,0.83,-396491,36224,9123,59.6
16,0506,0.56,-295532,35458,9262,59.3
17,0505,0.72,-327110,37060,8971,63.1
18,0505,0.52,-216497,33870,9551,63.4
19,0505,1.15,-701808,40558,8335,78.5
20,0507,0.71,-359606,33573,9606,75.3
