episode,total_reward,decisions,switches,wall_s
1,-426849,3912,365,34.6
2,-764649,4083,346,46.6
3,-692496,3631,397,42.9
4,-367415,1489,635,26.1
5,-675786,4102,344,41.2
6,-694635,4416,309,42.2
7,-425415,4094,345,33.0
8,-385361,3160,449,27.9
9,-598993,3440,418,35.8
10,-734674,4020,353,41.5
11,-373169,4192,334,33.3
12,-549730,2499,523,34.7
13,-444422,2328,541,30.2
14,-424693,4119,342,34.6
15,-627049,4218,331,40.2
16,-498041,4209,332,35.3
17,-451847,3057,460,30.2
18,-577353,3759,383,36.6
19,-548263,3750,383,38.3
20,-540611,4247,328,35.4
