episode,total_reward,decisions,switches,wall_s
1,-426849,3912,365,31.5
2,-764649,4083,346,47.3
3,-595269,2715,498,37.6
4,-449651,3525,408,32.1
5,-337884,4632,285,28.4
6,-349454,5091,234,31.4
7,-338108,5046,239,31.6
8,-350447,4929,253,33.0
9,-404724,5256,216,34.1
10,-348269,5015,243,31.2
11,-371273,5218,220,34.3
12,-371060,5325,208,35.5
13,-406745,5073,236,35.7
14,-443380,5172,225,37.0
15,-352678,5343,206,33.8
16,-422331,5271,214,38.4
17,-391500,5154,227,36.1
18,-385474,5010,244,37.1
19,-423587,5153,228,39.3
20,-429206,5019,242,40.9
21,-389091,5163,226,38.5
22,-434006,5208,221,39.8
23,-382609,5109,233,39.0
24,-401459,5145,228,40.9
25,-356771,5298,211,40.5
