variant,seed,scale,peak_total_delay_s,n_peak_trips
fixed,-1,0.5,43.1,
fixed,-1,0.8,63.1,
fixed,-1,1.0,230.0,
fixed,-1,1.3,912.0,
fixed,-1,1.8,4878.0,
pg_elapsed,0,0.5,40.6,6209
pg_elapsed,1,0.5,15.9,6209
pg_elapsed,2,0.5,16.9,6209
pg_elapsed,3,0.5,23.1,6209
pg_elapsed,4,0.5,16.5,6209
pg_elapsed,5,0.5,16.3,6209
pg_elapsed,6,0.5,16.4,6209
pg_elapsed,7,0.5,15.7,6209
pg_elapsed,8,0.5,37.6,6209
pg_elapsed,9,0.5,16.7,6209
pg_elapsed,10,0.5,21.8,6209
pg_elapsed,11,0.5,16.6,6209
pg_elapsed,12,0.5,17.0,6209
pg_elapsed,13,0.5,17.2,6209
pg_elapsed,14,0.5,15.6,6209
pg_elapsed,15,0.5,15.5,6209
pg_elapsed,16,0.5,18.4,6209
pg_elapsed,17,0.5,157.0,6209
pg_elapsed,18,0.5,16.4,6209
pg_elapsed,19,0.5,28.0,6209
pg_elapsed,0,0.8,437.2,9859
pg_elapsed,1,0.8,323.7,9859
pg_elapsed,2,0.8,26.9,9859
pg_elapsed,3,0.8,315.8,9859
pg_elapsed,4,0.8,140.3,9859
pg_elapsed,5,0.8,40.1,9859
pg_elapsed,6,0.8,55.4,9859
pg_elapsed,7,0.8,24.1,9859
pg_elapsed,8,0.8,534.1,9859
pg_elapsed,9,0.8,51.2,9859
pg_elapsed,10,0.8,231.5,9859
pg_elapsed,11,0.8,33.4,9859
pg_elapsed,12,0.8,74.0,9859
pg_elapsed,13,0.8,28.5,9859
pg_elapsed,14,0.8,41.4,9859
pg_elapsed,15,0.8,25.4,9859
pg_elapsed,16,0.8,104.9,9859
pg_elapsed,17,0.8,886.9,9859
pg_elapsed,18,0.8,46.2,9859
pg_elapsed,19,0.8,322.1,9859
pg_elapsed,0,1.0,785.6,12322
pg_elapsed,1,1.0,488.8,12322
pg_elapsed,2,1.0,184.8,12322
pg_elapsed,3,1.0,574.7,12322
pg_elapsed,4,1.0,429.6,12322
pg_elapsed,5,1.0,198.4,12322
pg_elapsed,6,1.0,320.2,12322
pg_elapsed,7,1.0,66.1,12322
pg_elapsed,8,1.0,1222.7,12322
pg_elapsed,9,1.0,307.1,12322
pg_elapsed,10,1.0,16013.1,10006
pg_elapsed,11,1.0,167.9,12322
pg_elapsed,12,1.0,424.5,12322
pg_elapsed,13,1.0,113.9,12322
pg_elapsed,14,1.0,290.4,12322
pg_elapsed,15,1.0,804.2,12322
pg_elapsed,16,1.0,809.8,12322
pg_elapsed,17,1.0,2870.2,12322
pg_elapsed,18,1.0,727.7,12322
pg_elapsed,19,1.0,817.5,12322
pg_elapsed,0,1.3,8909.6,6415
pg_elapsed,1,1.3,1403.0,16026
pg_elapsed,2,1.3,4419.6,10998
pg_elapsed,3,1.3,1855.1,16026
pg_elapsed,4,1.3,1673.2,16026
pg_elapsed,5,1.3,1142.6,16026
pg_elapsed,6,1.3,1216.3,16026
pg_elapsed,7,1.3,483.6,16026
pg_elapsed,8,1.3,7167.4,6468
pg_elapsed,9,1.3,1114.0,16026
pg_elapsed,10,1.3,8104.6,6702
pg_elapsed,11,1.3,9119.2,5971
pg_elapsed,12,1.3,1837.5,16026
pg_elapsed,13,1.3,431.7,16026
pg_elapsed,14,1.3,1114.1,16026
pg_elapsed,15,1.3,2732.7,16026
pg_elapsed,16,1.3,4328.8,10857
pg_elapsed,17,1.3,6526.3,12802
pg_elapsed,18,1.3,2754.7,16026
pg_elapsed,19,1.3,2487.0,16026
pg_elapsed,0,1.8,7148.7,7090
pg_elapsed,1,1.8,5899.2,22181
pg_elapsed,2,1.8,5842.4,21317
pg_elapsed,3,1.8,6899.3,22181
pg_elapsed,4,1.8,3041.6,14810
pg_elapsed,5,1.8,4989.9,14541
pg_elapsed,6,1.8,4513.5,22181
pg_elapsed,7,1.8,2188.4,22181
pg_elapsed,8,1.8,8805.8,2634
pg_elapsed,9,1.8,6347.4,8042
