variant,seed,episode,day,scale,reward,cumulative_reward,decisions,switches,wall_s
pg_elapsed,0,1,0507,0.72,-5662508,-5662508,55696,5582,414.9
pg_elapsed,0,2,0507,0.59,-1476557,-7139065,63594,4146,27.2
pg_elapsed,0,3,0506,1.23,-2006166,-9145231,53036,6066,442.3
pg_elapsed,0,4,0505,1.20,-1275565,-10420796,35049,9336,42.7
pg_elapsed,0,5,0506,0.57,-396006,-10816802,24430,11268,25.7
pg_elapsed,0,6,0507,0.66,-401727,-11218529,37151,8954,32.3
pg_elapsed,0,7,0507,0.63,-325220,-11543749,31454,9990,30.6
pg_elapsed,0,8,0507,0.93,-610470,-12154219,41869,8096,41.0
pg_elapsed,0,9,0505,1.03,-663100,-12817319,44540,7611,47.9
pg_elapsed,0,10,0506,0.63,-404276,-13221595,28842,10466,43.2
pg_elapsed,0,11,0507,0.55,-257774,-13479369,29807,10290,40.2
pg_elapsed,0,12,0507,0.75,-403569,-13882938,35975,9168,48.7
pg_elapsed,0,13,0506,1.26,-3788929,-17671867,51092,6420,428.9
pg_elapsed,0,14,0507,1.03,-702041,-18373908,45508,7435,58.2
pg_elapsed,0,15,0507,1.01,-674211,-19048119,46916,7179,60.7
pg_elapsed,0,16,0505,1.08,-688353,-19736472,46075,7332,63.4
pg_elapsed,0,17,0507,0.50,-235522,-19971994,38348,8737,53.5
pg_elapsed,0,18,0506,0.54,-290688,-20262682,41007,8254,58.9
pg_elapsed,0,19,0506,0.51,-274288,-20536970,40228,8395,57.9
pg_elapsed,0,20,0505,1.16,-814102,-21351072,45838,7375,72.2
pg_elapsed,5,1,0507,1.15,-3926785,-3926785,64352,4009,100.2
pg_elapsed,5,2,0507,0.71,-2031128,-5957913,56840,5374,34.6
pg_elapsed,5,3,0505,1.06,-2054537,-8012450,44894,7546,240.0
pg_elapsed,5,4,0507,0.89,-1042716,-9055166,24446,11264,33.0
pg_elapsed,5,5,0505,0.52,-290025,-9345191,25511,11071,25.8
pg_elapsed,5,5,0505,0.52,-290025,-9635216,25511,11071,37.5
pg_elapsed,5,6,0506,0.93,-866980,-10502196,48729,6850,53.5
pg_elapsed,5,7,0506,0.66,-484420,-10986616,35657,9226,46.2
pg_elapsed,5,8,0507,0.54,-253860,-11240476,32465,9806,46.8
pg_elapsed,5,9,0506,0.78,-505859,-11746335,39139,8593,58.3
pg_elapsed,5,10,0505,1.13,-621587,-12367922,32598,9782,59.2
pg_elapsed,5,11,0506,1.14,-1300564,-13668486,36768,9024,101.7
pg_elapsed,5,12,0505,0.73,-335728,-14004214,33916,9542,66.9
pg_elapsed,5,13,0506,0.87,-640026,-14644240,29769,10296,76.3
pg_elapsed,5,14,0506,0.67,-401355,-15045595,25614,11052,61.4
pg_elapsed,5,15,0505,1.09,-600642,-15646237,31375,10005,87.8
pg_elapsed,5,16,0505,0.63,-272518,-15918755,29910,10271,84.9
pg_elapsed,5,17,0506,0.53,-275943,-16194698,23627,11414,82.0
pg_elapsed,5,18,0505,1.26,-790493,-16985191,32912,9726,104.9
pg_elapsed,5,19,0505,1.08,-590094,-17575285,34565,9424,95.4
pg_elapsed,5,20,0505,0.76,-352458,-17927743,24705,11218,82.7
pg_elapsed,6,1,0506,0.77,-3788481,-3788481,51395,6364,210.7
pg_elapsed,6,2,0505,0.63,-1013298,-4801779,41055,8245,80.0
pg_elapsed,6,3,0506,0.51,-474426,-5276205,31307,10017,32.1
pg_elapsed,6,4,0507,0.80,-597756,-5873961,38028,8795,43.4
pg_elapsed,6,5,0505,0.77,-398482,-6272443,24366,11280,42.4
pg_elapsed,6,6,0506,1.30,-1662415,-7934858,39986,8439,86.8
pg_elapsed,6,7,0506,0.92,-875580,-8810438,31447,9992,60.1
pg_elapsed,6,8,0506,1.28,-1506976,-10317414,49096,6783,158.6
pg_elapsed,6,9,0507,0.63,-297550,-10614964,34708,9398,53.2
pg_elapsed,6,10,0506,0.76,-504735,-11119699,29195,10401,62.5
pg_elapsed,6,11,0507,0.56,-250575,-11370274,24375,11278,62.1
pg_elapsed,6,12,0507,0.52,-242733,-11613007,30636,10140,62.5
pg_elapsed,6,13,0507,1.17,-789405,-12402412,40603,8327,86.8
pg_elapsed,6,14,0506,0.69,-427488,-12829900,27063,10788,72.3
pg_elapsed,6,15,0507,0.58,-265540,-13095440,27694,10674,60.5
pg_elapsed,6,16,0507,0.82,-448950,-13544390,33877,9550,81.9
pg_elapsed,6,17,0506,0.67,-398266,-13942656,27666,10680,92.9
pg_elapsed,6,18,0505,0.62,-261369,-14204025,23884,11367,92.3
pg_elapsed,6,19,0507,0.62,-296400,-14500425,28979,10440,90.0
pg_elapsed,6,20,0505,1.14,-683975,-15184400,32220,9851,109.6
pg_elapsed,7,1,0507,1.22,-3311833,-3311833,70357,2917,80.6
pg_elapsed,7,2,0506,0.61,-1215421,-4527254,56103,5508,37.9
pg_elapsed,7,3,0507,0.65,-579136,-5106390,29186,10402,34.5
pg_elapsed,7,4,0505,1.20,-875770,-5982160,42593,7965,49.0
pg_elapsed,7,5,0507,0.50,-211784,-6193944,25939,10994,37.9
pg_elapsed,7,6,0507,1.29,-991032,-7184976,46123,7324,62.8
pg_elapsed,7,7,0507,1.20,-794029,-7979005,41394,8183,65.9
pg_elapsed,7,8,0506,0.64,-344959,-8323964,38658,8680,57.0
pg_elapsed,7,9,0507,0.52,-230639,-8554603,34997,9346,64.7
pg_elapsed,7,10,0507,0.57,-247359,-8801962,34341,9466,69.8
pg_elapsed,7,11,0506,0.71,-410063,-9212025,38918,8634,77.8
pg_elapsed,7,12,0507,1.19,-757983,-9970008,41625,8141,90.3
pg_elapsed,7,13,0506,1.00,-847261,-10817269,43253,7845,99.5
pg_elapsed,7,14,0506,0.71,-416582,-11233851,38389,8730,93.2
pg_elapsed,7,15,0505,1.21,-708691,-11942542,41636,8139,98.7
pg_elapsed,7,16,0506,0.55,-279551,-12222093,36085,9148,94.6
pg_elapsed,7,17,0505,0.63,-267497,-12489590,35283,9294,106.1
pg_elapsed,7,18,0507,1.14,-708551,-13198141,40544,8338,117.8
pg_elapsed,7,19,0507,1.15,-717334,-13915475,40123,8414,132.6
pg_elapsed,7,20,0506,0.93,-722667,-14638142,41141,8229,120.2
pg_elapsed,8,1,0507,1.29,-3574300,-3574300,47061,7152,520.0
pg_elapsed,8,2,0507,1.23,-1949756,-5524056,38402,8727,163.4
pg_elapsed,8,3,0505,1.16,-1233678,-6757734,36919,8996,110.5
pg_elapsed,8,4,0505,0.65,-717947,-7475681,37787,8839,41.1
pg_elapsed,8,5,0505,0.65,-451211,-7926892,43717,7760,42.3
pg_elapsed,8,6,0505,1.00,-767978,-8694870,30705,10126,55.4
pg_elapsed,8,7,0506,1.26,-1688251,-10383121,38625,8686,350.3
pg_elapsed,8,8,0506,0.68,-603266,-10986387,27153,10772,59.9
pg_elapsed,8,9,0505,0.92,-680835,-11667222,29118,10415,66.8
pg_elapsed,8,10,0506,0.98,-1150131,-12817353,32017,9888,144.8
pg_elapsed,8,11,0505,0.95,-710722,-13528075,29593,10329,80.1
pg_elapsed,8,12,0506,1.17,-1554411,-15082486,35572,9242,252.3
pg_elapsed,8,13,0505,0.87,-613678,-15696164,27745,10665,73.4
pg_elapsed,8,14,0507,0.76,-583242,-16279406,25829,11014,76.5
pg_elapsed,8,15,0505,1.02,-808288,-17087694,30154,10227,82.4
pg_elapsed,8,16,0507,1.00,-894626,-17982320,30957,10081,106.8
pg_elapsed,8,17,0505,0.63,-368749,-18351069,31054,10064,87.2
pg_elapsed,8,18,0505,0.52,-267260,-18618329,22257,11662,86.0
pg_elapsed,8,19,0507,0.57,-361310,-18979639,22715,11580,81.2
pg_elapsed,8,20,0505,0.59,-318209,-19297848,22932,11540,91.5
pg_elapsed,9,1,0506,0.73,-4742654,-4742654,72768,2478,686.9
pg_elapsed,9,2,0505,0.73,-932961,-5675615,62536,4339,38.6
pg_elapsed,9,3,0507,0.88,-1732789,-7408404,42465,7988,308.5
pg_elapsed,9,4,0506,0.95,-927603,-8336007,40395,8364,40.3
pg_elapsed,9,5,0505,0.81,-379858,-8715865,38704,8672,49.5
pg_elapsed,9,6,0507,0.84,-463815,-9179680,40846,8283,55.5
pg_elapsed,9,7,0507,0.91,-510351,-9690031,41639,8138,48.6
pg_elapsed,9,8,0507,0.75,-371517,-10061548,38630,8686,64.8
pg_elapsed,9,9,0505,1.04,-570226,-10631774,43684,7766,73.6
pg_elapsed,9,10,0507,1.09,-675468,-11307242,42244,8028,78.2
pg_elapsed,9,11,0505,0.92,-465031,-11772273,41119,8233,74.8
pg_elapsed,9,12,0507,0.72,-356621,-12128894,36235,9122,61.4
pg_elapsed,9,13,0506,1.02,-940395,-13069289,45031,7522,107.2
pg_elapsed,9,14,0505,1.08,-660431,-13729720,41999,8074,109.4
pg_elapsed,9,15,0506,1.11,-1182076,-14911796,46001,7346,138.7
pg_elapsed,9,16,0507,1.08,-672852,-15584648,41285,8203,113.8
pg_elapsed,9,17,0506,0.71,-440481,-16025129,39694,8492,114.6
pg_elapsed,9,18,0506,0.74,-458472,-16483601,39666,8498,113.9
pg_elapsed,9,19,0506,1.28,-1612424,-18096025,48775,6841,218.6
pg_elapsed,9,20,0507,0.54,-255029,-18351054,34684,9403,92.1
pg_elapsed,10,1,0507,0.67,-4689441,-4689441,60899,4636,276.7
pg_elapsed,10,2,0506,1.09,-2260657,-6950098,63449,4173,281.6
pg_elapsed,10,3,0505,1.00,-1817599,-8767697,37876,8822,89.1
