time_5min,approach,movement,total_vph
00:00,Eastbound,Left,
00:05,Eastbound,Left,54.4
00:10,Eastbound,Left,63.5
00:15,Eastbound,Left,
00:20,Eastbound,Left,48.6
00:25,Eastbound,Left,
00:30,Eastbound,Left,42.2
00:35,Eastbound,Left,95.4
00:40,Eastbound,Left,81.6
00:45,Eastbound,Left,
00:50,Eastbound,Left,
00:55,Eastbound,Left,
01:00,Eastbound,Left,28.4
01:05,Eastbound,Left,42.7
01:10,Eastbound,Left,33.2
01:15,Eastbound,Left,22.5
01:20,Eastbound,Left,
01:25,Eastbound,Left,48.1
01:30,Eastbound,Left,55.5
01:35,Eastbound,Left,30.0
01:40,Eastbound,Left,18.3
01:45,Eastbound,Left,18.3
01:50,Eastbound,Left,33.2
01:55,Eastbound,Left,
02:00,Eastbound,Left,
02:05,Eastbound,Left,
02:10,Eastbound,Left,18.3
02:15,Eastbound,Left,43.8
02:20,Eastbound,Left,58.0
02:25,Eastbound,Left,50.2
02:30,Eastbound,Left,42.1
02:35,Eastbound,Left,39.5
02:40,Eastbound,Left,45.9
02:45,Eastbound,Left,28.2
02:50,Eastbound,Left,20.4
02:55,Eastbound,Left,9.8
03:00,Eastbound,Left,9.8
03:05,Eastbound,Left,20.4
03:10,Eastbound,Left,19.3
03:15,Eastbound,Left,
03:20,Eastbound,Left,9.8
03:25,Eastbound,Left,7.6
03:30,Eastbound,Left,
03:35,Eastbound,Left,15.1
03:40,Eastbound,Left,11.2
03:45,Eastbound,Left,12.4
03:50,Eastbound,Left,10.8
03:55,Eastbound,Left,
04:00,Eastbound,Left,
04:05,Eastbound,Left,
04:10,Eastbound,Left,9.8
04:15,Eastbound,Left,
04:20,Eastbound,Left,
04:25,Eastbound,Left,
04:30,Eastbound,Left,9.8
04:35,Eastbound,Left,16.1
04:40,Eastbound,Left,14.0
04:45,Eastbound,Left,
04:50,Eastbound,Left,12.6
04:55,Eastbound,Left,
05:00,Eastbound,Left,22.5
05:05,Eastbound,Left,20.4
05:10,Eastbound,Left,13.3
05:15,Eastbound,Left,
05:20,Eastbound,Left,18.8
05:25,Eastbound,Left,37.4
05:30,Eastbound,Left,22.5
05:35,Eastbound,Left,11.9
05:40,Eastbound,Left,26.8
05:45,Eastbound,Left,
05:50,Eastbound,Left,36.9
05:55,Eastbound,Left,
06:00,Eastbound,Left,49.5
06:05,Eastbound,Left,47.0
06:10,Eastbound,Left,
06:15,Eastbound,Left,51.2
06:20,Eastbound,Left,44.9
06:25,Eastbound,Left,73.6
06:30,Eastbound,Left,91.7
06:35,Eastbound,Left,
06:40,Eastbound,Left,59.4
06:45,Eastbound,Left,
06:50,Eastbound,Left,
06:55,Eastbound,Left,85.3
07:00,Eastbound,Left,109.0
07:05,Eastbound,Left,124.1
07:10,Eastbound,Left,125.3
07:15,Eastbound,Left,
07:20,Eastbound,Left,116.1
07:25,Eastbound,Left,
07:30,Eastbound,Left,100.8
07:35,Eastbound,Left,107.6
07:40,Eastbound,Left,
07:45,Eastbound,Left,137.4
07:50,Eastbound,Left,137.4
07:55,Eastbound,Left,
08:00,Eastbound,Left,162.9
08:05,Eastbound,Left,189.5
08:10,Eastbound,Left,121.4
08:15,Eastbound,Left,75.7
08:20,Eastbound,Left,139.5
08:25,Eastbound,Left,
08:30,Eastbound,Left,
08:35,Eastbound,Left,171.4
08:40,Eastbound,Left,167.2
08:45,Eastbound,Left,
08:50,Eastbound,Left,
08:55,Eastbound,Left,143.8
09:00,Eastbound,Left,143.8
09:05,Eastbound,Left,192.7
09:10,Eastbound,Left,172.5
09:15,Eastbound,Left,92.7
