time_5min,approach,movement,total_vph
00:00,Southbound,Left,53.6
00:05,Southbound,Left,66.3
00:10,Southbound,Left,65.5
00:15,Southbound,Left,74.6
00:20,Southbound,Left,112.5
00:25,Southbound,Left,101.0
00:30,Southbound,Left,61.0
00:35,Southbound,Left,31.4
00:40,Southbound,Left,34.1
00:45,Southbound,Left,31.8
00:50,Southbound,Left,34.1
00:55,Southbound,Left,56.7
01:00,Southbound,Left,78.3
01:05,Southbound,Left,75.6
01:10,Southbound,Left,30.7
01:15,Southbound,Left,27.1
01:20,Southbound,Left,34.1
01:25,Southbound,Left,41.4
01:30,Southbound,Left,37.7
01:35,Southbound,Left,30.4
01:40,Southbound,Left,50.5
01:45,Southbound,Left,65.0
01:50,Southbound,Left,46.0
01:55,Southbound,Left,
02:00,Southbound,Left,33.1
02:05,Southbound,Left,40.4
02:10,Southbound,Left,19.4
02:15,Southbound,Left,38.7
02:20,Southbound,Left,40.4
02:25,Southbound,Left,18.1
02:30,Southbound,Left,18.1
02:35,Southbound,Left,
02:40,Southbound,Left,23.9
02:45,Southbound,Left,29.4
02:50,Southbound,Left,20.8
02:55,Southbound,Left,26.4
03:00,Southbound,Left,24.1
03:05,Southbound,Left,12.8
03:10,Southbound,Left,26.1
03:15,Southbound,Left,27.4
03:20,Southbound,Left,10.1
03:25,Southbound,Left,6.2
03:30,Southbound,Left,16.8
03:35,Southbound,Left,13.8
03:40,Southbound,Left,16.8
03:45,Southbound,Left,14.1
03:50,Southbound,Left,11.5
03:55,Southbound,Left,23.4
04:00,Southbound,Left,15.9
04:05,Southbound,Left,25.4
04:10,Southbound,Left,25.2
04:15,Southbound,Left,
04:20,Southbound,Left,
04:25,Southbound,Left,18.1
04:30,Southbound,Left,14.8
04:35,Southbound,Left,
04:40,Southbound,Left,
04:45,Southbound,Left,
04:50,Southbound,Left,70.4
04:55,Southbound,Left,57.7
05:00,Southbound,Left,25.0
05:05,Southbound,Left,18.6
05:10,Southbound,Left,27.7
05:15,Southbound,Left,28.7
05:20,Southbound,Left,25.4
05:25,Southbound,Left,32.3
05:30,Southbound,Left,46.0
05:35,Southbound,Left,45.6
05:40,Southbound,Left,37.7
05:45,Southbound,Left,70.6
05:50,Southbound,Left,86.7
05:55,Southbound,Left,67.0
06:00,Southbound,Left,54.3
06:05,Southbound,Left,74.6
06:10,Southbound,Left,78.3
06:15,Southbound,Left,66.5
06:20,Southbound,Left,42.4
