time_5min,approach,movement,total_vph
00:00,Westbound,Left,18.5
00:05,Westbound,Left,23.6
00:10,Westbound,Left,28.5
00:15,Westbound,Left,25.6
00:20,Westbound,Left,25.5
00:25,Westbound,Left,31.0
00:30,Westbound,Left,23.4
00:35,Westbound,Left,40.8
00:40,Westbound,Left,37.8
00:45,Westbound,Left,23.6
00:50,Westbound,Left,33.1
00:55,Westbound,Left,25.2
01:00,Westbound,Left,11.1
01:05,Westbound,Left,23.6
01:10,Westbound,Left,15.5
01:15,Westbound,Left,16.7
01:20,Westbound,Left,47.2
01:25,Westbound,Left,53.9
01:30,Westbound,Left,37.9
01:35,Westbound,Left,23.6
01:40,Westbound,Left,18.6
01:45,Westbound,Left,17.5
01:50,Westbound,Left,18.1
01:55,Westbound,Left,11.7
02:00,Westbound,Left,7.5
02:05,Westbound,Left,5.2
02:10,Westbound,Left,5.8
02:15,Westbound,Left,5.4
02:20,Westbound,Left,16.1
02:25,Westbound,Left,14.3
02:30,Westbound,Left,10.5
02:35,Westbound,Left,16.8
02:40,Westbound,Left,6.1
02:45,Westbound,Left,
02:50,Westbound,Left,4.0
02:55,Westbound,Left,11.3
03:00,Westbound,Left,6.0
03:05,Westbound,Left,15.3
03:10,Westbound,Left,29.9
03:15,Westbound,Left,15.7
03:20,Westbound,Left,
03:25,Westbound,Left,5.9
03:30,Westbound,Left,5.6
03:35,Westbound,Left,
03:40,Westbound,Left,
03:45,Westbound,Left,
03:50,Westbound,Left,5.3
03:55,Westbound,Left,6.1
04:00,Westbound,Left,5.1
04:05,Westbound,Left,6.7
04:10,Westbound,Left,5.1
04:15,Westbound,Left,5.5
04:20,Westbound,Left,
04:25,Westbound,Left,
04:30,Westbound,Left,
04:35,Westbound,Left,
04:40,Westbound,Left,
04:45,Westbound,Left,
04:50,Westbound,Left,4.9
04:55,Westbound,Left,6.7
05:00,Westbound,Left,10.6
05:05,Westbound,Left,16.4
05:10,Westbound,Left,11.7
05:15,Westbound,Left,11.7
05:20,Westbound,Left,11.7
05:25,Westbound,Left,17.0
05:30,Westbound,Left,23.6
05:35,Westbound,Left,17.7
05:40,Westbound,Left,11.7
05:45,Westbound,Left,16.0
05:50,Westbound,Left,18.0
05:55,Westbound,Left,17.5
06:00,Westbound,Left,17.5
06:05,Westbound,Left,11.7
06:10,Westbound,Left,33.4
06:15,Westbound,Left,65.7
06:20,Westbound,Left,39.9
06:25,Westbound,Left,23.6
06:30,Westbound,Left,
06:35,Westbound,Left,33.7
06:40,Westbound,Left,
06:45,Westbound,Left,54.5
06:50,Westbound,Left,59.7
06:55,Westbound,Left,54.0
07:00,Westbound,Left,53.0
07:05,Westbound,Left,59.7
07:10,Westbound,Left,53.3
07:15,Westbound,Left,58.9
07:20,Westbound,Left,50.7
07:25,Westbound,Left,36.0
07:30,Westbound,Left,59.7
07:35,Westbound,Left,66.4
07:40,Westbound,Left,77.6
07:45,Westbound,Left,81.0
07:50,Westbound,Left,55.0
07:55,Westbound,Left,57.1
08:00,Westbound,Left,70.5
08:05,Westbound,Left,52.6
08:10,Westbound,Left,48.3
08:15,Westbound,Left,54.8
08:20,Westbound,Left,51.3
08:25,Westbound,Left,59.5
08:30,Westbound,Left,49.3
08:35,Westbound,Left,
08:40,Westbound,Left,53.5
08:45,Westbound,Left,45.8
08:50,Westbound,Left,45.3
08:55,Westbound,Left,54.0
09:00,Westbound,Left,47.1
09:05,Westbound,Left,49.2
09:10,Westbound,Left,44.3
09:15,Westbound,Left,64.9
09:20,Westbound,Left,82.9
09:25,Westbound,Left,67.3
09:30,Westbound,Left,46.7
09:35,Westbound,Left,55.0
09:40,Westbound,Left,69.6
09:45,Westbound,Left,66.1
09:50,Westbound,Left,63.4
09:55,Westbound,Left,69.4
10:00,Westbound,Left,69.8
10:05,Westbound,Left,106.6
10:10,Westbound,Left,72.0
10:15,Westbound,Left,64.7
10:20,Westbound,Left,61.9
10:25,Westbound,Left,41.5
10:30,Westbound,Left,42.2
10:35,Westbound,Left,54.3
10:40,Westbound,Left,65.5
10:45,Westbound,Left,48.2
10:50,Westbound,Left,
10:55,Westbound,Left,
11:00,Westbound,Left,
11:05,Westbound,Left,57.9
11:10,Westbound,Left,67.8
11:15,Westbound,Left,36.1
11:20,Westbound,Left,40.7
11:25,Westbound,Left,71.8
11:30,Westbound,Left,72.9
11:35,Westbound,Left,
11:40,Westbound,Left,54.4
11:45,Westbound,Left,74.4
11:50,Westbound,Left,87.8
11:55,Westbound,Left,77.4
12:00,Westbound,Left,68.0
12:05,Westbound,Left,
12:10,Westbound,Left,39.2
12:15,Westbound,Left,28.2
12:20,Westbound,Left,28.3
12:25,Westbound,Left,49.0
12:30,Westbound,Left,85.2
12:35,Westbound,Left,90.0
12:40,Westbound,Left,63.3
12:45,Westbound,Left,70.4
12:50,Westbound,Left,57.9
12:55,Westbound,Left,29.2
13:00,Westbound,Left,67.2
13:05,Westbound,Left,77.0
13:10,Westbound,Left,53.6
13:15,Westbound,Left,54.0
13:20,Westbound,Left,50.2
13:25,Westbound,Left,59.0
13:30,Westbound,Left,53.6
13:35,Westbound,Left,47.8
13:40,Westbound,Left,52.5
13:45,Westbound,Left,54.8
13:50,Westbound,Left,58.9
13:55,Westbound,Left,82.9
14:00,Westbound,Left,79.1
14:05,Westbound,Left,55.0
14:10,Westbound,Left,43.2
14:15,Westbound,Left,41.5
14:20,Westbound,Left,47.8
14:25,Westbound,Left,52.6
14:30,Westbound,Left,49.2
14:35,Westbound,Left,
14:40,Westbound,Left,35.5
14:45,Westbound,Left,23.6
14:50,Westbound,Left,22.7
14:55,Westbound,Left,35.5
15:00,Westbound,Left,27.0
15:05,Westbound,Left,22.2
15:10,Westbound,Left,18.7
15:15,Westbound,Left,33.7
15:20,Westbound,Left,65.9
15:25,Westbound,Left,50.6
15:30,Westbound,Left,37.0
15:35,Westbound,Left,42.2
15:40,Westbound,Left,59.4
15:45,Westbound,Left,51.4
15:50,Westbound,Left,53.4
15:55,Westbound,Left,83.9
16:00,Westbound,Left,54.2
16:05,Westbound,Left,
16:10,Westbound,Left,40.2
16:15,Westbound,Left,21.3
16:20,Westbound,Left,26.9
16:25,Westbound,Left,49.4
16:30,Westbound,Left,15.2
16:35,Westbound,Left,14.8
16:40,Westbound,Left,
16:45,Westbound,Left,63.9
16:50,Westbound,Left,50.4
16:55,Westbound,Left,29.3
17:00,Westbound,Left,25.1
17:05,Westbound,Left,16.9
17:10,Westbound,Left,41.4
17:15,Westbound,Left,50.6
17:20,Westbound,Left,47.2
17:25,Westbound,Left,71.6
17:30,Westbound,Left,58.9
17:35,Westbound,Left,40.4
17:40,Westbound,Left,47.4
17:45,Westbound,Left,35.8
17:50,Westbound,Left,34.3
17:55,Westbound,Left,43.6
18:00,Westbound,Left,18.4
18:05,Westbound,Left,27.7
18:10,Westbound,Left,52.9
18:15,Westbound,Left,
18:20,Westbound,Left,52.5
18:25,Westbound,Left,46.0
18:30,Westbound,Left,
18:35,Westbound,Left,51.0
18:40,Westbound,Left,65.2
