time_5min,approach,movement,total_vph
00:00,Eastbound,Thru,376.6
00:05,Eastbound,Thru,277.5
00:10,Eastbound,Thru,239.6
00:15,Eastbound,Thru,307.4
00:20,Eastbound,Thru,272.9
00:25,Eastbound,Thru,203.7
00:30,Eastbound,Thru,199.0
00:35,Eastbound,Thru,257.6
00:40,Eastbound,Thru,281.5
00:45,Eastbound,Thru,246.3
00:50,Eastbound,Thru,215.7
00:55,Eastbound,Thru,190.4
01:00,Eastbound,Thru,167.8
01:05,Eastbound,Thru,216.5
01:10,Eastbound,Thru,227.7
01:15,Eastbound,Thru,215.7
01:20,Eastbound,Thru,151.9
01:25,Eastbound,Thru,151.9
01:30,Eastbound,Thru,132.0
01:35,Eastbound,Thru,124.0
01:40,Eastbound,Thru,149.9
01:45,Eastbound,Thru,155.9
01:50,Eastbound,Thru,143.9
01:55,Eastbound,Thru,165.9
02:00,Eastbound,Thru,179.8
02:05,Eastbound,Thru,100.0
02:10,Eastbound,Thru,124.0
02:15,Eastbound,Thru,154.3
02:20,Eastbound,Thru,142.6
02:25,Eastbound,Thru,108.0
02:30,Eastbound,Thru,147.9
02:35,Eastbound,Thru,143.9
02:40,Eastbound,Thru,132.0
02:45,Eastbound,Thru,76.1
02:50,Eastbound,Thru,104.0
02:55,Eastbound,Thru,145.2
03:00,Eastbound,Thru,139.9
03:05,Eastbound,Thru,76.1
03:10,Eastbound,Thru,84.1
03:15,Eastbound,Thru,76.1
03:20,Eastbound,Thru,118.0
03:25,Eastbound,Thru,121.3
03:30,Eastbound,Thru,68.1
03:35,Eastbound,Thru,
03:40,Eastbound,Thru,
03:45,Eastbound,Thru,
03:50,Eastbound,Thru,76.1
03:55,Eastbound,Thru,108.0
04:00,Eastbound,Thru,118.7
04:05,Eastbound,Thru,60.2
04:10,Eastbound,Thru,60.2
04:15,Eastbound,Thru,68.1
04:20,Eastbound,Thru,
04:25,Eastbound,Thru,76.1
04:30,Eastbound,Thru,84.1
04:35,Eastbound,Thru,84.1
04:40,Eastbound,Thru,68.1
04:45,Eastbound,Thru,92.1
04:50,Eastbound,Thru,
04:55,Eastbound,Thru,118.7
05:00,Eastbound,Thru,106.0
05:05,Eastbound,Thru,132.0
05:10,Eastbound,Thru,90.1
05:15,Eastbound,Thru,60.2
05:20,Eastbound,Thru,102.7
05:25,Eastbound,Thru,116.0
05:30,Eastbound,Thru,76.1
05:35,Eastbound,Thru,
05:40,Eastbound,Thru,145.2
05:45,Eastbound,Thru,155.9
05:50,Eastbound,Thru,145.2
05:55,Eastbound,Thru,135.9
06:00,Eastbound,Thru,100.0
06:05,Eastbound,Thru,
06:10,Eastbound,Thru,124.0
06:15,Eastbound,Thru,166.5
06:20,Eastbound,Thru,206.4
06:25,Eastbound,Thru,132.0
06:30,Eastbound,Thru,223.7
06:35,Eastbound,Thru,211.7
06:40,Eastbound,Thru,203.7
06:45,Eastbound,Thru,315.4
06:50,Eastbound,Thru,262.2
06:55,Eastbound,Thru,368.6
07:00,Eastbound,Thru,326.1
07:05,Eastbound,Thru,465.0
07:10,Eastbound,Thru,478.9
07:15,Eastbound,Thru,389.9
07:20,Eastbound,Thru,514.8
07:25,Eastbound,Thru,506.9
07:30,Eastbound,Thru,576.7
07:35,Eastbound,Thru,762.1
07:40,Eastbound,Thru,578.7
07:45,Eastbound,Thru,927.6
07:50,Eastbound,Thru,973.5
07:55,Eastbound,Thru,814.0
08:00,Eastbound,Thru,559.5
08:05,Eastbound,Thru,746.2
08:10,Eastbound,Thru,645.1
08:15,Eastbound,Thru,654.4
08:20,Eastbound,Thru,275.5
08:25,Eastbound,Thru,323.4
08:30,Eastbound,Thru,542.8
