time_5min,approach,movement,total_vph
00:00,Northbound,Thru,208.3
00:05,Northbound,Thru,192.6
00:10,Northbound,Thru,152.1
00:15,Northbound,Thru,126.2
00:20,Northbound,Thru,131.5
00:25,Northbound,Thru,166.7
00:30,Northbound,Thru,148.6
00:35,Northbound,Thru,121.5
00:40,Northbound,Thru,126.2
00:45,Northbound,Thru,204.5
00:50,Northbound,Thru,233.1
00:55,Northbound,Thru,160.7
01:00,Northbound,Thru,62.4
01:05,Northbound,Thru,99.7
01:10,Northbound,Thru,98.9
01:15,Northbound,Thru,63.1
01:20,Northbound,Thru,45.8
01:25,Northbound,Thru,56.4
01:30,Northbound,Thru,78.4
01:35,Northbound,Thru,89.0
01:40,Northbound,Thru,99.7
01:45,Northbound,Thru,116.2
01:50,Northbound,Thru,116.2
01:55,Northbound,Thru,109.6
02:00,Northbound,Thru,93.6
02:05,Northbound,Thru,108.9
02:10,Northbound,Thru,113.5
02:15,Northbound,Thru,61.0
02:20,Northbound,Thru,79.0
02:25,Northbound,Thru,97.6
02:30,Northbound,Thru,126.2
02:35,Northbound,Thru,114.9
02:40,Northbound,Thru,64.0
02:45,Northbound,Thru,72.8
02:50,Northbound,Thru,97.6
02:55,Northbound,Thru,138.8
03:00,Northbound,Thru,136.8
03:05,Northbound,Thru,68.4
03:10,Northbound,Thru,68.4
03:15,Northbound,Thru,67.1
03:20,Northbound,Thru,71.1
03:25,Northbound,Thru,98.1
03:30,Northbound,Thru,79.0
03:35,Northbound,Thru,58.7
03:40,Northbound,Thru,43.2
03:45,Northbound,Thru,35.2
03:50,Northbound,Thru,19.3
03:55,Northbound,Thru,46.5
04:00,Northbound,Thru,65.7
04:05,Northbound,Thru,51.1
04:10,Northbound,Thru,
04:15,Northbound,Thru,17.9
04:20,Northbound,Thru,49.1
04:25,Northbound,Thru,60.4
04:30,Northbound,Thru,63.1
04:35,Northbound,Thru,74.4
04:40,Northbound,Thru,71.1
04:45,Northbound,Thru,60.4
04:50,Northbound,Thru,57.8
04:55,Northbound,Thru,72.4
05:00,Northbound,Thru,63.7
05:05,Northbound,Thru,78.0
05:10,Northbound,Thru,76.4
05:15,Northbound,Thru,52.5
05:20,Northbound,Thru,66.4
05:25,Northbound,Thru,72.4
05:30,Northbound,Thru,85.7
05:35,Northbound,Thru,128.2
05:40,Northbound,Thru,137.5
05:45,Northbound,Thru,113.5
05:50,Northbound,Thru,120.9
05:55,Northbound,Thru,130.1
06:00,Northbound,Thru,82.3
06:05,Northbound,Thru,121.5
06:10,Northbound,Thru,164.0
06:15,Northbound,Thru,112.2
06:20,Northbound,Thru,81.7
06:25,Northbound,Thru,84.3
06:30,Northbound,Thru,132.1
06:35,Northbound,Thru,157.4
06:40,Northbound,Thru,158.7
06:45,Northbound,Thru,176.6
06:50,Northbound,Thru,225.1
06:55,Northbound,Thru,204.5
07:00,Northbound,Thru,147.2
07:05,Northbound,Thru,197.7
07:10,Northbound,Thru,176.6
07:15,Northbound,Thru,187.2
07:20,Northbound,Thru,231.1
