time_5min,approach,movement,total_vph
00:00,Westbound,Thru,141.0
00:05,Westbound,Thru,173.9
00:10,Westbound,Thru,698.9
00:15,Westbound,Thru,212.2
00:20,Westbound,Thru,150.8
00:25,Westbound,Thru,142.0
00:30,Westbound,Thru,151.6
00:35,Westbound,Thru,145.2
00:40,Westbound,Thru,118.1
00:45,Westbound,Thru,110.1
00:50,Westbound,Thru,111.2
00:55,Westbound,Thru,67.0
01:00,Westbound,Thru,64.4
01:05,Westbound,Thru,65.4
01:10,Westbound,Thru,113.3
01:15,Westbound,Thru,119.7
01:20,Westbound,Thru,81.4
01:25,Westbound,Thru,84.6
01:30,Westbound,Thru,
01:35,Westbound,Thru,
01:40,Westbound,Thru,4.8
01:45,Westbound,Thru,
01:50,Westbound,Thru,59.1
01:55,Westbound,Thru,88.6
02:00,Westbound,Thru,41.5
02:05,Westbound,Thru,99.0
02:10,Westbound,Thru,115.7
02:15,Westbound,Thru,67.6
02:20,Westbound,Thru,43.1
02:25,Westbound,Thru,48.7
02:30,Westbound,Thru,61.2
02:35,Westbound,Thru,44.7
02:40,Westbound,Thru,
02:45,Westbound,Thru,
02:50,Westbound,Thru,73.4
02:55,Westbound,Thru,103.7
03:00,Westbound,Thru,91.0
03:05,Westbound,Thru,106.1
03:10,Westbound,Thru,100.5
03:15,Westbound,Thru,52.7
03:20,Westbound,Thru,36.7
03:25,Westbound,Thru,
03:30,Westbound,Thru,
03:35,Westbound,Thru,8.0
03:40,Westbound,Thru,36.7
03:45,Westbound,Thru,
03:50,Westbound,Thru,59.1
03:55,Westbound,Thru,
04:00,Westbound,Thru,62.3
04:05,Westbound,Thru,
04:10,Westbound,Thru,43.1
04:15,Westbound,Thru,
04:20,Westbound,Thru,
04:25,Westbound,Thru,
04:30,Westbound,Thru,46.3
04:35,Westbound,Thru,91.0
04:40,Westbound,Thru,87.8
04:45,Westbound,Thru,
04:50,Westbound,Thru,
04:55,Westbound,Thru,113.3
05:00,Westbound,Thru,
05:05,Westbound,Thru,
05:10,Westbound,Thru,
05:15,Westbound,Thru,
05:20,Westbound,Thru,
05:25,Westbound,Thru,
05:30,Westbound,Thru,
05:35,Westbound,Thru,87.8
05:40,Westbound,Thru,101.6
05:45,Westbound,Thru,103.7
05:50,Westbound,Thru,78.2
05:55,Westbound,Thru,145.2
06:00,Westbound,Thru,146.0
06:05,Westbound,Thru,114.1
06:10,Westbound,Thru,39.9
06:15,Westbound,Thru,95.8
06:20,Westbound,Thru,114.1
06:25,Westbound,Thru,132.5
06:30,Westbound,Thru,132.5
06:35,Westbound,Thru,167.6
06:40,Westbound,Thru,154.8
06:45,Westbound,Thru,214.4
06:50,Westbound,Thru,175.2
06:55,Westbound,Thru,202.7
07:00,Westbound,Thru,232.2
07:05,Westbound,Thru,198.7
07:10,Westbound,Thru,284.6
07:15,Westbound,Thru,345.5
07:20,Westbound,Thru,378.2
07:25,Westbound,Thru,447.1
07:30,Westbound,Thru,396.5
07:35,Westbound,Thru,373.9
07:40,Westbound,Thru,434.0
07:45,Westbound,Thru,450.5
07:50,Westbound,Thru,191.0
07:55,Westbound,Thru,472.3
08:00,Westbound,Thru,452.8
08:05,Westbound,Thru,401.6
08:10,Westbound,Thru,372.6
08:15,Westbound,Thru,437.7
08:20,Westbound,Thru,505.8
08:25,Westbound,Thru,500.2
08:30,Westbound,Thru,558.8
08:35,Westbound,Thru,604.7
08:40,Westbound,Thru,525.7
08:45,Westbound,Thru,331.9
08:50,Westbound,Thru,288.8
08:55,Westbound,Thru,252.9
09:00,Westbound,Thru,390.1
09:05,Westbound,Thru,413.3
09:10,Westbound,Thru,364.6
09:15,Westbound,Thru,421.2
09:20,Westbound,Thru,426.0
09:25,Westbound,Thru,401.6
09:30,Westbound,Thru,163.3
09:35,Westbound,Thru,314.3
09:40,Westbound,Thru,394.8
09:45,Westbound,Thru,390.1
09:50,Westbound,Thru,452.4
09:55,Westbound,Thru,450.8
10:00,Westbound,Thru,383.7
10:05,Westbound,Thru,349.4
10:10,Westbound,Thru,371.8
10:15,Westbound,Thru,296.8
10:20,Westbound,Thru,266.5
10:25,Westbound,Thru,323.9
10:30,Westbound,Thru,371.0
10:35,Westbound,Thru,285.6
10:40,Westbound,Thru,445.2
10:45,Westbound,Thru,480.3
10:50,Westbound,Thru,422.8
10:55,Westbound,Thru,360.6
11:00,Westbound,Thru,203.7
11:05,Westbound,Thru,465.4
11:10,Westbound,Thru,524.2
11:15,Westbound,Thru,465.1
11:20,Westbound,Thru,422.0
11:25,Westbound,Thru,414.5
11:30,Westbound,Thru,414.1
11:35,Westbound,Thru,438.8
11:40,Westbound,Thru,226.1
11:45,Westbound,Thru,448.4
11:50,Westbound,Thru,504.7
11:55,Westbound,Thru,559.3
12:00,Westbound,Thru,426.0
12:05,Westbound,Thru,439.6
12:10,Westbound,Thru,472.3
12:15,Westbound,Thru,483.5
12:20,Westbound,Thru,515.4
12:25,Westbound,Thru,
12:30,Westbound,Thru,522.8
12:35,Westbound,Thru,494.1
12:40,Westbound,Thru,312.2
12:45,Westbound,Thru,436.4
12:50,Westbound,Thru,403.7
12:55,Westbound,Thru,438.0
13:00,Westbound,Thru,483.5
13:05,Westbound,Thru,480.3
13:10,Westbound,Thru,504.2
13:15,Westbound,Thru,511.4
13:20,Westbound,Thru,446.8
13:25,Westbound,Thru,347.9
13:30,Westbound,Thru,306.9
13:35,Westbound,Thru,410.1
13:40,Westbound,Thru,516.2
13:45,Westbound,Thru,454.7
13:50,Westbound,Thru,466.7
13:55,Westbound,Thru,453.2
14:00,Westbound,Thru,437.2
14:05,Westbound,Thru,388.8
14:10,Westbound,Thru,385.3
14:15,Westbound,Thru,431.3
14:20,Westbound,Thru,409.0
14:25,Westbound,Thru,467.5
14:30,Westbound,Thru,496.2
14:35,Westbound,Thru,490.6
14:40,Westbound,Thru,494.6
14:45,Westbound,Thru,409.3
14:50,Westbound,Thru,325.5
14:55,Westbound,Thru,316.7
15:00,Westbound,Thru,415.7
15:05,Westbound,Thru,450.0
15:10,Westbound,Thru,726.0
15:15,Westbound,Thru,816.1
15:20,Westbound,Thru,891.1
15:25,Westbound,Thru,703.6
15:30,Westbound,Thru,633.4
15:35,Westbound,Thru,349.4
15:40,Westbound,Thru,448.4
15:45,Westbound,Thru,387.7
15:50,Westbound,Thru,578.4
15:55,Westbound,Thru,794.6
16:00,Westbound,Thru,763.6
16:05,Westbound,Thru,685.3
16:10,Westbound,Thru,334.3
16:15,Westbound,Thru,694.9
16:20,Westbound,Thru,877.6
16:25,Westbound,Thru,754.7
16:30,Westbound,Thru,523.4
16:35,Westbound,Thru,680.5
16:40,Westbound,Thru,666.2
16:45,Westbound,Thru,455.5
16:50,Westbound,Thru,477.9
16:55,Westbound,Thru,633.4
17:00,Westbound,Thru,743.5
17:05,Westbound,Thru,963.2
17:10,Westbound,Thru,863.2
17:15,Westbound,Thru,467.5
17:20,Westbound,Thru,250.5
17:25,Westbound,Thru,199.5
17:30,Westbound,Thru,281.4
17:35,Westbound,Thru,429.2
17:40,Westbound,Thru,482.2
17:45,Westbound,Thru,390.1
17:50,Westbound,Thru,433.2
17:55,Westbound,Thru,459.0
18:00,Westbound,Thru,351.8
18:05,Westbound,Thru,388.5
18:10,Westbound,Thru,493.8
18:15,Westbound,Thru,341.8
18:20,Westbound,Thru,399.7
18:25,Westbound,Thru,439.9
18:30,Westbound,Thru,394.1
18:35,Westbound,Thru,425.0
18:40,Westbound,Thru,354.2
18:45,Westbound,Thru,360.1
18:50,Westbound,Thru,416.5
18:55,Westbound,Thru,297.6
19:00,Westbound,Thru,435.6
19:05,Westbound,Thru,484.3
19:10,Westbound,Thru,379.8
19:15,Westbound,Thru,336.7
19:20,Westbound,Thru,360.6
19:25,Westbound,Thru,424.8
19:30,Westbound,Thru,502.6
19:35,Westbound,Thru,557.7
19:40,Westbound,Thru,577.1
19:45,Westbound,Thru,457.9
19:50,Westbound,Thru,319.1
19:55,Westbound,Thru,332.7
20:00,Westbound,Thru,314.3
20:05,Westbound,Thru,406.9
20:10,Westbound,Thru,461.1
20:15,Westbound,Thru,517.8
20:20,Westbound,Thru,505.8
20:25,Westbound,Thru,301.6
20:30,Westbound,Thru,397.9
20:35,Westbound,Thru,379.8
20:40,Westbound,Thru,310.1
20:45,Westbound,Thru,44.7
20:50,Westbound,Thru,241.7
20:55,Westbound,Thru,345.5
21:00,Westbound,Thru,394.1
21:05,Westbound,Thru,191.2
21:10,Westbound,Thru,468.3
21:15,Westbound,Thru,457.1
21:20,Westbound,Thru,427.6
21:25,Westbound,Thru,509.0
21:30,Westbound,Thru,461.1
21:35,Westbound,Thru,498.6
21:40,Westbound,Thru,394.1
21:45,Westbound,Thru,395.7
21:50,Westbound,Thru,383.0
21:55,Westbound,Thru,271.3
22:00,Westbound,Thru,297.6
22:05,Westbound,Thru,367.8
22:10,Westbound,Thru,331.1
22:15,Westbound,Thru,285.6
22:20,Westbound,Thru,308.0
22:25,Westbound,Thru,353.4
22:30,Westbound,Thru,362.2
22:35,Westbound,Thru,318.3
22:40,Westbound,Thru,331.4
22:45,Westbound,Thru,396.2
22:50,Westbound,Thru,445.2
22:55,Westbound,Thru,340.7
23:00,Westbound,Thru,241.0
23:05,Westbound,Thru,308.0
23:10,Westbound,Thru,335.1
23:15,Westbound,Thru,252.9
23:20,Westbound,Thru,268.1
23:25,Westbound,Thru,269.7
23:30,Westbound,Thru,335.1
23:35,Westbound,Thru,237.8
23:40,Westbound,Thru,180.3
23:45,Westbound,Thru,286.4
23:50,Westbound,Thru,351.0
23:55,Westbound,Thru,235.6
