time_5min,approach,movement,total_vph
00:00,Northbound,Left,
00:05,Northbound,Left,
00:10,Northbound,Left,61.2
00:15,Northbound,Left,62.4
00:20,Northbound,Left,78.2
00:25,Northbound,Left,89.3
00:30,Northbound,Left,57.1
00:35,Northbound,Left,47.1
00:40,Northbound,Left,56.2
00:45,Northbound,Left,83.5
00:50,Northbound,Left,51.2
00:55,Northbound,Left,66.1
01:00,Northbound,Left,63.4
01:05,Northbound,Left,71.5
01:10,Northbound,Left,77.9
01:15,Northbound,Left,74.2
01:20,Northbound,Left,74.9
01:25,Northbound,Left,80.1
01:30,Northbound,Left,67.2
01:35,Northbound,Left,70.3
01:40,Northbound,Left,39.1
01:45,Northbound,Left,28.8
01:50,Northbound,Left,51.4
01:55,Northbound,Left,50.4
02:00,Northbound,Left,369.7
02:05,Northbound,Left,
02:10,Northbound,Left,32.2
02:15,Northbound,Left,32.7
02:20,Northbound,Left,23.3
02:25,Northbound,Left,36.5
02:30,Northbound,Left,37.7
02:35,Northbound,Left,19.1
02:40,Northbound,Left,71.8
02:45,Northbound,Left,84.5
02:50,Northbound,Left,38.9
02:55,Northbound,Left,47.1
03:00,Northbound,Left,50.4
03:05,Northbound,Left,40.8
03:10,Northbound,Left,27.4
03:15,Northbound,Left,
03:20,Northbound,Left,
03:25,Northbound,Left,
03:30,Northbound,Left,
03:35,Northbound,Left,32.4
03:40,Northbound,Left,33.4
03:45,Northbound,Left,24.3
03:50,Northbound,Left,34.1
03:55,Northbound,Left,191.9
04:00,Northbound,Left,26.2
04:05,Northbound,Left,
04:10,Northbound,Left,20.7
04:15,Northbound,Left,21.7
04:20,Northbound,Left,25.5
04:25,Northbound,Left,
04:30,Northbound,Left,
04:35,Northbound,Left,35.8
04:40,Northbound,Left,31.7
04:45,Northbound,Left,
04:50,Northbound,Left,
04:55,Northbound,Left,
05:00,Northbound,Left,
05:05,Northbound,Left,
05:10,Northbound,Left,23.8
05:15,Northbound,Left,22.0
05:20,Northbound,Left,26.4
05:25,Northbound,Left,39.5
05:30,Northbound,Left,27.4
05:35,Northbound,Left,27.7
05:40,Northbound,Left,46.6
05:45,Northbound,Left,39.9
