time_5min,approach,movement,total_vph
00:00,Southbound,Thru,
00:05,Southbound,Thru,49.5
00:10,Southbound,Thru,173.1
00:15,Southbound,Thru,152.4
00:20,Southbound,Thru,106.9
00:25,Southbound,Thru,70.8
00:30,Southbound,Thru,59.1
00:35,Southbound,Thru,51.6
00:40,Southbound,Thru,65.4
00:45,Southbound,Thru,129.3
00:50,Southbound,Thru,142.0
00:55,Southbound,Thru,121.8
01:00,Southbound,Thru,115.7
01:05,Southbound,Thru,62.3
01:10,Southbound,Thru,60.1
01:15,Southbound,Thru,94.2
01:20,Southbound,Thru,63.8
01:25,Southbound,Thru,62.3
01:30,Southbound,Thru,95.8
01:35,Southbound,Thru,80.3
01:40,Southbound,Thru,41.0
01:45,Southbound,Thru,
01:50,Southbound,Thru,51.1
01:55,Southbound,Thru,100.5
02:00,Southbound,Thru,102.9
02:05,Southbound,Thru,45.2
02:10,Southbound,Thru,
02:15,Southbound,Thru,20.8
02:20,Southbound,Thru,39.9
02:25,Southbound,Thru,33.5
02:30,Southbound,Thru,28.2
02:35,Southbound,Thru,46.3
02:40,Southbound,Thru,30.3
02:45,Southbound,Thru,22.9
02:50,Southbound,Thru,54.0
02:55,Southbound,Thru,52.7
03:00,Southbound,Thru,
03:05,Southbound,Thru,
03:10,Southbound,Thru,38.9
03:15,Southbound,Thru,31.4
03:20,Southbound,Thru,
03:25,Southbound,Thru,22.4
03:30,Southbound,Thru,55.9
03:35,Southbound,Thru,71.8
03:40,Southbound,Thru,47.9
03:45,Southbound,Thru,46.3
03:50,Southbound,Thru,49.5
03:55,Southbound,Thru,36.7
04:00,Southbound,Thru,46.3
04:05,Southbound,Thru,
04:10,Southbound,Thru,
04:15,Southbound,Thru,36.7
04:20,Southbound,Thru,46.3
04:25,Southbound,Thru,51.1
04:30,Southbound,Thru,36.7
04:35,Southbound,Thru,43.1
04:40,Southbound,Thru,74.2
04:45,Southbound,Thru,71.8
04:50,Southbound,Thru,71.8
04:55,Southbound,Thru,77.1
05:00,Southbound,Thru,55.9
05:05,Southbound,Thru,62.3
05:10,Southbound,Thru,48.4
05:15,Southbound,Thru,55.9
05:20,Southbound,Thru,68.6
05:25,Southbound,Thru,92.0
05:30,Southbound,Thru,64.4
05:35,Southbound,Thru,49.5
05:40,Southbound,Thru,73.4
05:45,Southbound,Thru,153.2
05:50,Southbound,Thru,216.2
05:55,Southbound,Thru,166.8
06:00,Southbound,Thru,124.5
06:05,Southbound,Thru,157.2
06:10,Southbound,Thru,142.0
06:15,Southbound,Thru,182.9
06:20,Southbound,Thru,216.2
06:25,Southbound,Thru,271.3
06:30,Southbound,Thru,319.9
06:35,Southbound,Thru,266.5
06:40,Southbound,Thru,284.8
06:45,Southbound,Thru,362.2
06:50,Southbound,Thru,370.5
06:55,Southbound,Thru,418.1
07:00,Southbound,Thru,446.8
07:05,Southbound,Thru,472.3
07:10,Southbound,Thru,374.2
07:15,Southbound,Thru,421.2
07:20,Southbound,Thru,506.6
07:25,Southbound,Thru,576.0
07:30,Southbound,Thru,653.4
07:35,Southbound,Thru,697.3
07:40,Southbound,Thru,578.4
07:45,Southbound,Thru,435.6
07:50,Southbound,Thru,406.1
07:55,Southbound,Thru,313.5
08:00,Southbound,Thru,498.8
08:05,Southbound,Thru,592.0
08:10,Southbound,Thru,643.8
08:15,Southbound,Thru,706.0
08:20,Southbound,Thru,623.1
08:25,Southbound,Thru,506.6
08:30,Southbound,Thru,473.3
08:35,Southbound,Thru,449.2
08:40,Southbound,Thru,466.7
08:45,Southbound,Thru,584.0
08:50,Southbound,Thru,551.3
08:55,Southbound,Thru,518.6
09:00,Southbound,Thru,575.2
09:05,Southbound,Thru,463.7
09:10,Southbound,Thru,464.3
09:15,Southbound,Thru,478.7
09:20,Southbound,Thru,471.5
09:25,Southbound,Thru,440.4
09:30,Southbound,Thru,467.5
09:35,Southbound,Thru,490.6
09:40,Southbound,Thru,436.9
09:45,Southbound,Thru,389.3
09:50,Southbound,Thru,393.3
09:55,Southbound,Thru,347.9
10:00,Southbound,Thru,371.8
10:05,Southbound,Thru,493.0
10:10,Southbound,Thru,449.2
10:15,Southbound,Thru,477.1
10:20,Southbound,Thru,469.9
10:25,Southbound,Thru,436.4
10:30,Southbound,Thru,477.1
10:35,Southbound,Thru,461.9
10:40,Southbound,Thru,446.0
10:45,Southbound,Thru,527.3
10:50,Southbound,Thru,521.8
10:55,Southbound,Thru,475.5
11:00,Southbound,Thru,485.1
11:05,Southbound,Thru,544.9
11:10,Southbound,Thru,444.4
11:15,Southbound,Thru,375.0
11:20,Southbound,Thru,439.6
11:25,Southbound,Thru,476.4
11:30,Southbound,Thru,535.3
11:35,Southbound,Thru,500.2
11:40,Southbound,Thru,473.1
11:45,Southbound,Thru,492.2
11:50,Southbound,Thru,529.7
11:55,Southbound,Thru,503.4
12:00,Southbound,Thru,547.3
12:05,Southbound,Thru,596.0
12:10,Southbound,Thru,591.2
12:15,Southbound,Thru,598.3
12:20,Southbound,Thru,546.5
12:25,Southbound,Thru,540.9
12:30,Southbound,Thru,473.9
12:35,Southbound,Thru,400.5
12:40,Southbound,Thru,464.3
12:45,Southbound,Thru,421.2
12:50,Southbound,Thru,357.4
12:55,Southbound,Thru,432.4
13:00,Southbound,Thru,507.4
13:05,Southbound,Thru,560.7
13:10,Southbound,Thru,540.9
13:15,Southbound,Thru,552.9
13:20,Southbound,Thru,489.9
13:25,Southbound,Thru,511.4
13:30,Southbound,Thru,588.8
13:35,Southbound,Thru,574.4
13:40,Southbound,Thru,712.2
13:45,Southbound,Thru,694.9
13:50,Southbound,Thru,599.1
13:55,Southbound,Thru,531.3
14:00,Southbound,Thru,540.1
14:05,Southbound,Thru,631.9
14:10,Southbound,Thru,545.7
14:15,Southbound,Thru,482.7
14:20,Southbound,Thru,525.0
14:25,Southbound,Thru,603.9
14:30,Southbound,Thru,608.7
14:35,Southbound,Thru,522.6
14:40,Southbound,Thru,596.7
14:45,Southbound,Thru,580.0
14:50,Southbound,Thru,463.0
14:55,Southbound,Thru,448.4
15:00,Southbound,Thru,551.5
15:05,Southbound,Thru,590.4
15:10,Southbound,Thru,451.6
15:15,Southbound,Thru,503.4
15:20,Southbound,Thru,461.1
15:25,Southbound,Thru,464.3
15:30,Southbound,Thru,526.5
15:35,Southbound,Thru,635.8
15:40,Southbound,Thru,665.4
15:45,Southbound,Thru,832.9
15:50,Southbound,Thru,736.4
