date,time_5min,approach,movement,total_vph
0507,00:00,Eastbound,Left,
0507,00:05,Eastbound,Left,54.4
0507,00:10,Eastbound,Left,63.5
0507,00:15,Eastbound,Left,
0507,00:20,Eastbound,Left,48.6
0507,00:25,Eastbound,Left,
0507,00:30,Eastbound,Left,42.2
0507,00:35,Eastbound,Left,95.4
0507,00:40,Eastbound,Left,81.6
0507,00:45,Eastbound,Left,
0507,00:50,Eastbound,Left,
0507,00:55,Eastbound,Left,
0507,01:00,Eastbound,Left,28.4
0507,01:05,Eastbound,Left,42.7
0507,01:10,Eastbound,Left,33.2
0507,01:15,Eastbound,Left,22.5
0507,01:20,Eastbound,Left,
0507,01:25,Eastbound,Left,48.1
0507,01:30,Eastbound,Left,55.5
0507,01:35,Eastbound,Left,30.0
0507,01:40,Eastbound,Left,18.3
0507,01:45,Eastbound,Left,18.3
0507,01:50,Eastbound,Left,33.2
0507,01:55,Eastbound,Left,
0507,02:00,Eastbound,Left,
0507,02:05,Eastbound,Left,
0507,02:10,Eastbound,Left,18.3
0507,02:15,Eastbound,Left,43.8
0507,02:20,Eastbound,Left,58.0
0507,02:25,Eastbound,Left,50.2
0507,02:30,Eastbound,Left,42.1
0507,02:35,Eastbound,Left,39.5
0507,02:40,Eastbound,Left,45.9
0507,02:45,Eastbound,Left,28.2
0507,02:50,Eastbound,Left,20.4
0507,02:55,Eastbound,Left,9.8
0507,03:00,Eastbound,Left,9.8
0507,03:05,Eastbound,Left,20.4
0507,03:10,Eastbound,Left,19.3
0507,03:15,Eastbound,Left,
0507,03:20,Eastbound,Left,9.8
0507,03:25,Eastbound,Left,7.6
0507,03:30,Eastbound,Left,
0507,03:35,Eastbound,Left,15.1
0507,03:40,Eastbound,Left,11.2
0507,03:45,Eastbound,Left,12.4
0507,03:50,Eastbound,Left,10.8
0507,03:55,Eastbound,Left,
0507,04:00,Eastbound,Left,
0507,04:05,Eastbound,Left,
0507,04:10,Eastbound,Left,9.8
0507,04:15,Eastbound,Left,
0507,04:20,Eastbound,Left,
0507,04:25,Eastbound,Left,
0507,04:30,Eastbound,Left,9.8
0507,04:35,Eastbound,Left,16.1
0507,04:40,Eastbound,Left,14.0
0507,04:45,Eastbound,Left,
0507,04:50,Eastbound,Left,12.6
0507,04:55,Eastbound,Left,
0507,05:00,Eastbound,Left,22.5
0507,05:05,Eastbound,Left,20.4
0507,05:10,Eastbound,Left,13.3
0507,05:15,Eastbound,Left,
0507,05:20,Eastbound,Left,18.8
0507,05:25,Eastbound,Left,37.4
0507,05:30,Eastbound,Left,22.5
0507,05:35,Eastbound,Left,11.9
0507,05:40,Eastbound,Left,26.8
0507,05:45,Eastbound,Left,
0507,05:50,Eastbound,Left,36.9
0507,05:55,Eastbound,Left,
0507,06:00,Eastbound,Left,49.5
0507,06:05,Eastbound,Left,47.0
0507,06:10,Eastbound,Left,
0507,06:15,Eastbound,Left,51.2
0507,06:20,Eastbound,Left,44.9
0507,06:25,Eastbound,Left,73.6
0507,06:30,Eastbound,Left,91.7
0507,06:35,Eastbound,Left,
0507,06:40,Eastbound,Left,59.4
0507,06:45,Eastbound,Left,
0507,06:50,Eastbound,Left,
0507,06:55,Eastbound,Left,85.3
0507,07:00,Eastbound,Left,109.0
0507,07:05,Eastbound,Left,124.1
0507,07:10,Eastbound,Left,125.3
0507,07:15,Eastbound,Left,
0507,07:20,Eastbound,Left,116.1
0507,07:25,Eastbound,Left,
0507,07:30,Eastbound,Left,100.8
0507,07:35,Eastbound,Left,107.6
0507,07:40,Eastbound,Left,
0507,07:45,Eastbound,Left,137.4
0507,07:50,Eastbound,Left,137.4
0507,07:55,Eastbound,Left,
0507,08:00,Eastbound,Left,162.9
0507,08:05,Eastbound,Left,189.5
0507,08:10,Eastbound,Left,121.4
0507,08:15,Eastbound,Left,75.7
0507,08:20,Eastbound,Left,139.5
0507,08:25,Eastbound,Left,
0507,08:30,Eastbound,Left,
0507,08:35,Eastbound,Left,171.4
0507,08:40,Eastbound,Left,167.2
0507,08:45,Eastbound,Left,
0507,08:50,Eastbound,Left,
0507,08:55,Eastbound,Left,143.8
0507,09:00,Eastbound,Left,143.8
0507,09:05,Eastbound,Left,192.7
0507,09:10,Eastbound,Left,172.5
0507,09:15,Eastbound,Left,92.7
0507,09:20,Eastbound,Left,69.3
0507,09:25,Eastbound,Left,111.9
0507,09:30,Eastbound,Left,120.4
0507,09:35,Eastbound,Left,109.7
0507,09:40,Eastbound,Left,140.9
0507,09:45,Eastbound,Left,140.6
0507,09:50,Eastbound,Left,145.9
0507,09:55,Eastbound,Left,151.2
0507,10:00,Eastbound,Left,159.2
0507,10:05,Eastbound,Left,171.9
0507,10:10,Eastbound,Left,128.9
0507,10:15,Eastbound,Left,97.5
0507,10:20,Eastbound,Left,106.6
0507,10:25,Eastbound,Left,148.0
0507,10:30,Eastbound,Left,134.6
0507,10:35,Eastbound,Left,207.6
0507,10:40,Eastbound,Left,186.9
0507,10:45,Eastbound,Left,163.5
0507,10:50,Eastbound,Left,147.0
0507,10:55,Eastbound,Left,90.6
0507,11:00,Eastbound,Left,190.1
0507,11:05,Eastbound,Left,232.6
0507,11:10,Eastbound,Left,118.3
0507,11:15,Eastbound,Left,85.8
0507,11:20,Eastbound,Left,127.8
0507,11:25,Eastbound,Left,75.7
0507,11:30,Eastbound,Left,123.2
0507,11:35,Eastbound,Left,153.0
0507,11:40,Eastbound,Left,133.1
0507,11:45,Eastbound,Left,
0507,11:50,Eastbound,Left,119.3
0507,11:55,Eastbound,Left,133.1
0507,12:00,Eastbound,Left,149.6
0507,12:05,Eastbound,Left,104.1
0507,12:10,Eastbound,Left,87.8
0507,12:15,Eastbound,Left,
0507,12:20,Eastbound,Left,97.0
0507,12:25,Eastbound,Left,109.7
0507,12:30,Eastbound,Left,133.7
0507,12:35,Eastbound,Left,125.3
0507,12:40,Eastbound,Left,
0507,12:45,Eastbound,Left,132.1
0507,12:50,Eastbound,Left,122.5
0507,12:55,Eastbound,Left,152.3
0507,13:00,Eastbound,Left,
0507,13:05,Eastbound,Left,161.9
0507,13:10,Eastbound,Left,182.1
0507,13:15,Eastbound,Left,
0507,13:20,Eastbound,Left,105.5
0507,13:25,Eastbound,Left,82.1
0507,13:30,Eastbound,Left,107.1
0507,13:35,Eastbound,Left,152.3
0507,13:40,Eastbound,Left,
0507,13:45,Eastbound,Left,148.6
0507,13:50,Eastbound,Left,109.7
0507,13:55,Eastbound,Left,97.0
0507,14:00,Eastbound,Left,94.9
0507,14:05,Eastbound,Left,
0507,14:10,Eastbound,Left,105.5
0507,14:15,Eastbound,Left,131.0
0507,14:20,Eastbound,Left,179.9
0507,14:25,Eastbound,Left,
0507,14:30,Eastbound,Left,203.3
0507,14:35,Eastbound,Left,183.7
0507,14:40,Eastbound,Left,154.4
0507,14:45,Eastbound,Left,
0507,14:50,Eastbound,Left,130.5
0507,14:55,Eastbound,Left,
0507,15:00,Eastbound,Left,148.6
0507,15:05,Eastbound,Left,168.9
0507,15:10,Eastbound,Left,151.2
0507,15:15,Eastbound,Left,172.5
0507,15:20,Eastbound,Left,164.0
0507,15:25,Eastbound,Left,152.3
0507,15:30,Eastbound,Left,110.8
0507,15:35,Eastbound,Left,149.6
0507,15:40,Eastbound,Left,146.4
0507,15:45,Eastbound,Left,41.7
0507,15:50,Eastbound,Left,77.3
0507,15:55,Eastbound,Left,126.8
0507,16:00,Eastbound,Left,99.1
0507,16:05,Eastbound,Left,211.9
0507,16:10,Eastbound,Left,199.1
0507,16:15,Eastbound,Left,118.3
0507,16:20,Eastbound,Left,89.5
0507,16:25,Eastbound,Left,
0507,16:30,Eastbound,Left,141.7
0507,16:35,Eastbound,Left,156.5
0507,16:40,Eastbound,Left,
0507,16:45,Eastbound,Left,
0507,16:50,Eastbound,Left,
0507,16:55,Eastbound,Left,126.8
0507,17:00,Eastbound,Left,175.0
0507,17:05,Eastbound,Left,222.5
0507,17:10,Eastbound,Left,269.3
0507,17:15,Eastbound,Left,316.9
0507,17:20,Eastbound,Left,431.0
0507,17:25,Eastbound,Left,462.3
0507,17:30,Eastbound,Left,266.1
0507,17:35,Eastbound,Left,267.7
0507,17:40,Eastbound,Left,249.1
0507,17:45,Eastbound,Left,141.7
0507,17:50,Eastbound,Left,141.7
0507,17:55,Eastbound,Left,141.7
0507,18:00,Eastbound,Left,
0507,18:05,Eastbound,Left,120.4
0507,18:10,Eastbound,Left,115.4
0507,18:15,Eastbound,Left,
0507,18:20,Eastbound,Left,
0507,18:25,Eastbound,Left,100.7
0507,18:30,Eastbound,Left,45.9
0507,18:35,Eastbound,Left,105.5
0507,18:40,Eastbound,Left,89.5
0507,18:45,Eastbound,Left,
0507,18:50,Eastbound,Left,
0507,18:55,Eastbound,Left,
0507,19:00,Eastbound,Left,118.8
0507,19:05,Eastbound,Left,133.1
0507,19:10,Eastbound,Left,115.6
0507,19:15,Eastbound,Left,107.6
0507,19:20,Eastbound,Left,135.3
0507,19:25,Eastbound,Left,135.3
0507,19:30,Eastbound,Left,99.8
0507,19:35,Eastbound,Left,94.9
0507,19:40,Eastbound,Left,
0507,19:45,Eastbound,Left,107.6
0507,19:50,Eastbound,Left,105.5
0507,19:55,Eastbound,Left,111.9
0507,20:00,Eastbound,Left,85.3
0507,20:05,Eastbound,Left,89.9
0507,20:10,Eastbound,Left,162.2
